age (BP),temperature (degC)
51,4.161
83,3.704
117.5,3.344
150.5,4.224
200.5,3.053
246.5,3.855
287.5,3.335
328.5,2.712
365.5,4.162
392,3.366
422.5,1.927
462.5,3.842
502,4.571
546.5,3.872
592.5,3.884
637.5,2.913
677.5,2.626
720.5,3.079
756,2.467
791,3.333
823,3.843
858.5,3.832
892.5,2.795
928,2.439
963.5,2.661
994,3.009
1026.5,2.199
1069.5,2.725
1104,3.066
1143,3.743
1177.5,3.745
1208.5,3.493
1249.5,3.787
1294,3.168
1328,4.033
1363.5,3.605
1392,3.265
1425.5,4.098
1459.5,3.907
1504.5,2.386
1534.5,3.808
1558.5,3.914
1586,4.399
1623.5,3.675
1656,4.286
1729.5,3.165
1789.5,3.276
1837.5,4.111
1859,3.484
1889,2.866
1920,3.122
1951,4.091
1982,4.117
2014,3.768
2045,3.143
2082,4.658
2114,3.971
2146,3.494
2182,3.759
2223,3.402
2260,3.602
2297,4.346
2341,2.743
2377,3.918
2412,4.848
2448,3.758
2477,4.272
2518,3.987
2552,3.927
2587,4
2625,3.78
2657,3.649
2693,4.08
2728,4.888
2762,3.939
2800,4.605
2839,4.684
2878,4.278
2917,3.721
2953,4.699
2979,3.985
3011,3.436
3048,3.867
3082,4.22
3113,4.037
3134,3.895
3181,4.731
3223,4.313
3258,4.688
3295,5.22
3328,4.977
3375,4.259
3424,4.254
3474,5.46
3516,4.096
3560,4.505
3601,4.901
3637,5.092
3688,4.574
3743,4.48
3794,4.48
3831,5.076
3868,5.143
3908,5.061
3947,5.07
3982,5.401
4024,4.91
4072,4.693
4103,5.43
4130,6.065
4160,4.877
4206,5.242
4253,5.265
4286,5.37
4360,5.616
4390,5.668
4418,5.239
4459,4.838
4511,5.227
4552,5.76
4590,5.585
4624,5.302
4714,4.413
4758,5.93
4799,4.848
4841,5.713
4874,5.913
4910,5.897
4956,5.667
4992,6.14
5023,5.246
5090,5.03
5145,5.957
5163,5.525
5206,5.584
5250,5.604
5292,5.264
5336,4.906
5393,5.588
5445,4.535
5497,5.992
5540,6.043
5582,6.501
5620,5.809
5672,6.342
5726,5.916
5776,5.473
5819,5.363
5852,4.75
5895,5.383
5941,5.106
5973,5.223
6000,5.912
6031,5.279
6060,5.304
6094,5.106
6124,4.705
6157,4.801
6188,5.048
6229,4.984
6279,5.546
6335,4.998
6402,4.864
6443,5.081
6506,5.912
6547,4.502
6587,5.482
6631,4.097
6682,5.478
6744,4.552
6799,5.06
6840,5.308
6888,4.131
6943,5.702
6999,5.77
7057,5.259
7112,4.96
7160,6.302
7307,5.635
7344,5.031
7391,4.251
7407,4.837
7440,4.734
7476,5.527
7515,5.245
7553,5.566
7599,5.126
7644,4.172
7684,4.713
7719,5.131
7759,4.682
7788,4.158
7837,4.297
7851,5.113
7869,4.134
7891,4.796
7914,3.716
7934,4.666
7950,5.621
7963,4.454
7977,4.574
7994,4.484
8010,4.616
8031,3.693
8052,5.083
8079,5.406
8106,4.956
8123,4.029
8138,4.627
8150,5.622
8163,4.149
8181,4.285
8199,4.84
8217,4.879
8236,4.803
8252,4.418
8266,4.897
8285,4.869
8323,4.954
8356,4.88
8387,4.029
8419,4.702
8461,4.183
8500,4.264
8530,3.857
8555,4.643
8589,4.888
8619,5.323
8649,4.726
8675,3.862
8714,5.483
8742,4.832
8766,4.607
8797,4.199
8824,3.634
8857,3.661
8886,4.752
8914,3.887
8956,4.239
8998,4.149
