depth (cm),age (BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm/yr)
2.5,61.7,12.929,-1.071,5.177,2373.286
15,370,12.929,-1.071,5.177,2373.286
25,616.7,12.929,-1.071,5.177,2373.286
35,863.3,13.086,-0.086,5.705,2604.429
45,1110,13.086,-0.086,5.705,2604.429
55,1356.7,12.929,-1.071,5.177,2373.286
65,1603.3,12.929,-1.071,5.177,2373.286
75,1850,12.929,-1.071,5.177,2373.286
85,2096.7,13.086,-0.086,5.705,2604.429
95,2353.6,13.086,-0.086,5.705,2604.429
105,2610.5,13.086,-0.086,5.705,2604.429
115,2867.4,13.086,-0.086,5.705,2604.429
125,3124.4,13.086,-0.086,5.705,2604.429
135,3381.3,13.086,-0.086,5.705,2604.429
145,3638.2,13.086,-0.086,5.705,2604.429
157.5,3959.4,13.086,-0.086,5.705,2604.429
167.5,4216.3,12.929,-1.071,5.177,2373.286
177.5,4473.2,13.086,-0.086,5.705,2604.429
187.5,4678.6,13.029,-0.214,5.581,2470.857
197.5,4884,12.929,-1.071,5.177,2373.286
207.5,5089.4,13.086,-0.086,5.705,2604.429
217.5,5294.8,13.086,-0.086,5.705,2604.429
227.5,5500.2,13.086,-0.086,5.705,2604.429
237.5,5705.6,13.086,-0.086,5.705,2604.429
247.5,5911,13.086,-0.086,5.705,2604.429
257.5,6116.4,12.929,-1.071,5.177,2373.286
267.5,6321.9,12.929,-1.071,5.177,2373.286
277.5,6527.3,12.929,-1.071,5.177,2373.286
282.5,6630,12.929,-1.071,5.177,2373.286
287.5,6847,12.929,-1.071,5.177,2373.286
292.5,7064,12.929,-1.071,5.177,2373.286
297.5,7281.1,12.929,-1.071,5.177,2373.286
302.5,7498.1,12.929,-2.071,4.727,2224.286
307.5,7715.1,12.929,-2.071,4.727,2224.286
312.5,7932.1,12.929,-2.071,4.727,2224.286
317.5,8149.2,12.929,-2.071,4.727,2224.286
322.5,8366.2,12.929,-2.071,4.727,2224.286
327.5,8583.2,13.1,-1.771,4.951,2314.714
332.5,8800.3,13.1,-1.771,4.951,2314.714
337.5,9017.3,12.929,-2.071,4.727,2224.286
342.5,9234.3,13.057,-2.671,4.523,2072.286
347.5,9451.4,13.143,-2.543,4.605,2105.286
352.5,9668.4,12.929,-2.071,4.727,2224.286
357.5,9929.5,12.929,-2.071,4.727,2224.286
362.5,10190.6,12.929,-2.071,4.727,2224.286
367.5,10451.8,13.057,-2.671,4.523,2072.286
372.5,10712.9,13.143,-2.543,4.605,2105.286
377.5,10974,13.043,-3.457,4.136,1945.429
387.5,11496.2,NA,NA,NA,NA
