OriginalDateID (),TopDepthofDate (cm),BottomDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN (),AdditionalNotes ()
NA,0,0,Core top,-61,NA,NA,Y,NA
404948,40,40,C14 Uncalibrated,1800,30,30,Y,Terrestrial plant remains
404949,55,55,C14 Uncalibrated,2140,30,30,Y,Terrestrial plant remains
404950,85,85,C14 Uncalibrated,3450,30,35,Y,Terrestrial plant remains
404951,102,102,C14 Uncalibrated,4310,30,35,Y,Terrestrial plant remains
