age (yrBP),core (NA),depth_in_core (cm),material (NA),type (NA),error (yr)
600,2A,8,macroscopic charcoal,AMS1C,15
610,2A,12,macroscopic charcoal,AMS1C,50
1185,2A,24.5,macroscopic charcoal,AMS1C,20
1925,2A,33,macroscopic charcoal,AMS1C,20
2600,2A,44,macroscopic charcoal,AMS1C,20
3230,2A,47.5,macroscopic charcoal,AMS1C,20
3395,2A,50.5,macroscopic charcoal,AMS1C,20
4025,2A,53.5,macroscopic charcoal,AMS1C,15
4150,2A,55.5,macroscopic charcoal,AMS1C,15
4985,2A,58,macroscopic charcoal,AMS1C,20
5300,2A,63.5,macroscopic charcoal,AMS1C,20
5435,2A,65.5,macroscopic charcoal,AMS1C,20
8010,2A,70.5,macroscopic charcoal,AMS1C,25
8985,2A,81,macroscopic charcoal,AMS1C,25
9090,2A,87.5,macroscopic charcoal,AMS1C,35
9930,2A,114,macroscopic charcoal,AMS1C,25
2990,1A,81.5,macroscopic charcoal,AMS1C,20
3945,1A,88,macroscopic charcoal,AMS1C,20
8175,1A,105.5,macroscopic charcoal,AMS1C,25
9230,1A,132,macroscopic charcoal,AMS1C,25
9460,1A,149,macroscopic charcoal,AMS1C,35
