depth (cm),age (BP),age (BP),age (AD),temperature (degC),Uk37 (missing)
42,1820,1821.647,86.079,11.5,0.423
47,1970,1954.553,151.117,11.5,0.423
52,2110,2086.901,182.784,11.5,0.423
57,2240,2218.989,197.902,11.7,0.43
62,2370,2350.882,200.291,11.6,0.427
67,2490,2482.587,190.464,11.6,0.427
72,2610,2614.068,166.313,11.9,0.437
77,2730,2745.181,119.558,12.1,0.443
82,2850,2866.907,80.407,11.9,0.437
87,2970,2967.942,140.346,12,0.44
92,3080,3068.484,176.558,12.1,0.443
96,3170,3148.772,197.632,11.9,0.437
97,3190,3168.829,202.111,12.2,0.447
102,3310,3269.051,220.701,12.2,0.447
107,3420,3369.179,233.972,12.5,0.457
112,3530,3469.229,242.782,12.3,0.45
117,3630,3569.21,247.595,12.3,0.45
122,3740,3669.126,248.629,12.1,0.443
127,3840,3768.977,245.918,12.5,0.457
132,3940,3868.761,239.321,12.6,0.46
137,4030,3968.471,228.48,12.8,0.466
142,4130,4068.096,212.721,12.9,0.47
147,4210,4167.611,190.783,12.9,0.47
152,4300,4266.968,160.048,13.2,0.48
157,4380,4366.018,113.227,12.9,0.47
162,4450,4454.736,72.742,12.5,0.457
167,4520,4521.549,111.448,12.9,0.47
172,4590,4588.043,127.375,13,0.473
177,4650,4654.369,129.817,13.1,0.476
182,4710,4720.54,119.803,12.9,0.47
187,4780,4786.492,93.534,13.2,0.48
192,4850,4858.763,80.517,13,0.473
196,4920,4928.257,120.595,13.3,0.483
197,4940,4945.561,127.458,13.3,0.483
202,5030,5031.884,151.3,13.7,0.496
207,5120,5117.989,162.584,13.2,0.48
212,5200,5203.927,163.923,13.2,0.48
217,5290,5289.706,155.563,13,0.473
222,5380,5375.295,135.7,13.4,0.486
227,5470,5460.572,97.444,13.8,0.499
232,5560,5548.134,73.754,13.2,0.48
237,5640,5641.992,133.796,13.5,0.489
242,5730,5735.42,169.16,13.7,0.496
247,5820,5828.677,193.942,13.8,0.499
252,5910,5921.826,211.909,13.2,0.48
257,6000,6014.894,224.711,13.8,0.499
262,6090,6107.894,233.205,13.8,0.499
267,6170,6200.833,237.855,14.2,0.513
272,6260,6293.716,238.89,13.9,0.503
277,6350,6386.542,236.357,14.2,0.513
282,6440,6479.309,230.14,14.1,0.509
287,6530,6572.013,219.927,13.6,0.493
297,6710,6757.175,184.628,14.1,0.509
302,6800,6849.57,156.209,13.7,0.496
307,6890,6941.698,114.069,13.7,0.496
312,6990,7062.611,110.641,14,0.506
317,7100,7250.616,194.343,14.2,0.513
322,7220,7438.018,246.007,14.2,0.513
327,7350,7625.185,283.752,14.1,0.509
332,7480,7812.207,312.669,13.4,0.486
337,7620,7999.125,335.055,13.7,0.496
342,7770,8185.958,352.16,13.7,0.496
347,7920,8372.719,364.727,14,0.506
352,8090,8559.415,373.215,13.5,0.489
357,8260,8746.051,377.9,13.5,0.489
362,8440,8932.629,378.923,13.8,0.499
367,8620,9119.148,376.313,13.5,0.489
372,8820,9305.609,369.991,13.8,0.499
377,9020,9492.007,359.763,13.7,0.496
382,9230,9678.336,345.28,13.8,0.499
387,9440,9864.586,325.972,13.6,0.493
392,9670,10050.741,300.909,13.8,0.499
396,9850,10199.577,275.671,13.2,0.48
397,9900,10236.77,268.478,13.2,0.48
402,10140,10422.612,225.507,13.6,0.493
407,10380,10608.083,163.842,13.3,0.483
412,10640,10792.829,133.278,13.4,0.486
417,10890,10980.454,216.235,12.8,0.466
422,11140,11167.619,274.923,13.1,0.476
427,11390,11354.621,323.113,13.3,0.483
