depth (cm),age (BP),temperature (degC),reliable (missing)
NA,-52,12.412,Y
0.25,-51.082,13.007,Y
0.5,-50.218,12.585,Y
0.75,-49.031,12.233,Y
5.5,-15,12.058,Y
6.25,-10,12.184,Y
7.5,-1,12.007,Y
8.5,8,12.746,Y
9.5,28,12.218,Y
10.75,51,12.465,Y
14.25,202,12.214,Y
16.5,318,11.918,Y
17.25,341,12.732,Y
18.5,408,12.234,Y
20.5,493,12.236,Y
22.5,555,12.404,Y
22.75,575,12.72,Y
24.25,634,12.419,Y
25.5,673,12.28,Y
26.5,711,12.16,Y
28.5,784,12.727,Y
30.25,854,12.629,Y
36.75,1048,12.017,Y
38.75,1122,12.508,Y
44.75,1285,13.02,Y
52.25,1464,11.382,Y
55.75,1540,12.444,Y
59.25,1611,12.624,Y
62.75,1678,12.005,Y
67.25,1760,12.363,Y
69.25,1795,12.567,Y
72.75,1854,12.751,Y
76.75,1919,11.933,Y
80.75,1983,12.396,Y
84.25,2037,12.272,Y
87.75,2091,12.248,Y
91.25,2145,12.513,Y
94.75,2199,13.309,Y
97.75,2246,13.836,Y
101.25,2301,13.479,Y
108.75,2424,13.224,Y
111.75,2475,12.036,Y
115.75,2537,12.819,Y
116.25,2555,11.801,Y
119.75,2620,12.625,Y
123.75,2698,12.904,Y
126.25,2748,12.612,Y
128.75,2799,13.928,Y
131.25,2853,13.031,Y
135.25,2941,12.854,Y
138.75,3023,12.971,Y
141.25,3083,12.745,Y
144.75,3170,12.783,Y
148.75,3275,12.599,Y
152.25,3370,13.368,Y
154.75,3441,12.238,Y
156.75,3499,12.507,Y
159.25,3573,11.988,Y
161.75,3650,12.776,Y
168.75,3841,12.076,Y
169.75,3908,11.705,Y
171.75,3975,12.821,Y
175.75,4115,12.372,Y
178.75,4223,12.631,Y
180.75,4296,11.983,Y
182.25,4352,11.339,Y
186.25,4505,11.515,Y
191.75,4722,13.005,Y
194.25,4824,12.575,Y
197.75,4969,12.986,Y
200.25,5075,12.593,Y
202.75,5161,12.482,Y
205.25,5292,12.413,Y
207.75,5402,11.836,Y
209.25,5469,13.029,Y
211.75,5581,12.865,Y
218.35,5879,12.317,Y
222.75,6090,12.091,Y
225.75,6231,12.227,Y
228.75,6374,11.861,Y
232.25,6542,11.483,Y
235.75,6566,11.88,Y
239.75,6903,11.719,Y
243.25,7071,11.959,Y
246.75,7239,12.189,Y
253.25,7549,11.866,Y
250.25,7407,12.256,Y
256.75,7691,12.821,Y
260.25,7877,11.922,Y
263.75,8037,11.21,Y
267.25,8194,10.858,Y
270.25,8326,11.622,Y
273.25,8456,10.439,Y
277.75,8643,11.947,Y
280.25,8744,10.364,Y
284.75,8918,11.04,Y
285.5,8936,10.828,Y
288.25,9046,11.087,Y
290.25,9116,10.308,Y
291.75,9167,10.285,Y
293.25,9217,10.442,Y
294.25,9249,10.829,Y
295.25,9281,9.861,Y
298.75,9372,9.626,Y
302.75,9429,9.874,Y
305.75,9456,9.513,Y
309.25,9483,10.3,Y
