depth (cm),age (BP),age (BP),d18O (permil)
0.4,7736,7515.2,-5.873
0.35,7702.5,7489.6,-5.954
0.3,7669,7464,-5.922
0.25,7635.5,7438.4,-6.239
0.2,7602,7412.8,-5.919
0.15,7568.5,7387.2,-6.236
0.1,7535,7361.6,-5.869
0.05,7501.5,7336,-6.295
0,7468,7310.4,-6.021
-0.05,7434.5,7284.8,-5.906
-0.1,7401,7259.2,-6.054
-0.15,7367.5,7233.6,-6.12
-0.2,7334,7208,-6.456
-0.25,7300.5,7182.4,-6.194
-0.3,7267,7156.8,-6.388
-0.35,7233.5,7131.2,-6.362
-0.4,7200,7105.6,-6.592
-0.45,7166.5,7080,-6.593
-0.5,7133,7054.4,-6.565
-0.55,7099.5,7028.8,-6.618
-0.6,7066,7003.2,-6.658
-0.65,7032.5,6977.6,-6.459
-0.7,6999,6952,-6.589
-0.75,6982.21,6934.32,-6.557
-0.8,6965.41,6916.64,-6.899
-0.85,6948.62,6898.96,-6.466
-0.9,6931.82,6881.28,-6.5
-0.95,6915.03,6863.6,-6.762
-1,6898.24,6845.92,-6.667
-1.05,6881.44,6828.24,-6.726
-1.1,6864.65,6810.56,-6.585
-1.15,6847.85,6792.88,-6.483
-1.2,6831.06,6775.2,-6.618
-1.25,6814.26,6757.52,-6.425
-1.3,6797.47,6739.84,-6.457
-1.35,6780.68,6722.16,-6.577
-1.4,6763.88,6704.48,-6.744
-1.45,6747.09,6686.8,-6.483
-1.5,6730.29,6669.12,-6.88
-1.55,6713.5,6651.44,-6.607
-1.6,6696.71,6633.76,-6.995
-1.65,6679.91,6616.08,-6.685
-1.7,6663.11,6598.4,-6.836
-1.75,6646.32,6580.72,-6.799
-1.8,6629.53,6563.04,-6.61
-1.85,6612.74,6545.36,-6.591
-1.9,6595.94,6527.68,-6.671
-1.95,6579.15,6510,-6.685
-2,6562.35,6492.32,-6.729
-2.05,6545.56,6474.64,-6.645
-2.1,6528.76,6456.96,-6.692
-2.15,6511.97,6439.28,-6.823
-2.2,6495.18,6421.6,-6.851
-2.25,6478.38,6403.92,-6.736
-2.3,6461.59,6386.24,-6.771
-2.35,6444.79,6368.56,-6.73
-2.4,6428,6351,-6.52
-2.45,6406.61,6329.83,-6.681
