year (AD),age (BP),temperature (degC),Ice_core_C (degC),ageUncertainty (yr)
1250,700,0.4,0.4,14
750,1200,0.8,0.8,24
250,1700,-0.2,-0.2,34
-250,2200,-0.8,-0.8,44
-750,2700,-0.4,-0.4,54
-1250,3200,0.4,0.4,64
-1750,3700,0.4,0.4,74
-2250,4200,0.3,0.3,84
-2750,4700,-0.3,-0.3,94
-3250,5200,0.4,0.4,104
-3750,5700,-0.4,-0.4,114
-4250,6200,-0.5,-0.5,124
-4750,6700,0,0,134
-5250,7200,-0.3,-0.3,144
-5750,7700,-0.4,-0.4,154
-6250,8200,-0.7,-0.7,164
-6750,8700,-0.4,-0.4,174
-7250,9200,0.3,0.3,184
-7750,9700,0.7,0.7,194
-8250,10200,0.8,0.8,204
-8750,10700,0.8,0.8,214
-9250,11200,0.5,0.5,224
-9750,11700,0,0,234
-10250,12200,-1.6,-1.6,244
