year (AD),age (BP),d18O (permil),d18O (permil)
2012,-62,-0.045,-0.005
1997,-47,0.117,0.005
1982,-32,0.257,0.018
1967,-17,0.186,0.033
1952,-2,-0.049,0.049
1937,13,-0.023,0.068
1922,28,-0.025,0.087
1907,43,-0.045,0.108
1892,58,0.018,0.13
1877,73,0.114,0.151
1862,88,0.266,0.171
1847,103,0.239,0.19
1832,118,0.164,0.207
1817,133,0.06,0.222
1802,148,0.05,0.234
1787,163,0.291,0.242
1772,178,0.293,0.247
1757,193,0.335,0.249
1742,208,0.349,0.247
1727,223,0.325,0.242
1712,238,0.393,0.233
1697,253,0.27,0.222
1682,268,0.212,0.208
1667,283,0.19,0.193
1652,298,0.203,0.176
1637,313,0.285,0.159
1622,328,-0.002,0.142
1607,343,-0.258,0.127
1592,358,-0.25,0.112
1577,373,-0.073,0.1
1562,388,0.025,0.089
1547,403,-0.001,0.08
1532,418,0.036,0.073
1517,433,0.283,0.068
1502,448,0.24,0.065
1487,463,0.11,0.062
1472,478,0.182,0.06
1457,493,0.317,0.059
1442,508,0.263,0.056
1427,523,0.198,0.053
1412,538,0.266,0.048
1397,553,0.219,0.041
1382,568,0.106,0.032
1367,583,0.073,0.019
1352,598,0.141,0.004
1337,613,-0.138,-0.014
1322,628,-0.248,-0.034
1307,643,-0.296,-0.057
1292,658,-0.277,-0.082
1277,673,-0.193,-0.108
1262,688,-0.057,-0.136
1247,703,0.077,-0.163
1232,718,0.074,-0.19
1217,733,-0.257,-0.216
1202,748,-0.386,-0.24
1187,763,-0.378,-0.261
1172,778,-0.298,-0.279
1157,793,-0.417,-0.292
1142,808,-0.373,-0.3
1127,823,-0.366,-0.304
1112,838,-0.342,-0.302
1097,853,-0.2,-0.295
1082,868,-0.13,-0.284
1067,883,-0.214,-0.268
1052,898,-0.089,-0.248
1037,913,-0.209,-0.225
1022,928,-0.315,-0.199
1007,943,-0.283,-0.171
992,958,-0.385,-0.142
977,973,-0.095,-0.113
962,988,0.12,-0.086
947,1003,0.014,-0.06
932,1018,-0.001,-0.037
917,1033,0.092,-0.017
902,1048,0.159,-0.002
887,1063,0.121,0.01
872,1078,0.005,0.017
857,1093,-0.103,0.02
842,1108,-0.127,0.019
827,1123,-0.062,0.014
812,1138,-0.025,0.007
797,1153,-0.085,-0.003
782,1168,-0.065,-0.015
767,1183,-0.079,-0.027
752,1198,-0.083,-0.039
737,1213,-0.083,-0.05
722,1228,-0.092,-0.059
707,1243,-0.136,-0.066
692,1258,-0.148,-0.07
677,1273,-0.043,-0.07
662,1288,0.081,-0.065
647,1303,0.112,-0.057
632,1318,0.103,-0.044
617,1333,0.132,-0.027
602,1348,0.156,-0.007
587,1363,0,0.017
572,1378,-0.027,0.043
557,1393,-0.103,0.071
542,1408,-0.146,0.101
527,1423,-0.112,0.131
512,1438,0.014,0.16
497,1453,0.166,0.188
482,1468,0.433,0.214
467,1483,0.386,0.236
452,1498,0.397,0.254
437,1513,0.517,0.268
422,1528,0.578,0.277
407,1543,0.523,0.281
392,1558,0.331,0.28
377,1573,0.206,0.275
362,1588,0.181,0.265
347,1603,0.267,0.252
332,1618,0.208,0.235
317,1633,0.165,0.216
302,1648,0.286,0.196
287,1663,0.232,0.174
272,1678,0.306,0.153
257,1693,0.216,0.132
242,1708,0.196,0.112
227,1723,0.337,0.093
212,1738,0.11,0.077
197,1753,-0.129,0.063
182,1768,-0.026,0.052
167,1783,0.052,0.044
152,1798,-0.108,0.039
137,1813,-0.269,0.036
122,1828,-0.264,0.035
107,1843,-0.159,0.035
92,1858,-0.036,0.037
77,1873,-0.07,0.039
62,1888,-0.201,0.04
47,1903,0.053,0.041
32,1918,0.096,0.04
17,1933,0.161,0.037
2,1948,0.249,0.032
-13,1963,0.112,0.023
-28,1978,0.136,0.012
-43,1993,-0.035,-0.002
-58,2008,-0.077,-0.018
-73,2023,0.019,-0.037
-88,2038,0.166,-0.057
-103,2053,0.068,-0.079
-118,2068,0.026,-0.102
-133,2083,0.169,-0.125
-148,2098,-0.014,-0.147
-163,2113,-0.485,-0.168
-178,2128,-0.618,-0.188
-193,2143,-0.487,-0.204
-208,2158,-0.421,-0.217
-223,2173,-0.457,-0.228
-238,2188,-0.43,-0.234
-253,2203,-0.455,-0.237
-268,2218,-0.414,-0.237
-283,2233,-0.146,-0.233
-298,2248,0.013,-0.227
-313,2263,0.004,-0.218
-328,2278,-0.036,-0.208
-343,2293,-0.077,-0.196
-358,2308,-0.107,-0.183
-373,2323,-0.108,-0.169
-388,2338,-0.121,-0.155
-403,2353,-0.072,-0.142
-418,2368,-0.042,-0.129
-433,2383,-0.04,-0.117
-448,2398,-0.024,-0.107
-463,2413,-0.022,-0.097
-478,2428,-0.019,-0.088
-493,2443,0,-0.08
-508,2458,-0.095,-0.073
-523,2473,-0.165,-0.066
-538,2488,-0.07,-0.059
-553,2503,-0.175,-0.053
-568,2518,-0.174,-0.046
-583,2533,-0.043,-0.038
-598,2548,0.135,-0.03
-613,2563,-0.001,-0.021
-628,2578,0.005,-0.011
-643,2593,0.034,0
-658,2608,-0.099,0.012
-673,2623,-0.153,0.024
-688,2638,-0.012,0.038
-703,2653,0.11,0.051
-718,2668,0.165,0.065
-733,2683,0.204,0.078
-748,2698,0.262,0.09
-763,2713,0.244,0.101
-778,2728,0.229,0.111
-793,2743,0.302,0.119
-808,2758,0.353,0.125
-823,2773,0.208,0.129
-838,2788,0.155,0.131
-853,2803,0.013,0.131
-868,2818,-0.001,0.129
-883,2833,0.026,0.126
-898,2848,-0.02,0.121
-913,2863,-0.006,0.115
-928,2878,-0.025,0.109
-943,2893,-0.037,0.102
-958,2908,0.014,0.095
-973,2923,0.07,0.089
-988,2938,0.045,0.083
-1003,2953,-0.002,0.078
-1018,2968,0.096,0.074
-1033,2983,0.135,0.072
-1048,2998,0.068,0.071
-1063,3013,0.041,0.071
-1078,3028,0.087,0.073
-1093,3043,0.097,0.076
-1108,3058,0.078,0.08
-1123,3073,0.052,0.085
-1138,3088,0.082,0.091
-1153,3103,0.07,0.097
