depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),OriginalSampleID (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
1,-45,10.581,NA,811,11.701,9.461,y
8,292.27,10.445,NA,818,11.565,9.325,y
16,687.47,11.499,NA,826,12.619,10.379,y
24,1079.71,11.619,NA,834,12.739,10.499,y
32,1467.39,11.296,NA,842,12.416,10.176,y
40,1848.87,11.274,NA,850,12.394,10.154,y
48,2222.56,11.817,NA,858,12.937,10.697,y
56,2586.82,11.97,NA,866,13.09,10.85,y
64,2940.05,10.576,NA,874,11.696,9.456,y
72,3281.16,11.297,NA,882,12.417,10.177,y
80,3610.98,10.678,NA,890,11.798,9.558,y
88,3930.79,10.382,NA,898,11.502,9.262,y
104,4545.46,10.605,NA,914,11.725,9.485,y
112,4842.82,10.899,NA,922,12.02,9.78,y
120,5134.73,10.528,NA,930,11.648,9.408,y
128,5421.79,11.235,NA,938,12.355,10.115,y
136,5704.62,10.34,NA,946,11.46,9.22,y
144,5983.8,10.562,NA,954,11.682,9.442,y
152,6259.94,11.044,NA,962,12.165,9.925,y
160,6533.67,10.63,NA,970,11.75,9.51,y
168,6805.62,10.873,NA,978,11.993,9.753,y
176,7076.45,11.095,NA,986,12.215,9.975,y
184,7346.78,NA,10.581,994,11.447,9.207,n
190,7549.5,NA,10.445,1000,11.001,8.761,n
198,7819.91,11.169,NA,1008,12.289,10.049,y
206,8090.58,NA,11.499,1016,10.959,8.719,n
214,8361.65,10.762,NA,1024,11.882,9.642,y
218,8497.33,10.719,NA,1028,11.839,9.599,y
220,8565.18,NA,11.619,1030,11.388,9.148,n
