year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr),Ba_Ca (umol/mol),x18ORub_ (missing),d18O (missing),SSS (psu)
1590,360,236.261,25.26,3.43,57.85,0.97,-2.37,-0.28,30.22
1550,400,295.138,25.56,3.53,91.959,1.05,-2.48,-0.32,29.6
1520,430,357.152,26.02,3.68,110.458,1.15,-2.15,0.1,28.87
1480,470,418.753,26.03,3.68,113.135,1.03,-2.29,-0.04,29.76
1440,510,479.992,24.79,3.29,101.258,1.1,-2.47,-0.48,29.28
1410,540,540.649,25.08,3.38,66.777,1.09,-2.19,-0.14,29.32
1370,580,592.071,25.31,3.45,59.381,1.21,-2.36,-0.25,28.46
1340,610,634.593,25.63,3.55,95.452,1.19,-2.3,-0.13,28.61
1300,650,676.736,25.95,3.65,118.615,1.11,-2.28,-0.04,29.17
1270,680,718.721,25.36,3.46,135.845,1.04,-2.15,-0.03,29.69
1230,720,760.606,25.23,3.43,149.225,1.07,-2.32,-0.23,29.45
1200,750,802.417,25.63,3.55,159.724,1.21,-2.22,-0.05,28.45
1160,790,844.168,24.57,3.23,167.881,0.92,-2.28,-0.34,30.58
1130,820,885.868,26.07,3.69,174.023,1.15,-2.34,-0.08,28.85
1090,860,927.521,25.76,3.59,178.354,1.32,-2.35,-0.15,27.63
1060,890,969.132,25.47,3.5,181.001,1.16,-2.23,-0.1,28.77
1020,930,1010.702,26.06,3.69,182.035,1.26,-2.26,0,28.09
990,960,1052.232,25.57,3.53,181.479,-2.24,25.57,NA,NA
950,1000,1093.72,25.49,3.51,179.316,1.12,-2.18,-0.04,29.1
920,1030,1135.166,25.8,3.61,175.481,1.19,-2.34,-0.14,28.55
880,1070,1176.566,25.6,3.54,169.855,1.1,-2.34,-0.18,29.28
850,1100,1217.914,25.31,3.45,162.246,1.04,-2.31,-0.21,29.7
820,1130,1259.203,26.04,3.68,152.346,1.12,-2.28,-0.02,29.11
780,1170,1300.418,25.31,3.45,139.651,1.23,-2.28,-0.17,28.27
750,1200,1341.532,25.89,3.63,123.265,1.17,-2.24,-0.01,28.71
710,1240,1382.488,25.85,3.62,101.318,1.39,-2.22,0,27.06
680,1270,1423.066,26.22,3.74,67.993,1.26,-2.4,-0.11,28.08
640,1310,1455.916,25.3,3.45,58.788,1.21,-2.33,-0.23,28.46
610,1340,1481.486,25.54,3.52,82.645,1.07,-2.12,0.03,29.46
580,1370,1506.779,25.85,3.62,98.844,1.16,-2.23,-0.01,28.84
540,1410,1531.957,26.33,3.78,111.031,1.15,-2.03,0.29,28.92
510,1440,1557.06,26.62,3.88,120.478,1.18,-2.18,0.2,28.65
480,1470,1582.109,26.19,3.73,127.813,1.21,-2.19,0.1,28.46
440,1510,1607.113,26.43,3.82,133.393,1.25,-2.29,0.05,28.1
