age (BP),temperature (degC)
-43,15.4
-4,14.332
22,14.51
63,14.568
74,15.267
85,14.578
96,14.983
118,15.474
140,14.198
164,15.345
176,14.852
182,13.988
189,15.462
201,14.645
208,14.44
214,14.901
227,14.865
234,14.45
241,14.998
255,14.738
262,15.374
270,14.808
284,15.626
292,15.54
300,15.512
315,15.636
323,15.533
331,14.97
397,14.707
435,14.768
475,14.246
518,14.436
564,14.717
613,15.675
665,15.432
720,15.097
779,14.007
839,14.627
967,14.875
983,14.849
1075,15.533
1142,15.156
1209,14.579
1277,14.082
1345,15.113
1413,14.059
1480,14.399
1548,14.521
1615,14.726
1681,14.189
1731,14.463
1797,14.492
1822,14.625
1846,14.794
1903,14.847
1944,15.932
2008,15.052
2071,15.179
2133,15.84
2195,15.015
2256,15.3
2316,15.001
2375,14.69
2434,15.412
2491,15.078
2562,15.602
2632,15.081
2686,15.394
2740,14.434
2786,14.703
2844,15.015
2894,14.982
2944,14.758
2993,14.044
3041,15.008
3135,15.449
3182,15.476
3228,15.16
3275,14.928
3321,14.772
3368,15.386
3415,15.104
3463,15.085
3511,14.251
3560,14.537
3623,16.016
3713,16.108
3766,15.27
3877,14.398
3935,15.773
4056,16.181
4119,14.992
4252,14.643
4321,15.1
4393,15.751
4448,14.987
4525,15.21
4603,13.595
4644,14.525
4716,15.318
4780,15.95
4823,15.198
4867,16.246
4912,14.415
4957,14.574
5004,15.588
5051,15.231
5099,15.173
5148,14.64
5198,15.079
5248,15.582
5300,15.078
5352,14.114
5405,14.544
5459,14.691
5514,14.668
5569,14.295
5625,14.54
5660,14.819
5697,14.858
5755,14.752
5813,14.566
5873,14.535
5933,14.209
5993,15.449
6055,15.216
6116,14.849
6179,14.822
6242,14.9
6250,14.889
6385,14.432
6531,15.28
6762,15.122
7014,14.871
7286,13.913
7507,14.936
7761,13.293
8061,15.017
8448,14.051
8738,14.711
8980,14.701
9145,14.739
9250,14.915
9378,14.007
9623,14.595
9798,14.374
9844,14.362
10439,12.872
10536,12.981
10611,13.363
