depth (m),planktic.d18O (permil),planktic.d13C (permil),d18O (permil),d13C (permil),planktic.d18O (permil),planktic.d13C (permil),depth (m),temperature (degC),temperature (degC)
0.02,1.83,-0.06,NA,NA,NA,NA,0.02,10.9,15.7
0.1,1.63,-0.02,2.66,0.49,NA,NA,0.08,10.1,14.35
0.125,1.47,-0.09,2.81,1.17,NA,NA,0.1,8.8,13
0.175,1.54,-0.14,2.7,0.67,NA,NA,0.18,10.6,15
0.2,1.52,-0.02,2.59,0.93,NA,NA,0.2,8.4,12.5
0.3,1.47,-0.31,2.73,0.66,2.03,0.36,0.28,8.5,12.7
0.4,1.24,-0.4,2.61,0.45,2.3,0.19,0.3,8.9,13.1
0.5,1.2,-0.5,2.68,1.06,2.16,0.15,0.38,9,13.4
0.525,1.34,-0.43,2.76,1.04,NA,NA,0.4,8.2,12.4
0.55,1.47,-0.37,2.92,1.01,NA,NA,0.48,8.5,12.8
0.575,1.43,-0.52,2.8,0.9,NA,NA,0.5,8.6,12.7
0.6,1.34,-0.47,2.76,1.2,2.03,0.26,0.58,8.2,12.4
0.625,1.44,-0.32,2.76,1.07,NA,NA,0.6,8.4,12.5
0.65,1.31,-0.54,NA,NA,NA,NA,0.68,8.3,12.5
0.675,1.22,-0.49,2.78,0.87,NA,NA,0.7,8.9,12.9
0.7,1.38,-0.76,NA,NA,2.59,-0.04,0.78,7.9,12.2
0.725,1.38,-0.31,NA,NA,NA,NA,0.8,10,14.4
0.75,1.23,-0.7,NA,NA,NA,NA,0.9,9.45,13.85
0.775,1.28,-0.58,NA,NA,NA,NA,0.99,7.7,11.8
0.8,0.79,-1.03,2.73,0.99,2.75,0.22,1.1,9,13
0.825,1.36,-0.76,NA,NA,NA,NA,1.2,6.1,10.4
0.85,1.25,-0.65,NA,NA,NA,NA,1.3,6.9,10.9
0.875,1.54,-0.85,NA,NA,NA,NA,1.4,4,7.8
0.9,1.27,-0.75,NA,NA,2.99,0.22,1.45,2.9,6.9
0.925,1.4,-0.49,2.63,1.13,NA,NA,1.5,1,4.4
0.95,1.57,-0.71,NA,NA,3.28,0.06,1.6,0.25,3.75
0.975,1.05,-0.79,NA,NA,2.95,0.18,1.7,0.6,4
0.99,1.45,-0.86,2.6,0.99,2.93,0.19,1.8,2.7,6.5
1.075,NA,NA,NA,NA,2.91,0,1.9,3.7,7.8
1.1,1.76,-1.1,NA,NA,3.12,0.2,1.99,3.8,7.9
1.125,1.93,-0.56,NA,NA,3.31,0.22,NA,NA,NA
1.175,1.91,-0.84,NA,NA,3.42,0.3,NA,NA,NA
1.2,2,-0.78,3.54,0.81,3.27,0.28,NA,NA,NA
1.225,1.99,-0.82,2.94,1.09,3.51,0.31,NA,NA,NA
1.25,2.09,-0.65,3.28,0.69,3.65,0.31,NA,NA,NA
1.275,2.23,-0.73,3.37,0.46,3.66,0.24,NA,NA,NA
1.3,2.32,-0.91,3.45,0.42,2.64,-0.18,NA,NA,NA
1.325,2.46,-0.41,3.36,0.9,3.66,0.15,NA,NA,NA
1.35,2.46,-0.44,3.63,0.5,3.29,0.17,NA,NA,NA
1.375,2.46,-0.64,3.53,0.54,3.86,0.14,NA,NA,NA
1.4,2.47,-0.59,3.92,0.49,3.14,-0.15,NA,NA,NA
1.425,2.4,-0.5,3.67,0.36,3.95,0.1,NA,NA,NA
1.45,2.45,-0.49,4.19,0.42,4.1,0,NA,NA,NA
1.475,2.08,-0.71,2.64,1.1,4.15,0.15,NA,NA,NA
1.5,2.53,-0.68,3.9,0.27,3.96,-0.17,NA,NA,NA
1.525,2.45,-0.58,4.52,0.57,4.47,0.08,NA,NA,NA
1.55,2.42,-0.52,4.38,0.45,4.45,0.02,NA,NA,NA
1.575,NA,NA,NA,NA,4.55,0.15,NA,NA,NA
1.6,3.46,-0.62,4.41,0.47,4.32,0.07,NA,NA,NA
1.625,3.39,-0.34,NA,NA,4.42,0.15,NA,NA,NA
1.65,3.09,-0.42,4.53,0.43,4.34,0.13,NA,NA,NA
1.675,3.22,-0.3,NA,NA,4.39,0.17,NA,NA,NA
1.7,3.24,-0.53,3.87,0.09,4.26,-0.05,NA,NA,NA
1.725,3.2,-0.33,4.15,0.41,4.19,0.08,NA,NA,NA
1.75,2.73,-0.11,NA,NA,4.23,0.1,NA,NA,NA
1.775,3.13,-0.23,4.24,0.41,4.36,0.14,NA,NA,NA
1.8,3.14,-0.41,4.18,0.69,4.14,0.04,NA,NA,NA
1.825,3.18,-0.34,4.1,0.62,4.17,0.15,NA,NA,NA
1.85,2.89,-0.27,4.27,0.61,NA,NA,NA,NA,NA
1.875,2.97,-0.13,NA,NA,4.1,0.18,NA,NA,NA
1.9,3.16,-0.28,NA,NA,4.13,0.02,NA,NA,NA
1.925,3.09,-0.18,4.35,1.11,4.1,0.28,NA,NA,NA
1.95,2.78,-0.19,NA,NA,4.05,0.25,NA,NA,NA
1.975,3.1,-0.15,4.08,0.53,4.07,0.17,NA,NA,NA
1.99,3.21,-0.2,4.21,0.92,3.97,0.31,NA,NA,NA
2.025,3.19,-0.08,NA,NA,4.05,0.19,NA,NA,NA
2.05,3.1,-0.08,NA,NA,4.04,0.23,NA,NA,NA
2.075,3.3,-0.25,NA,NA,2.72,-0.47,NA,NA,NA
2.1,3.15,-0.39,4.27,1.29,4.12,0.22,NA,NA,NA
2.125,3.1,-0.09,NA,NA,3.97,0.11,NA,NA,NA
2.15,3.01,-0.15,NA,NA,3.8,0.24,NA,NA,NA
2.175,3.46,-0.09,NA,NA,4.22,0.27,NA,NA,NA
2.2,3.27,-0.23,4.14,0.6,4.05,0.33,NA,NA,NA
2.225,3.38,-0.15,NA,NA,4.27,0.3,NA,NA,NA
2.25,3.13,0.13,NA,NA,3.8,0.28,NA,NA,NA
2.275,NA,NA,NA,NA,4.17,0,NA,NA,NA
2.3,NA,NA,NA,NA,3.87,0.1,NA,NA,NA
2.4,NA,NA,NA,NA,4.21,0.07,NA,NA,NA
2.55,NA,NA,NA,NA,3.95,-0.32,NA,NA,NA
2.675,NA,NA,NA,NA,3.97,0.25,NA,NA,NA
2.7,3.06,-0.27,NA,NA,3.83,0.36,NA,NA,NA
2.725,2.95,-0.05,4.04,0.78,3.13,-0.07,NA,NA,NA
2.75,2.6,-0.15,4.1,1.19,3.87,0.27,NA,NA,NA
2.775,2.85,0.1,4.04,0.84,3.94,0.28,NA,NA,NA
2.8,2.96,-0.24,3.97,0.78,3.9,0.33,NA,NA,NA
2.825,2.85,-0.14,4.09,0.97,NA,NA,NA,NA,NA
2.85,2.67,-0.15,NA,NA,3.87,0.23,NA,NA,NA
2.875,2.8,-0.26,4.14,1.06,3.34,-0.05,NA,NA,NA
2.9,2.92,-0.47,4.06,0.83,3.96,0.35,NA,NA,NA
2.925,2.65,-0.12,4.16,0.81,3.85,0.24,NA,NA,NA
2.95,2.48,-0.58,4.17,0.98,3.82,0.25,NA,NA,NA
2.975,2.27,-0.65,3.94,0.94,3.89,0.27,NA,NA,NA
2.99,2.83,-0.55,3.82,0.76,3.88,0.36,NA,NA,NA
3.025,2.78,-0.42,3.86,0.99,3.77,0.22,NA,NA,NA
3.05,2.21,-0.73,3.93,1.12,3.78,0.18,NA,NA,NA
3.075,2.69,-0.46,4.15,1.07,3.57,0.13,NA,NA,NA
3.1,2.55,-0.7,3.45,0.68,3.78,0.2,NA,NA,NA
3.125,2.52,-0.5,3.93,1.04,3.57,0,NA,NA,NA
3.15,2.29,-0.68,4.02,0.99,3.77,0.15,NA,NA,NA
3.175,2.55,-0.51,4.06,0.97,3.78,0.1,NA,NA,NA
3.2,2.04,-0.89,3.85,1.09,3.87,0.17,NA,NA,NA
3.225,2.63,-0.29,4.01,0.86,3.65,0.02,NA,NA,NA
3.25,2.06,-0.72,4.09,1.18,3.6,-0.05,NA,NA,NA
3.275,2.6,-0.42,4.06,1.2,NA,NA,NA,NA,NA
3.3,2.72,-0.45,3.82,0.89,3.53,-0.05,NA,NA,NA
3.325,2.64,-0.54,3.89,1.16,3,-0.29,NA,NA,NA
3.35,2.41,-0.58,4,1,3.59,-0.03,NA,NA,NA
3.375,2.85,-0.35,3.86,0.78,3.67,0.02,NA,NA,NA
3.4,2.72,-0.62,NA,NA,3.67,0.09,NA,NA,NA
3.425,2.48,-0.59,3.88,0.99,3.62,-0.14,NA,NA,NA
3.45,NA,NA,4.02,0.85,3.55,0.04,NA,NA,NA
3.475,2.56,-1.11,NA,NA,3.44,-0.17,NA,NA,NA
3.5,2.69,-0.84,3.43,0.8,3.56,-0.13,NA,NA,NA
3.52,2.75,-0.84,3.93,1.05,3.39,-0.11,NA,NA,NA
3.55,2.41,-1.03,4.01,1.05,3.7,-0.09,NA,NA,NA
3.575,2.66,-1.06,3.98,0.61,3.41,-0.12,NA,NA,NA
3.6,2.59,-0.83,3.39,0.76,3.45,-0.07,NA,NA,NA
3.625,2.6,-0.8,NA,NA,3.16,-0.13,NA,NA,NA
3.65,2.3,-0.35,NA,NA,3.37,-0.08,NA,NA,NA
3.675,2.53,-0.53,NA,NA,4.09,0.05,NA,NA,NA
3.7,2.99,-0.57,3.89,0.2,4.19,0.07,NA,NA,NA
3.725,2.71,-0.23,4.13,0.92,3.97,-0.01,NA,NA,NA
3.75,2.29,-0.21,NA,NA,4.16,0.2,NA,NA,NA
3.79,2.32,-0.25,3.59,1.09,4.29,0.17,NA,NA,NA
3.825,2.41,-0.05,4.16,0.53,4.28,0.15,NA,NA,NA
3.85,2.21,-0.31,3.39,0.35,3.82,-0.05,NA,NA,NA
3.875,2.21,-0.17,2.55,0.1,3.26,-0.1,NA,NA,NA
3.89,2.34,-0.34,NA,NA,3.94,0.12,NA,NA,NA
3.925,2.27,-0.16,3.96,0.87,3.66,0.28,NA,NA,NA
3.95,2.26,-0.25,3.62,1.33,3.52,0.09,NA,NA,NA
3.975,2.33,-0.12,3.6,1.03,3.54,0.14,NA,NA,NA
3.99,2.45,-0.52,3.22,0.98,3.48,0.22,NA,NA,NA
4.025,2.38,-0.08,3.6,0.86,NA,NA,NA,NA,NA
4.05,2.13,-0.32,3.72,1.1,NA,NA,NA,NA,NA
4.075,2.37,-0.22,3.8,1.14,NA,NA,NA,NA,NA
4.09,2.24,-0.47,NA,NA,3.44,0.38,NA,NA,NA
4.125,2.66,-0.03,3.46,0.76,NA,NA,NA,NA,NA
4.15,2.42,0.02,3.22,0.82,NA,NA,NA,NA,NA
4.175,2.55,-0.16,3.65,1,3.31,0.16,NA,NA,NA
4.19,2.53,-0.33,3.5,1.32,3.19,0.38,NA,NA,NA
4.225,2.42,-0.19,3.39,1.1,NA,NA,NA,NA,NA
4.25,NA,NA,3.39,0.83,NA,NA,NA,NA,NA
4.275,2.55,-0.14,3.14,0.74,NA,NA,NA,NA,NA
4.29,2.61,-0.29,3.27,0.71,2.98,0.35,NA,NA,NA
4.325,2.44,-0.3,3.39,1.06,NA,NA,NA,NA,NA
4.35,2.29,-0.34,3.34,0.54,NA,NA,NA,NA,NA
4.375,2.28,-0.68,3.3,0.51,NA,NA,NA,NA,NA
4.4,2.48,-0.4,NA,NA,NA,NA,NA,NA,NA
4.42,2.34,-0.3,3.87,1.08,3.18,0.19,NA,NA,NA
4.45,2.16,-0.3,3.39,0.99,NA,NA,NA,NA,NA
4.475,2.05,-0.34,3.4,1.13,NA,NA,NA,NA,NA
4.5,2.26,-0.49,3,1.09,NA,NA,NA,NA,NA
4.525,2.28,-0.52,3.89,0.98,NA,NA,NA,NA,NA
4.55,2.21,-0.23,3.56,1.21,NA,NA,NA,NA,NA
4.575,2.1,-0.4,NA,NA,NA,NA,NA,NA,NA
4.6,2.29,-0.49,NA,NA,NA,NA,NA,NA,NA
4.625,2.04,-0.42,3.48,1.07,NA,NA,NA,NA,NA
4.65,2.16,-0.46,3.64,1.03,NA,NA,NA,NA,NA
4.675,2.21,-0.36,3.54,1.32,3,0.17,NA,NA,NA
4.7,2.18,-0.79,NA,NA,NA,NA,NA,NA,NA
4.8,NA,NA,3.08,1.13,NA,NA,NA,NA,NA
4.9,2.94,-0.45,3.46,1.08,NA,NA,NA,NA,NA
5,1.94,-0.76,3.2,0.49,NA,NA,NA,NA,NA
5.1,2.02,-0.59,3.25,0.83,NA,NA,NA,NA,NA
5.2,1.64,-0.62,2.76,0.82,NA,NA,NA,NA,NA
5.3,1.61,-0.71,2.4,0.77,NA,NA,NA,NA,NA
5.4,1.6,-0.79,2.57,0.76,NA,NA,NA,NA,NA
5.5,1.27,-0.79,2.58,0.45,NA,NA,NA,NA,NA
5.6,1.02,-0.78,2.4,0.28,NA,NA,NA,NA,NA
5.7,1.43,-1.3,2.57,0.56,NA,NA,NA,NA,NA
5.8,1.54,-1.3,NA,NA,NA,NA,NA,NA,NA
5.9,3.31,-1.05,NA,NA,NA,NA,NA,NA,NA
