age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),lab_id (),material_dated ()
-39,0,0,0,NA,NA,0,2,NA,NA
NA,11.7,112,122,990,90,10,1,1,3
NA,92.7,924,930,3830,90,6,1,2,1
NA,141.7,1414,1420,5880,50,6,1,3,4
NA,192.9,1914,1944,8150,60,30,1,4,2
