year (AD),age (BP),depth (m),dust (percent),UncertaintyDust0x5B0x250x5D0x28Plus0x29 (missing),UncertaintyDust0x5B0x250x5D0x28Minus0x29 (missing)
1510,440,0.02,22.3,1.7,2.1
1330,620,0.04,27.6,1.8,2
1140,810,0.06,23.9,1.7,2
960,990,0.08,26.7,1.6,2
770,1180,0.1,19.6,1.6,1.9
590,1360,0.12,21.2,1.8,2.2
400,1550,0.14,21.9,1.7,2
220,1730,0.16,28.4,1.5,1.7
30,1920,0.18,24.2,1.5,1.8
-150,2100,0.2,20.3,1.8,2.3
-520,2470,0.24,12.6,2.5,2.9
-700,2650,0.26,20.3,1.9,2.3
-890,2840,0.28,15,2.2,2.5
-1070,3020,0.3,13.3,2.1,2.4
-1260,3210,0.32,13.1,2.4,2.7
-1440,3390,0.34,14.7,2.2,2.5
-1630,3580,0.36,17.2,2.7,3.2
-1810,3760,0.38,10.7,2.7,3
-2000,3950,0.4,15.7,2.5,3
-2180,4130,0.42,17.3,2.6,3.2
-2550,4500,0.46,7,3.3,3.7
-2730,4680,0.48,6.7,3.9,4.5
-2920,4870,0.5,11.4,3.7,4.3
-3290,5240,0.54,13.8,4.4,5.1
-3470,5420,0.56,9.1,4.6,5.4
-3660,5610,0.58,0.9,5.1,0
-3840,5790,0.6,1,3.1,0
-4210,6160,0.64,5.2,5.5,4.2
-4400,6350,0.66,2,5.6,1.1
-4580,6530,0.68,1.7,6,0.8
-4810,6760,0.7,1,4.5,0
-5030,6980,0.72,8.6,5.3,6.4
-5480,7430,0.76,5.1,6.7,4.1
-5700,7650,0.78,1,4.3,0
-5930,7880,0.8,3.1,7.3,2.1
-6150,8100,0.82,1,6.4,0
-6380,8330,0.84,1,2.5,0
-6600,8550,0.86,1,4.7,0
-7280,9230,0.92,5.2,5.3,4.2
-7500,9450,0.94,2.4,5.8,1.5
-7730,9680,0.96,3.1,6,2.1
-7950,9900,0.98,4.8,6.2,3.8
-8100,10050,1,10.3,5.4,6.5
-8260,10210,1.02,6.2,6.3,5.2
-8410,10360,1.04,14.5,4.8,5.8
-8570,10520,1.06,9.8,4.9,5.7
-8720,10670,1.08,12.5,5.4,6.4
-9030,10980,1.12,13.1,4.9,5.9
-9190,11140,1.14,14.9,4.7,5.6
