depth (m),age (BP),temperature (degC),CaCO3 (percent),TOC (percent),depth (m),age (BP),planktic.d18O (permil),planktic.d18O (permil),planktic.d18O (permil),d18O (permil),d18O (permil)
NA,NA,NA,NA,NA,1.42,18825,NA,3.835,NA,NA,4.805
NA,NA,NA,NA,NA,1.44,19015,NA,4.36,NA,NA,4.92
NA,NA,NA,NA,NA,1.46,19206,NA,4.07,NA,NA,4.87
NA,NA,NA,NA,NA,1.48,19396,NA,4.165,NA,NA,4.805
NA,NA,NA,NA,NA,1.5,19581,NA,3.985,NA,NA,4.815
NA,NA,NA,NA,NA,1.52,19730,NA,3.735,NA,NA,4.69
NA,NA,NA,NA,NA,1.54,19872,NA,3.875,NA,NA,4.575
NA,NA,NA,NA,NA,1.56,20015,NA,4.04,NA,NA,4.755
NA,NA,NA,NA,NA,1.58,20158,NA,3.79,NA,NA,4.76
NA,NA,NA,NA,NA,1.6,20301,NA,4.075,NA,NA,4.735
NA,NA,NA,NA,NA,1.62,20443,NA,3.96,NA,NA,4.755
NA,NA,NA,NA,NA,1.64,20586,NA,4.07,NA,NA,4.735
NA,NA,NA,NA,NA,1.66,20729,NA,3.77,NA,NA,4.525
NA,NA,NA,NA,NA,1.68,20872,NA,3.77,NA,NA,4.7
NA,NA,NA,NA,NA,1.7,20979,NA,3.91,NA,NA,4.62
