age (yrBP),core (NA),depth_in_Core (cm),material (NA),error (yr),type (NA)
1005,I,50.5,decalcified sediment,20,AMS14C
1160,I,50.5,female conifer cone,20,AMS14C
2145,I,99.5,decalcified sediment,20,AMS14C
1115,I,99.5,female conifer cone,20,AMS14C
7630,I_07,NA,decalcified sediment,20,AMS14C
2815,J,73.5,charcoal (>125<U+00B5>m),25,AMS14C
2845,C,61.5,decalcified sediment,25,AMS14C
3465,C,73,conifer needle (0.2mg C),25,AMS14C
3930,C,89.5,decalcified sediment,20,AMS14C
415,E,10.5,decalcified sediment,25,AMS14C
920,E,20.5,decalcified sediment,30,AMS14C
1270,E,32.5,decalcified sediment,30,AMS14C
2060,E,35.5,decalcified sediment,15,AMS14C
3455,E,49.5,decalcified sediment,20,AMS14C
3835,E,68.5,decalcified sediment,20,AMS14C
15,H,6.5,decalcified sediment,35,AMS14C
