depth (cm),age (yr bp),error (yr),type (unitless),material (unitless),rejected (unitless)
51.5,44,25,AMS14C,mollusk shell,NA
75.9,492,39,AMS14C,mollusk shell,NA
79.9,2100,80,AMS14C,mollusk shell,X
85.9,8955,70,AMS14C,mollusk shell,X
94.9,7075,50,AMS14C,mollusk shell,X
110.9,1160,45,AMS14C,mollusk shell,NA
110.9,1185,40,AMS14C,turritela,NA
144.9,1370,45,AMS14C,mollusk shell,NA
172.9,1880,80,AMS14C,shell fragments,NA
199.9,2007,37,AMS14C,mollusk shell,NA
247.9,2340,55,AMS14C,mollusk shell,NA
86.5,545,25,AMS14C,mollusk shell,NA
