depth (cm) [1-1],age (BP) [1-1],OM (percent) [1-1],depth (cm) [2-1],age (BP) [2-1],MS (missing) [2-1]
0.5,-53.4,6.358,16.5,1455.224,4.6
1.5,-30.1,4.925,17.5,1562.303,4.6
2.5,8.7,8.143,18.5,1669.382,3.65
3.5,63.2,5.949,19.5,1776.461,4.1
4.5,170.279,4.888,20.5,1921,4.05
5.5,277.358,5.857,21.5,2063,3.8
6.5,384.436,6.098,22.5,2206,5.85
7.5,491.515,6.321,23.5,2348,4.35
8.5,598.594,6.921,24.5,2491,4.15
9.5,705.673,6.58,25.5,2633,5.3
10.5,812.752,3.085,28,2988.824,4.75
11.5,919.83,3.746,29,3131.176,4.15
12.5,1026.909,4.709,30,3273.529,4.45
13.5,1133.988,4.877,31,3415.882,4.35
14.5,1241.067,6.41,32,3558.235,4.4
15.5,1348.145,3.964,33,3700.588,5.3
16.5,1455.224,5.401,34,3842.941,5.15
17.5,1562.303,6.016,35,3985.294,5.5
18.5,1669.382,6.023,36,4127.647,5.05
19.5,1776.461,7.159,37,4270,6.05
20.5,1921.176,7.426,38,4330,5.85
21.5,2063.529,8.013,39,4400,5.95
22.5,2205.882,6.602,40,4470,5.95
23.5,2348.235,7.043,41,4540,6.65
24.5,2490.588,6.351,42,4610,7.2
25.5,2632.941,5.484,43,4680,7.15
26.5,2775.294,7.471,44,4750,7.65
27.25,2882.059,9.228,45,4820,8.1
28,2988.824,9.281,46,4890,8.05
29,3131.176,9.663,47,4960,7.5
30,3273.529,9.589,48,5030,8.9
31,3415.882,9.113,49,5100,11.9
32,3558.235,9.515,50,5170,12.65
33,3700.588,10.468,51,5240,14.15
34,3842.941,10.525,52,5310,15.65
35,3985.294,9.475,53,5380,19.5
36,4127.647,8.877,54,5450,24.4
37,4270,9.888,55,5520,32.75
38,4330,9.838,56,5590,37.9
39,4400,9.914,57,5660,39
40,4470,8.782,58,5680,38.15
41,4540,8.417,59,5730,17.4
42,4610,7.426,60,5780,20.7
43,4680,7.534,61,5830,23.8
44,4750,7.477,62,5880,26.75
45,4820,7.51,63,5930,37.55
46,4890,6.402,64,5980,43.95
47,4960,8.134,65,6030,58.5
48,5030,7.112,66,6080,72.55
49,5100,7.569,67,6130,95.45
50,5170,7.688,68,6180,100.7
51,5240,7.752,69,6230,133.05
52,5310,7.729,70,6280,147.25
53,5380,8.103,71,6330,108.75
54,5450,7.66,72,6380,129.05
55,5520,7.428,73,6430,140.4
56,5590,7.516,74,6480,126.35
57,5660,7.035,75,6530,112
58,5680,7.086,76,6580,135.15
59,5730,6.99,80.5,6805,113.9
60,5780,6.057,81.5,6855,122.9
61,5830,4.821,82.5,6905,131.1
62,5880,4.783,83.5,6955,238.8
63,5930,5.283,84.5,7005,149.05
64,5980,5.619,85.5,7055,176.6
65,6030,4.413,86.5,7105,233.6
66,6080,3.548,87.5,7155,76.95
67,6130,3.254,88.5,7205,98.6
68,6180,3.187,89.5,7255,203.5
69,6230,3.349,90.5,7305,62.15
70,6280,3.275,91.5,7355,23.7
71,6330,2.722,92.5,7405,12.65
72,6380,2.793,93.5,7455,110
73,6430,3.038,95.5,7555,159.8
74,6480,2.722,96.5,7605,177.6
75,6530,2.655,97.5,7655,137.4
76,6580,3.155,98.5,7705,165.35
77,6630,3.302,99.5,7755,125.3
78,6680,2.631,100.5,7805,181.75
79,6730,3.625,101.5,7855,211
80,6780,3.59,NA,NA,NA
81,6830,3.433,NA,NA,NA
82,6880,2.193,NA,NA,NA
83,6930,2.906,NA,NA,NA
84,6980,2.71,NA,NA,NA
85,7030,2.36,NA,NA,NA
86,7080,1.475,NA,NA,NA
87,7130,1.334,NA,NA,NA
88,7180,1.238,NA,NA,NA
89,7230,1.249,NA,NA,NA
90,7280,1.22,NA,NA,NA
91,7330,1.312,NA,NA,NA
92,7380,1.333,NA,NA,NA
93,7430,1.169,NA,NA,NA
94,7480,1.213,NA,NA,NA
95,7530,1.246,NA,NA,NA
96,7580,1.153,NA,NA,NA
97,7630,1.318,NA,NA,NA
98,7680,1.189,NA,NA,NA
99,7730,1.129,NA,NA,NA
100,7780,1.283,NA,NA,NA
101,7830,1.078,NA,NA,NA
102,7880,1.025,NA,NA,NA
103,7930,0.935,NA,NA,NA
104,7980,2.07,NA,NA,NA
105,8030,3.372,NA,NA,NA
106,8080,4.011,NA,NA,NA
