depth (cm),age (bp),age14C (bp),age_error (1s),age_type (),material_dated (),lab_id ()
70,NA,2045,30,1,1,1
102,NA,2525,35,1,1,2
144.5,NA,3315,30,1,1,3
178.5,NA,3695,35,1,1,4
184.5,NA,3820,35,1,1,5
222,NA,4535,35,1,1,6
262,NA,5210,35,1,1,7
302,NA,5800,40,1,1,8
340,NA,6305,40,1,1,9
380,NA,7740,40,1,1,10
405.6,10240,NA,NA,2,2,NA
430.5,NA,9840,50,1,1,11
