year (AD),age (BP),d18O (missing),d13C (missing)
2006,-56,-8.39,-10.18
2004.08,-54.08,-8.13,-10.03
2002.15,-52.15,-8.05,-11.07
2000.23,-50.23,-8.28,-11.02
1998.3,-48.3,-8.18,-10.42
1996.38,-46.38,-8.31,-10.09
1994.45,-44.45,-8.38,-10.62
1992.53,-42.53,-8.37,-10.72
1990.6,-40.6,-8.45,-10.24
1988.68,-38.68,-8.26,-10.62
1986.75,-36.75,-8.39,-10.46
1984.83,-34.83,-8.29,-10.33
1982.91,-32.91,-8.36,-10.04
1980.98,-30.98,-8.5,-9.73
1979.06,-29.06,-8.73,-9.69
1977.13,-27.13,-8.43,-9.48
1975.21,-25.21,-8.3,-9.77
1973.28,-23.28,-8.4,-9.92
1971.36,-21.36,-8.42,-9.95
1969.43,-19.43,-8.62,-9.38
1967.51,-17.51,-8.27,-9.42
1965.58,-15.58,-8.04,-9.4
1963.66,-13.66,-8.05,-9.23
1961.74,-11.74,-8.02,-9.39
1959.81,-9.81,-8.04,-9.8
1957.89,-7.89,-8.03,-9.32
1955.96,-5.96,-8.07,-9.56
1954.04,-4.04,-7.97,-9.37
1952.11,-2.11,-7.96,-9.1
1950.19,-0.19,-7.91,-9.22
1948.26,1.74,-8.04,-9.58
1946.34,3.66,-8.42,-9.3
1944.42,5.58,-8.39,-9.08
1942.49,7.51,-8.35,-9.12
1940.57,9.43,-8.23,-9.2
1938.64,11.36,-8.15,-8.98
1936.72,13.28,-7.87,-9.28
1934.79,15.21,-8.04,-9.74
1932.87,17.13,-8.18,-9.97
1930.94,19.06,-8.18,-9.28
1929.02,20.98,-8.19,-8.84
1927.09,22.91,-8.31,-9
1925.17,24.83,-8.05,-8.96
1923.25,26.75,-7.96,-8.69
1921.32,28.68,-7.75,-8.69
1919.4,30.6,-7.69,-8.69
1917.47,32.53,-7.81,-8.81
1915.55,34.45,-7.83,-9.02
1913.62,36.38,-7.69,-8.93
1911.7,38.3,-7.68,-9.26
1909.77,40.23,-7.82,-9.3
1907.85,42.15,-7.76,-9.09
1905.92,44.08,-7.77,-9
1904,46,-7.85,-9.15
1902.08,47.92,-7.84,-9.49
1900.15,49.85,-7.89,-9.7
1898.23,51.77,-7.78,-9.46
1896.3,53.7,-7.73,-9.68
1894.38,55.62,-7.63,-9.47
1892.45,57.55,-7.49,-9.35
1890.53,59.47,-7.33,-9.19
1888.6,61.4,-7.43,-9.58
1886.68,63.32,-7.84,-9.62
1884.75,65.25,-8.02,-9.85
1882.83,67.17,-8.06,-9.64
1880.91,69.09,-8.02,-9.52
1878.98,71.02,-7.85,-9.71
1877.06,72.94,-7.66,-9.62
1875.13,74.87,-7.82,-9.58
1873.21,76.79,-7.91,-9.69
1871.28,78.72,-7.99,-9.9
1869.36,80.64,-7.97,-9.8
1867.43,82.57,-7.89,-9.51
1865.51,84.49,-8,-9.25
1863.58,86.42,-7.92,-9.44
1861.66,88.34,-7.89,-9.45
1859.74,90.26,-7.92,-9.68
1857.81,92.19,-7.97,-9.62
1855.89,94.11,-7.99,-9.46
1853.96,96.04,-7.91,-9.73
1852.04,97.96,-7.81,-9.68
1850.11,99.89,-7.98,-9.56
1848.19,101.81,-8.18,-9.86
1846.26,103.74,-8.22,-10.04
