depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
0,0,16.816,17.537,16.095,Y
5,277.53,14.756,15.477,14.035,Y
10,553.41,12.408,13.129,11.687,Y
20,827.56,15.184,15.905,14.463,Y
30,1370.3,15.766,16.487,15.045,Y
40,1904.9,14.471,15.192,13.75,Y
50,2169,14.033,14.754,13.312,Y
60,2430.7,14.63,15.351,13.909,Y
70,2947,14.699,15.42,13.978,Y
80,3201.3,15.7,16.421,14.979,Y
90,3452.9,16.067,16.788,15.346,Y
100,3947.7,16.355,17.076,15.633,Y
110,4190.7,15.273,15.994,14.552,Y
120,4667.4,16.252,16.973,15.53,Y
130,5357.9,17.187,17.908,16.466,Y
140,5581.2,17.177,17.898,16.456,Y
150,5800.8,17.079,17.8,16.358,Y
160,6016.7,16.988,17.709,16.267,Y
170,6641.1,16.894,17.615,16.173,Y
180,6841.2,16.848,17.569,16.127,Y
190,7037.1,16.725,17.446,16.004,Y
200,7416,15.562,16.282,14.841,Y
210,7598.7,15.664,16.385,14.943,Y
220,7794.5,14.508,15.229,13.787,Y
230,7967.6,15.327,16.048,14.606,Y
240,8135.9,15.156,15.877,14.435,Y
250,8315.4,15.078,15.799,14.357,Y
260,8473.4,15.137,15.858,14.416,Y
270,8680,15.092,15.813,14.371,Y
280,8888.5,14.952,15.673,14.231,Y
290,9026.8,16.244,16.965,15.523,Y
300,9159.6,16.468,17.189,15.748,Y
310,9408.7,16.284,17.005,15.563,Y
320,9635,15.632,16.353,14.911,Y
330,10016,15.321,16.042,14.6,Y
340,10169,15.749,16.47,15.028,Y
350,10261,14.65,15.371,13.929,Y
360,10500,13.288,14.009,12.567,Y
370,10790.92,13.611,14.332,12.89,Y
380,10851.74,13.118,13.839,12.397,Y
390,11000,14.567,15.288,13.846,Y
395,11150,14.887,15.608,14.166,Y
400,11300,14.695,15.416,13.974,Y
405,11500,9.511,10.232,8.79,Y
