depth (cm),age (BP),temperature (degC)
1,-127.935,12.203
5,65.445,12.599
10,307.17,13.232
15,548.895,12.559
20,790.62,13.669
25,1032.345,12.32
30,1274.07,14.249
35,1515.795,13.192
40,1757.52,12.878
45,1999.245,12.79
50,2240.97,13.32
55,2482.695,11.612
60,2724.42,13.601
65,2966.15,14.229
70,3207.87,13.18
75,3449.6,13.714
80,3691.32,13.54
85,3933.05,13.06
90,4174.77,13.252
95,4416.5,12.976
100,4658.22,13.19
105,4899.95,13.89
110,5141.67,12.558
115,5383.4,13.57
120,5625.12,11.824
125,5866.85,12.245
130,6108.57,12.658
135,6350.3,13.838
140,6592.02,13.195
145,6833.75,13.161
150,7075.47,14.053
155,7317.2,14.919
162,7655.61,14.047
165,7800.65,14.272
170,8042.37,13.117
175,8284.1,13.656
180,8525.82,13.892
185,8767.55,15.107
190,9009.27,14.846
195,9251,14.594
200,9492.72,14.308
205,9734.45,14.234
210,9976.17,14.993
215,10217.9,15.502
220,10459.62,15.35
225,10701.35,15.463
230,10943.07,15.422
235,11184.8,15.563
240,11426.52,13.903
