year (AD),age (BP),MTWM (degC)
1950,0,18.698
1900,50,18.61
1850,100,18.522
1800,150,18.542
1750,200,18.708
1700,250,18.875
1650,300,19.018
1600,350,19.04
1550,400,19.062
1500,450,19.084
1450,500,19.177
1400,550,19.277
1350,600,19.378
1300,650,19.364
1250,700,19.285
1200,750,19.206
1150,800,19.172
1100,850,19.212
1050,900,19.251
1000,950,19.286
950,1000,19.286
900,1050,19.286
850,1100,19.286
800,1150,19.208
750,1200,19.121
700,1250,19.034
650,1300,19.064
600,1350,19.128
550,1400,19.192
500,1450,19.22
450,1500,19.229
400,1550,19.239
350,1600,19.272
300,1650,19.327
250,1700,19.382
200,1750,19.399
150,1800,19.363
100,1850,19.326
50,1900,19.329
0,1950,19.429
-50,2000,19.53
-100,2050,19.595
-150,2100,19.478
-200,2150,19.361
-250,2200,19.257
-300,2250,19.252
-350,2300,19.247
-400,2350,19.245
-450,2400,19.259
-500,2450,19.274
-550,2500,19.289
-600,2550,19.313
-650,2600,19.337
-700,2650,19.365
-750,2700,19.413
-800,2750,19.461
-850,2800,19.507
-900,2850,19.546
-950,2900,19.584
-1000,2950,19.598
-1050,3000,19.523
-1100,3050,19.448
-1150,3100,19.386
-1200,3150,19.386
-1250,3200,19.386
-1300,3250,19.386
-1350,3300,19.386
-1400,3350,19.386
-1450,3400,19.386
-1500,3450,19.401
-1550,3500,19.423
-1600,3550,19.445
-1650,3600,19.405
-1700,3650,19.294
-1750,3700,19.184
-1800,3750,19.113
-1850,3800,19.166
-1900,3850,19.219
-1950,3900,19.271
-2000,3950,19.28
-2050,4000,19.289
-2100,4050,19.298
-2150,4100,19.18
-2200,4150,19.026
-2250,4200,18.871
-2300,4250,18.864
-2350,4300,18.981
-2400,4350,19.086
-2450,4400,19.148
-2500,4450,19.21
-2550,4500,19.168
-2600,4550,19.119
-2650,4600,19.081
-2700,4650,19.05
-2750,4700,19.023
-2800,4750,19.004
-2850,4800,18.986
-2900,4850,19.088
-2950,4900,19.189
-3000,4950,19.29
-3050,5000,19.392
-3100,5050,19.493
-3150,5100,19.594
-3200,5150,19.652
-3250,5200,19.637
-3300,5250,19.622
-3350,5300,19.607
-3400,5350,19.593
-3450,5400,19.603
-3500,5450,19.635
-3550,5500,19.667
-3600,5550,19.699
-3650,5600,19.731
-3700,5650,19.758
-3750,5700,19.781
-3800,5750,19.8
-3850,5800,19.8
-3900,5850,19.8
-3950,5900,19.743
-4000,5950,19.667
-4050,6000,19.618
-4100,6050,19.63
-4150,6100,19.641
-4200,6150,19.765
-4250,6200,20.034
-4300,6250,19.96
-4350,6300,19.495
-4400,6350,19.682
-4450,6400,19.795
-4500,6450,19.906
-4550,6500,19.849
-4600,6550,19.65
-4650,6600,19.938
-4700,6650,20.202
-4750,6700,20.211
-4800,6750,20.209
-4850,6800,20.2
-4900,6850,20.324
-4950,6900,19.939
-5000,6950,20.212
-5050,7000,20.215
-5100,7050,20.172
-5150,7100,20.189
-5200,7150,20.225
-5250,7200,20.294
-5300,7250,20.296
-5350,7300,20.265
-5400,7350,20.17
-5450,7400,20.111
-5500,7450,20.102
-5550,7500,20.087
-5600,7550,20.085
-5650,7600,20.191
-5700,7650,20.275
-5750,7700,20.178
-5800,7750,20.082
-5850,7800,20.137
-5900,7850,20.246
-5950,7900,20.308
-6000,7950,20.29
-6050,8000,20.272
-6100,8050,20.271
-6150,8100,20.271
-6200,8150,20.271
-6250,8200,20.271
-6300,8250,20.274
-6350,8300,20.268
-6400,8350,19.967
-6450,8400,19.85
-6500,8450,19.759
-6550,8500,19.639
-6600,8550,19.489
-6650,8600,19.401
-6700,8650,19.75
-6750,8700,20.1
-6800,8750,20.068
-6850,8800,19.911
-6900,8850,19.855
-6950,8900,19.964
-7000,8950,20.069
-7050,9000,19.775
-7100,9050,19.48
-7150,9100,19.442
-7200,9150,19.554
-7250,9200,19.665
-7300,9250,19.777
-7350,9300,19.895
-7400,9350,20.019
-7450,9400,19.976
-7500,9450,19.893
-7550,9500,19.81
-7600,9550,19.692
-7650,9600,19.51
-7700,9650,19.5
-7750,9700,19.591
-7800,9750,19.69
-7850,9800,19.789
-7900,9850,19.888
-7950,9900,19.901
-8000,9950,19.808
-8050,10000,19.714
-8100,10050,19.621
-8150,10100,19.528
-8200,10150,19.435
-8250,10200,19.342
-8300,10250,19.291
-8350,10300,19.276
-8400,10350,19.26
-8450,10400,19.244
-8500,10450,19.228
-8550,10500,19.212
-8600,10550,19.197
-8650,10600,19.181
-8700,10650,19.104
-8750,10700,18.934
-8800,10750,18.764
-8850,10800,18.594
-8900,10850,18.424
-8950,10900,18.254
-9000,10950,18.084
-9050,11000,17.913
