depth (cm),depth_top (mm),depth_bot (mm),age14C (bp),age_error_orig (years),age_error (1_s),deltaR (years),deltaR_error (years),depth_mid (mm),thickness (mm),age_type (),core_name (),lab_id (),material_dated (),original_reference ()
72.5,720,730,2885,60,93,251,71,725,10,1,1,1,3,1
462.5,4610,4640,4065,50,86.8,251,71,4625,30,1,1,2,3,1
528,5270,5290,4190,60,93,251,71,5280,20,1,1,4,3,1
704.5,7040,7050,5110,55,89.8,251,71,7045,10,1,1,6,2,1
832.5,8310,8340,6675,75,103.3,251,71,8325,30,1,1,3,2,1
833,8320,8340,6800,60,93,251,71,8330,20,1,1,5,1,1
