depth (cm),age (yr bp),error (yr),material (unitless),type (unitless),rejected (unitless)
10,3655,25,G. ruber,AMS14C,NA
140,7805,40,G. ruber,AMS14C,NA
170,8815,40,G. ruber,AMS14C,NA
290,10600,50,G. ruber,AMS14C,NA
410,12570,60,G. ruber,AMS14C,NA
510,13540,80,G. Ruber,G. sacculifer,AMS14C
