depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],age (BP) [2-1],d18O (permil) [2-1],depth (cm) [3-1],age (BP) [3-1],depth.top (mm) [3-1],mass dry (g) [3-1],mass dry >1mm (g) [3-1],mass dry 106 to 1000 um (g) [3-1],mass dry 63 to 106 um (g) [3-1],depth (cm) [4-1],age (BP) [4-1],carbonate (percent) [4-1]
2.5,183.17,6.053,196.53,2.751,1.5,182.85,10,5.227,0.011,0.612,0.427,2.5,183.17,2.75
14.5,187,NA,317.148,2.644,2.5,183.17,20,4.074,0.011,4.039,0.377,4.5,183.61,3.67
32.5,225.95,4.167,377.457,3.023,4.5,183.81,40,3.587,0.015,0.054,0.415,6.5,184.04,3.25
50.5,385.35,NA,500.552,2.711,6.5,184.45,60,5.096,0.047,0.269,0.641,8.5,184.48,4
62.5,500.23,2.6,649.94,2.856,8.5,185.09,80,4.18,0,0.037,0.198,10.5,184.92,4
76.5,650.19,7.658,649.94,2.632,10.5,185.72,100,4.094,0.003,0.123,0.337,12.5,185.36,4.33
90.5,766.08,2.73,713.964,2.683,12.5,186.36,120,3.254,0,0.038,0.051,14.5,185.8,2.83
100.5,839.3,NA,775.088,2.676,14.5,187,140,3.352,0,0.021,0.055,16.5,186.24,5.17
112.5,919.9,3.484,919.918,2.878,16.5,187.64,160,4.597,0,0.021,0.076,18.5,186.68,3.58
128.5,1017.7,4.885,919.918,2.962,18.5,188.28,180,4.363,0.007,0.027,0.102,20.5,187.12,3.67
144.5,1097.5,4.073,1017.679,3.103,20.5,188.92,200,4.766,0.031,0.027,0.102,22.5,187.56,3.33
150.5,1125.2,5.223,1017.679,2.898,22.5,189.56,220,4.043,0,0.02,0.077,24.5,188,4
162.5,1230.6,3.408,1115.981,2.861,24.5,190.2,240,5.706,0,0.02,0.089,26.5,188.96,4.42
170.5,1367.4,4.523,1153.047,2.741,26.5,190.84,260,3.274,0.001,0.014,0.036,28.5,191.48,4
178.5,1504.2,1.414,1227.179,2.999,28.5,191.48,280,4.397,0.004,0.022,0.109,30.5,194.01,3.92
186.5,1628.2,3.442,1227.179,2.932,30.5,208.71,300,5.369,0,0.032,0.066,32.5,196.53,4.25
194.5,1713.9,4.329,1361.142,2.815,32.5,225.95,320,5.718,0.023,0.036,0.069,34.5,203.72,3.58
202.5,1799.6,4.413,1495.105,2.982,34.5,243.18,340,6.034,0.048,0.045,0.077,36.5,224.9,3.75
206.5,1842.4,2.737,1495.105,2.949,36.5,260.41,360,6.122,0.463,0.036,0.071,38.5,246.08,3.75
214.5,1911.1,2.659,1629.068,2.938,38.5,277.65,380,6.8,0.008,0.028,0.065,40.5,267.26,3.75
224.5,1975.7,3.975,1727.396,2.954,40.5,294.88,400,5.951,0.023,0.035,0.085,42.5,288.44,2.67
234.5,2040.3,4.615,1727.396,2.903,42.5,312.11,420,4.977,0.018,0.022,0.064,44.5,309.62,3
244.5,2127.9,2.403,1813.845,2.66,44.5,329.35,440,5.766,0.011,0.029,0.078,46.5,330.79,3.83
252.5,2202.5,NA,1857.07,2.696,46.5,346.58,460,4.914,0.005,0.036,0.061,48.5,351.97,2.58
254.5,2221.2,3.428,1943.52,2.825,48.5,363.81,480,6.217,0.006,0.036,0.054,50.5,373.16,3.33
264.5,2312.8,4.091,1996.258,2.659,50.5,381.05,500,11.595,0.007,0.255,0.73,52.5,394.33,3.33
274.5,2397.2,3.861,2048.997,3.052,52.5,398.28,520,5.977,0.024,0.032,0.061,54.5,415.51,3.42
284.5,2481.7,3.556,2117.295,3.025,54.5,415.51,540,6.691,0.011,0.024,0.06,56.5,436.69,3.75
296.5,2647.7,0.54,2117.295,3.04,56.5,436.85,560,6.674,0.009,0.04,0.082,58.5,457.87,3.25
302.5,2746.9,4.887,2190.605,2.785,58.5,458.18,580,4.743,0,0.013,0.059,60.5,479.06,4.08
316.5,2956,2.093,2208.932,2.835,60.5,479.52,600,4.113,0,0.015,0.037,62.5,500.23,3.67
328.5,3020.3,3.31,2208.932,2.823,62.5,500.85,620,6.27,0.005,0.022,0.06,64.5,521.41,3.75
342.5,3098.3,2.473,2300.57,3.011,64.5,522.18,640,5.48,0,0.014,0.07,66.5,541.22,3.83
352.5,3166.6,2.811,2402.58,2.939,66.5,543.52,660,6.65,0.003,0.025,0.054,68.5,560.63,3.92
370.5,3286.1,4.118,2507.185,3.353,68.5,564.85,680,5.348,0.007,0.026,0.054,70.5,579.98,3.25
382.5,3357.5,4.147,2507.185,2.926,70.5,586.19,700,6.227,0.007,0.041,0.076,72.5,599.38,3.58
394.5,3439.4,4.034,2648.836,2.731,72.5,607.52,720,5.63,0.003,0.034,0.048,74.5,618.71,3.75
402.5,3528.8,NA,2648.836,2.946,74.5,628.86,740,5.116,0.001,0.028,0.039,76.5,642.49,4.42
416.5,3685.3,4.142,2793.758,2.554,76.5,650.19,760,5.07,0.008,0.028,0.059,78.5,667.66,4.17
