depth (cm),dateType (),measurementMaterial (),sensorSpecies (),labID (),age14C (kyr),age14CUncertainty (kyr)
8,14C,planktic foraminifera calcite,G. inflata,KIA 24287,1.17,0.035
48,14C,planktic foraminifera calcite,G. inflata,KIA 25812,4.455,0.035
98,14C,planktic foraminifera calcite,G. inflata,KIA 25810,8.97,0.045
173,14C,planktic foraminifera calcite,G. inflata,KIA 24286,10.83,0.07
248,14C,planktic foraminifera calcite,G. inflata,KIA 22417,11.02,0.06
378,14C,planktic foraminifera calcite,G. inflata,KIA 24285,12.22,0.07
418,14C,planktic foraminifera calcite,G. inflata,KIA 29030,13.05,0.07
483,14C,planktic foraminifera calcite,G. inflata,KIA 27310,13.72,0.1
508,14C,planktic foraminifera calcite,G. inflata,KIA 29029,14.29,0.06
553,14C,planktic foraminifera calcite,G. inflata,KIA 22416,14.67,0.08
608,14C,planktic foraminifera calcite,G. inflata,LuS 9530,14.9,0.12
688,14C,planktic foraminifera calcite,G. inflata,KIA 27309,16.6,0.13
723,14C,planktic foraminifera calcite,G. inflata,LuS 9531,18.15,0.13
803,14C,planktic foraminifera calcite,G. inflata,KIA 29028,20.45,0.16
868,14C,planktic foraminifera calcite,G. inflata,KIA 24283,23.65,0.23
963,14C,planktic foraminifera calcite,G. inflata,LuS 9532,27.425,0.35
1053,14C,planktic foraminifera calcite,G. inflata,KIA 22415,29.6,0.36
1123,14C,planktic foraminifera calcite,G. inflata,LuS 9533,29.85,0.35
1203,14C,planktic foraminifera calcite,G. inflata,KIA 27308,36.44,1.4
1208,14C,planktic foraminifera calcite,G. inflata,LuS 9534,39.429,2.5
1323,14C,planktic foraminifera calcite,G. inflata,KIA 24282,45.41,0.36
