age (BP),correctedTemp (degC),smoothedTemp (degC)
360.961,24.85,NA
369.31,23.38,NA
490.376,21.91,24.24
578.044,23.19,23.8
732.507,27.84,23.78
870.271,22.7,24.04
999.686,23.28,23.91
1137.45,23.19,23.03
1367.057,22.55,22.82
1588.314,23.43,22.96
1759.476,21.67,22.97
1984.055,23.97,23.4
2090.082,23.24,23.6
2395.691,24.71,24.14
2819.8,24.41,24.19
3169.067,24.36,24.35
3580.703,24.22,24.57
3942.444,24.07,23.98
4148.262,25.79,24.15
4330.197,21.47,24.27
4820.453,25.2,24.54
5310.709,24.85,24.27
5800.966,25.39,24.84
5988.897,24.46,24.32
6225.855,24.31,23.76
6479.154,22.6,23.19
6716.111,22.06,22.67
7234.205,22.5,22.34
7746.831,21.86,22.17
8259.458,22.7,22.78
8834.221,21.72,23.09
9191.506,25.15,23.57
9766.269,24.02,23.98
10185.691,24.27,24.57
10387.635,24.76,24.52
10869.193,24.67,24.26
11210.745,24.88,24
11230.919,22.73,23.46
11725.193,22.99,23.58
11755.455,22.05,23.63
11977.374,25.26,23.56
12179.118,25.12,23.96
12340.514,22.37,24.43
12350.601,24.97,23.35
12461.561,24.41,23.41
12558.398,19.9,23.95
12811.064,25.39,23.58
13087.892,25.1,23.56
13132.541,23.09,24.09
13349.346,24.31,23.58
13664.704,22.58,23.18
13898.679,22.83,22.85
14861.876,23.09,21.83
15885.585,21.42,21.64
17253.26,19.21,21.02
19012.958,21.67,20.37
20338.117,19.71,20.08
20851.617,19.85,20.29
21715.308,19.95,19.89
22814.185,20.29,19.98
24045.85,19.66,20.33
27003.664,20.13,20.66
29359.179,21.64,20.7
32165.544,21.57,21.06
35224.402,20.49,21.05
38527.477,21.47,20.81
39922.601,20.1,20.56
41485.393,20.44,20.51
44930.495,20.29,20.31
47666.962,20.24,20.4
51102.573,20.49,20.62
56857.063,20.52,20.55
60874.767,21.57,20.45
63429.33,19.9,20.6
66505.879,19.79,20.98
71472.646,21.19,21.05
74035.118,22.47,21.24
76031.207,21.88,20.98
81407.01,20.88,20.96
83469.425,18.5,20.95
85599.46,21.08,20.77
86833.528,22.4,20.9
89507.905,20.98,21.51
93822.072,21.52,21.86
97372.13,21.57,21.87
101580.362,22.85,21.6
104459.525,22.41,21.21
107363.724,19.64,21.05
109867.344,19.61,20.62
112123.732,20.74,20.84
114783.828,20.7,20.83
115203.184,23.52,20.86
117647.343,19.57,21.02
118435.983,19.76,21.37
121640.617,21.57,21.28
121934.792,22.45,21.95
123574.663,23.04,22.46
124662.017,22.94,22.69
126023.041,22.3,22.5
126100.515,22.7,21.66
128085.517,21.5,21.28
129928.135,18.86,20.9
130202.434,21.03,20.51
130598.178,20.39,19.96
132560.147,20.79,19.77
134312.728,18.73,19.22
134386.014,17.89,18.63
136394.049,18.31,17.93
136396.143,17.43,17.82
137967.392,17.29,17.93
138467.721,18.18,18
139688.954,18.43,18.29
140372.198,18.66,18.7
142093.76,18.9,18.86
142461.385,19.34,19.23
144091.489,18.98,19
144394.556,20.28,19.04
145185.398,17.5,18.92
146481.95,19.12,18.97
161646.04,18.75,19.11
169317.75,19.2,19.88
171170.223,20.98,20.22
172764.46,21.37,20.56
174677.008,20.83,20.84
175113.675,20.41,21.01
176961.752,20.59,20.84
