depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),temperature (degC),planktic.d18O (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),Uk37 (missing)
0.125,1050,27.364,NA,NA,NA,-2.962,-3.23,4.46,NA,NA,NA
0.175,1199,27.137,27.173,NA,NA,NA,-3.05,4.37,4.384,NA,NA
0.225,1347,27.731,NA,NA,NA,-2.88,-3.12,4.61,NA,NA,NA
0.275,1496,27.707,26.67,NA,NA,NA,-3.14,4.6,4.19,NA,NA
0.325,1645,27.537,NA,NA,NA,-2.98,-3.05,4.53,NA,NA,NA
0.375,1794,28.064,26.854,NA,NA,NA,-3.18,4.75,4.26,NA,NA
0.425,1942,27.755,NA,NA,NA,-2.64,-3.2,4.62,NA,NA,NA
0.475,2091,27.163,27.114,NA,NA,NA,-3.12,4.38,4.361,NA,NA
0.525,2240,28.272,NA,NA,NA,-2.825,-3.15,4.84,NA,NA,NA
0.575,2389,27.731,27.304,NA,NA,NA,-3.17,4.61,4.436,NA,NA
0.625,2538,27.488,NA,NA,NA,-2.65,-3.21,4.51,NA,NA,NA
0.675,2686,28.04,27.369,NA,NA,NA,-3.165,4.74,4.462,NA,NA
0.725,2835,28.203,NA,NA,NA,-3.015,-3.09,4.81,NA,NA,NA
0.775,2984,27.922,26.555,NA,NA,NA,-3.24,4.69,4.147,NA,NA
0.825,3132,28.226,NA,NA,NA,-2.66,-3.24,4.82,NA,NA,NA
0.875,3281,27.413,26.94,NA,NA,NA,-2.96,4.48,4.293,NA,NA
0.925,3430,27.463,NA,NA,NA,-2.71,-3.08,4.5,NA,NA,NA
0.975,3590,27.779,27.091,NA,NA,NA,-3.12,4.63,4.352,NA,NA
1.025,3749,27.803,NA,NA,NA,-2.77,-3.23,4.64,NA,NA,NA
1.075,3909,27.731,NA,NA,NA,NA,-3.16,4.61,NA,NA,NA
1.125,4068,28.134,NA,NA,NA,-3.04,-3.41,4.78,NA,NA,NA
1.175,4228,28.157,26.846,NA,NA,NA,-3.33,4.79,4.257,NA,NA
1.225,4387,NA,26.496,NA,NA,-3,-3.3,NA,4.125,NA,NA
1.275,4547,27.851,NA,NA,NA,NA,-3.36,4.66,NA,NA,NA
1.325,4706,NA,NA,NA,NA,-2.66,-3.27,NA,NA,NA,NA
1.375,4866,28.203,NA,NA,NA,NA,-3.08,4.81,NA,NA,NA
1.425,5026,27.875,27.306,NA,NA,-2.84,-3.19,4.67,4.437,NA,NA
1.475,5185,27.086,NA,NA,NA,NA,-3.04,4.35,NA,NA,NA
1.525,5345,27.512,NA,NA,NA,-2.8,-3.19,4.52,NA,NA,NA
1.575,5504,NA,26.864,NA,NA,NA,-3.51,NA,4.264,NA,NA
1.625,5664,NA,NA,NA,NA,-2.85,-3.22,NA,NA,NA,NA
1.675,5823,27.946,NA,NA,NA,NA,-3.13,4.7,NA,NA,NA
1.725,5983,NA,NA,NA,NA,-2.94,-3.07,NA,NA,NA,NA
1.775,6142,29.027,27.301,NA,NA,NA,-3.35,5.18,4.435,NA,NA
1.825,6302,NA,NA,NA,NA,-2.93,-3.09,NA,NA,NA,NA
1.875,6462,27.875,NA,NA,NA,NA,-3.15,4.67,NA,NA,NA
1.925,6621,NA,NA,NA,NA,-2.47,-3.19,NA,NA,NA,NA
1.975,6781,28.18,26.927,NA,NA,NA,-3.09,4.8,4.288,NA,NA
2.025,6940,27.875,NA,NA,NA,-2.45,-3.07,4.67,NA,NA,NA
2.075,7100,27.779,NA,NA,NA,NA,-3.12,4.63,NA,NA,NA
2.125,7259,27.875,NA,NA,NA,-2.92,-3.02,4.67,NA,NA,NA
2.175,7419,27.899,26.789,NA,NA,NA,-3.36,4.68,4.235,NA,NA
2.225,7578,27.922,NA,NA,NA,-2.53,-3,4.69,NA,NA,NA
2.275,7738,27.851,NA,NA,NA,NA,-3.05,4.66,NA,NA,NA
2.325,7898,28.157,26.947,NA,NA,-2.65,-3.16,4.79,4.296,NA,NA
2.375,8057,27.488,NA,NA,NA,NA,-3.16,4.51,NA,NA,NA
2.425,8217,27.755,NA,NA,NA,-2.63,-3.07,4.62,NA,NA,NA
2.475,8376,28.477,NA,NA,NA,NA,-2.97,4.93,NA,NA,NA
2.525,8536,28.157,NA,NA,NA,-2.41,-3.21,4.79,NA,NA,NA
2.575,8695,27.488,26.561,NA,NA,NA,-3.06,4.51,4.149,NA,NA
2.625,8855,27.264,NA,NA,NA,-2.68,-3.25,4.42,NA,NA,NA
2.675,9014,28.249,NA,NA,NA,NA,-3.42,4.83,NA,NA,NA
2.725,9174,28.386,NA,NA,NA,-2.76,-3.17,4.89,NA,NA,NA
