depth (cm) [1-1],age (BP) [1-1],d18O (permil) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],precipitation (mm) [2-1]
1.25,9.5,21,0,0,11.6,529.87
6,140,22.7,10,300,11.731,490.358
11,322.326,23,15,452.923,12.791,406.139
15,444.052,23.7,20,605.846,13.06,427.297
16,474.453,23,20,758.769,12.816,419.619
19,565.594,23.1,30,911.692,12.841,465.068
22,656.663,25.3,35,1064.615,12.205,431.076
24,717.358,23.2,40,1217.538,12.79,456.714
27,808.416,24.2,50,1504.4,12.831,436.626
30,899.556,24.7,64,1964.8,12.13,435.425
36,1082.45,24.2,80,2544,12.785,440.767
40,1205.195,23.8,89.5,2977.067,12.688,407.491
46,1391.355,19.6,99,3406,12.072,433.789
50,1517.394,24.9,106,3806,12.073,433.649
56,1710.486,24.3,113,4206,13.251,391.292
62,1909.993,22.7,116,4406,13.757,405.1
68,2117.921,24.4,117.5,4506,13.306,392.478
72,2262.326,24.5,119,4606,12.784,413.765
78,2489.45,23.7,120,4706,13.3,380.098
80,2568.358,22.4,123.5,4922.461,13.5,378.954
80.5,2575,24,129,5355.385,13.555,396.489
81,2600,24.5,131.5,5571.846,13.175,379.844
81.5,2625,24.1,134,5788.308,13.035,383.25
82,2649.04,24.7,27.2,6004.769,13.326,381.395
83,2680,24.8,136.5,6221.231,13.043,396.741
83.5,2700,24,141,6437.692,13.199,380.98
84,2731.6,23.2,143,6654.154,13.122,398.61
85,2770,24.2,145,6870.615,13.075,379.731
85.5,2790,23.8,147,7087.077,13.033,397.958
86,2816.167,25.6,149,7303.539,13.037,392.403
87,2860,24.5,151,7520,13.026,388.352
87.5,2880,24.8,153,7736.461,13.214,378.354
88,2902.84,24.1,154,7952.923,13.213,391.757
89,2960,25.1,156,8169.385,13.081,388.445
89.5,2990,24.3,157.5,8385.846,13.344,380.702
90,3125,25.5,160,8602.308,13.255,379.333
91,3135,23.4,161,8818.77,13.212,379.688
91.5,3146,24.8,NA,NA,NA,NA
92,3153,25,NA,NA,NA,NA
93,3164.85,24.7,NA,NA,NA,NA
93.5,3166.85,25.6,NA,NA,NA,NA
94,3176.7,24.7,NA,NA,NA,NA
95,3200.793,25.6,NA,NA,NA,NA
95.5,3224.887,24.8,NA,NA,NA,NA
96,3273.073,25.9,NA,NA,NA,NA
97,3322.612,24.4,NA,NA,NA,NA
97.5,3347.382,25.4,NA,NA,NA,NA
98,3372.151,25,NA,NA,NA,NA
99,3423.126,25.6,NA,NA,NA,NA
99.5,3448.614,25.4,NA,NA,NA,NA
100,3474.102,25.8,NA,NA,NA,NA
101,3526.582,25.1,NA,NA,NA,NA
101.5,3552.822,25,NA,NA,NA,NA
102,3579.062,24.7,NA,NA,NA,NA
102.5,3606.09,25.3,NA,NA,NA,NA
103,3633.118,25,NA,NA,NA,NA
104,3687.174,25.5,NA,NA,NA,NA
104.5,3715.026,24,NA,NA,NA,NA
