depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
21,Carbon-14,109583,2,110,NA,NA
31,Carbon-14,109584,1,107,NA,NA
41,Carbon-14,109585,80,3220,NA,NA
71.5,Carbon-14,109586,60,3810,NA,NA
