age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note (),rejected_dates ()
-39.756,0.5,5,5,NA,NA,NA,NA,0,2,NA,NA,2,NA
NA,28.5,290,280,680,45,690,550,10,1,3,1,NA,NA
NA,41.5,420,410,1070,50,1090,910,10,1,4,1,NA,NA
NA,63.5,640,630,1740,55,1820,1530,10,1,5,7,NA,NA
NA,77.5,780,770,1855,45,1890,1630,10,1,6,6,NA,NA
NA,116.5,1170,1160,4170,60,4840,4520,10,1,7,5,NA,NA
NA,122.5,1230,1220,4290,55,5040,4640,10,1,8,2,NA,NA
NA,127.5,1280,1270,4514,35,5310,5040,10,1,1,7,NA,NA
NA,136.5,1370,1360,4810,55,5660,5330,10,1,9,8,NA,NA
NA,145.5,1460,1450,5275,55,6200,5920,10,1,10,9,NA,NA
NA,200,2010,1990,7940,105,9100,8450,20,1,11,3,NA,NA
NA,208,2090,2070,10615,85,13000,12150,20,1,12,4,1,1
NA,222,2230,2210,10580,90,12950,12100,20,1,2,4,1,1
