depth (m),planktic.d18O (permil),depth (m),temperature (degC),temperature (degC),temperatureComposite (degC),depth (m),d18O (permil),d13C (permil)
2.17,1.7,0,9.5,13.9,3.754,0.02,2.47,1.01
2.38,2.6,0.1,9.5,13.9,3.754,0.1,2.63,1.09
2.6,2.86,0.2,9.5,13.9,3.754,0.2,2.57,1.12
2.63,2.76,0.3,9.8,14.1,4.004,0.3,2.41,0.99
2.65,2.84,0.4,9.6,14,3.854,0.5,2.5,1.01
2.68,3.05,0.5,10.1,14.8,4.504,0.7,2.64,1.12
2.7,2.96,0.6,10.5,15.2,4.904,0.8,2.69,1.21
2.73,3.08,0.7,10,14.5,4.304,0.9,2.59,1.15
2.75,3.13,0.8,9.7,14.1,3.954,1,2.45,0.99
2.78,2.97,0.9,9.8,14.2,4.054,1.1,2.6,1.08
2.8,3.21,0.95,9.5,13.9,3.754,1.3,2.57,1.14
2.83,3,1,10.3,15,4.704,1.5,2.64,1.13
2.85,2.98,1.1,10.2,14.8,4.554,1.6,2.63,1.24
2.88,3.04,1.2,10.9,15.8,5.404,1.7,2.66,1.01
2.9,2.96,1.3,10.3,14.9,4.654,1.8,2.6,1.05
2.93,3.12,1.4,9.8,14.8,4.354,1.9,2.7,0.8
2.95,3.05,1.5,10.8,15.5,5.204,2,2.64,1.11
3,3.16,1.6,9.5,13.9,3.754,2.1,2.82,0.93
3.03,3.05,1.7,10.2,14.6,4.454,2.2,2.79,0.79
3.05,3.23,1.8,10.3,14.9,4.654,2.6,2.9,0.87
3.08,3.17,1.9,9.4,13.5,3.504,2.7,2.89,0.96
3.1,3.34,2,8.2,11.8,2.054,2.8,3.23,0.69
3.13,3.32,2.1,9.4,13.6,3.554,2.9,3.4,0.86
3.15,3.24,2.2,8.9,12.9,2.954,3,3.48,0.83
3.18,3.09,2.3,8.5,12.4,2.504,3.1,3.57,0.76
3.2,3.25,2.35,9.1,13.2,3.204,3.2,3.63,0.83
3.23,3.2,2.4,8,11.9,2.004,3.3,3.42,0.45
3.28,3.18,2.45,7.9,11.9,1.954,3.45,3.79,0.3
3.3,3.14,2.5,6.9,10.5,0.754,3.55,3.92,0.3
3.33,3.21,2.55,9.5,13.7,3.654,3.6,4.21,0.34
3.35,3.19,2.6,8.2,12,2.154,3.7,4.45,0.66
3.38,3.22,2.65,10,14.3,4.204,3.8,4.45,0.73
3.44,3.25,2.7,8.6,12.5,2.604,3.9,4.46,0.69
3.45,3.07,2.75,7.1,10.9,1.054,4,4.44,0.86
3.48,3.62,2.8,5,8.6,-1.146,4.1,4.44,0.93
3.5,3.46,2.85,1.8,5.6,-4.246,4.2,4.46,0.77
3.54,3.95,2.9,5.1,9.6,-0.596,4.3,4.36,0.87
3.55,3.85,2.95,5.1,9.2,-0.796,4.4,4.44,0.94
3.58,3.88,3,9.4,13.6,3.554,4.6,4.35,1.08
3.6,3.7,3.05,6.8,10.3,0.604,5,4.33,0.85
3.63,4.08,3.1,5.7,9.2,-0.496,5.1,4.12,0.81
3.65,4.02,3.15,6.5,10,0.304,5.2,4.08,0.96
