depth (cm),age (bp),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),lab_id (),age_type (),material_dated (),rejected_dates (),note ()
0,-49,NA,NA,NA,NA,NA,3,NA,NA,2
9,NA,690,30,675,565,1,1,2,NA,NA
99,NA,2460,40,2750,2350,17,1,2,NA,NA
201,NA,5135,60,5995,5745,2,1,2,NA,NA
299,NA,6730,70,7685,7475,18,1,2,NA,NA
399,NA,8550,100,9710,9330,20,1,2,NA,NA
501,NA,9230,90,10680,10220,19,1,2,NA,NA
597,NA,10780,140,13140,12360,3,1,2,1,1
653,NA,11230,150,13790,12890,14,1,2,1,1
671,NA,14210,90,17570,16550,15,1,2,1,1
718,NA,9600,60,11175,10705,16,1,3,1,1
735,NA,10940,90,13165,12655,4,1,2,1,1
794,NA,11850,80,15235,13505,5,1,2,1,1
795,NA,32310,500,NA,NA,9,2,4,1,1
911,NA,36060,800,NA,NA,13,2,4,1,1
994,NA,9880,50,11550,11190,6,1,2,1,1
995,NA,27260,270,NA,NA,10,2,4,1,1
1035,NA,9490,60,11095,10565,7,1,1,NA,NA
1147,NA,38690,270,NA,NA,11,2,4,1,1
1151,NA,38920,630,NA,NA,8,2,4,1,1
1155,NA,34190,570,NA,NA,12,2,4,1,1
