depth (cm),ageType (unitless),labID (unitless),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (unitless),notes (unitless)
51.2,Carbon-14,109207,85,1420,NA,NA
60.5,Carbon-14,109208,85,2235,NA,NA
95.2,Carbon-14,109209,95,3635,NA,NA
113.5,Carbon-14,109210,110,5285,NA,NA
154.5,Carbon-14,109211,125,7645,NA,NA
160.2,Carbon-14,109212,125,7815,NA,NA
