year (AD),age (BP),d18O (permil),d13C (missing)
1950,0,-5.25,-10.64
1650,300,-5.3,-10.26
1600,350,-5.05,-10.39
1500,450,-5.42,-10.48
1400,550,-5.62,-10.61
1320,630,-5.75,-10.76
1270,680,-5.51,-10.54
1240,710,-5.49,-10.73
1214,736,-5.43,-10.73
1185,765,-5.44,-11.11
1160,790,-5.29,-10.5
1130,820,-5.3,-11.42
1100,850,-5.32,-11.52
1040,910,-5.07,-11.39
970,980,-5.2,-11.31
820,1130,-5.48,-11.16
670,1280,-5.5,-11.37
600,1350,-5.55,-11.38
470,1480,-5.48,-10.99
340,1610,-5.37,-11.4
210,1740,-5.33,-11.32
-50,2000,-5.31,-11.32
-290,2240,-5.36,-10.95
-410,2360,-5.42,-11.16
-530,2480,-5.39,-11.14
-650,2600,-5.6,-11.06
-810,2760,-5.56,-11.25
-980,2930,-5.51,-11.26
-1150,3100,-5.62,-11.06
-1250,3200,-5.41,-11.3
-1350,3300,-5.45,-11.16
-1450,3400,-5.4,-11.17
-1550,3500,-5.33,-10.37
-1590,3540,-5.49,-11.16
-1630,3580,-5.39,-11.21
-1670,3620,-5.28,-11.16
-1710,3660,-5.26,-11.15
-1770,3720,-5.51,-10.94
-1830,3780,-5.55,-10.87
-1850,3800,-5.52,-10.93
-1870,3820,-5.37,-10.73
-1910,3860,-5.4,-11.2
-1930,3880,-5.24,-10.35
-1950,3900,-5.23,-10.51
-1970,3920,-5.35,-10.36
-1990,3940,-5.31,-10.44
-2010,3960,-5.37,-10.68
-2030,3980,-5.25,-9.76
-2065,4015,-5.34,-10.81
-2080,4030,-5.36,-10.22
-2095,4045,-5.36,-10.86
-2110,4060,-5.47,-10.95
-2125,4075,-5.49,-10.67
-2150,4100,-5.42,-10.65
-2165,4115,-5.52,-10.83
-2180,4130,-5.42,-10.6
-2195,4145,-5.33,-10.52
-2210,4160,-5.31,-10.84
-2225,4175,-5.2,-10.81
-2240,4190,-5.39,-10.69
-2250,4200,-5.39,-11
-2285,4235,-5.52,-10.44
-2300,4250,-5.52,-10.88
-2315,4265,-5.5,-11.08
-2330,4280,-5.5,-10.87
-2345,4295,-5.52,-11.5
-2360,4310,-5.51,-11.29
-2370,4320,-5.54,-11.6
-2400,4350,-5.66,-11.74
-2430,4380,-5.82,-10.92
-2460,4410,-5.79,-11.7
-2490,4440,-5.6,-11.3
-2520,4470,-5.63,-11.36
-2550,4500,-5.5,-11.31
-2580,4530,-5.58,-11.64
-2610,4560,-5.78,-11.93
-2640,4590,-5.84,-11.94
-2670,4620,-5.98,-12.65
-2700,4650,-6.12,-12.24
-2750,4700,-6,-11.86
-2790,4740,-6.04,-12.51
-2825,4775,-6.02,-12.4
-2850,4800,-5.81,-11.81
-2860,4810,-5.8,-11.79
-2880,4830,-5.88,-11.8
-2890,4840,-5.74,-11.61
-2900,4850,-5.9,-12
-2920,4870,-5.89,-11.8
-2930,4880,-5.87,-11.84
-2940,4890,-5.83,-11.62
-2950,4900,-5.5,-11.56
