depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
840,26,7.971,-5.914,0.492,1331
860,733,8.429,-12.414,-2.723,876.286
870,1087,8.057,-6.757,0.113,1137.143
880,1440,7.671,-8.071,-0.813,1060.571
890,1794,7.786,-11.114,-2.398,927.571
900,2039,7.643,-15.243,-4.649,582
910,2284,8.2,-9.271,-1.16,1076.857
920,2529,7.971,-10.543,-1.957,943.857
940,3020,7.543,-11.743,-2.624,886.286
950,3265,11.743,-14.457,-1.879,916
960,3510,10.714,-17.214,-3.999,774.571
980,3923,9.2,-15.743,-4.245,791
990,4092,10.714,-17.214,-3.999,774.571
1000,4260,9.443,-19.071,-5.899,676.571
1020,4597,8.157,-7.957,-0.456,1343.143
1030,4765,8.786,-18.914,-6.013,659.571
1040,4934,8.786,-18.914,-6.013,659.571
1050,5102,8.2,-9.271,-1.16,1076.857
1060,5271,10.714,-17.214,-3.999,774.571
1070,5439,11.957,-14.871,-1.858,864
1080,5602,9.2,-18.771,-5.882,673.143
1090,5764,7.4,-9.943,-1.975,849.857
1100,5927,7.757,-11.2,-2.425,894.857
1115,6171,8,-10.229,-1.777,950.286
1120,6252,8.214,-14.1,-3.763,855.714
1125,6333,7.571,-8.314,-0.973,1015.143
1130,6415,7.571,-9.157,-1.439,868.143
1135,6496,7.757,-7.057,-0.205,1219.286
1140,6577,7.657,-8,-0.815,1164.429
1145,6659,7.386,-8.943,-1.408,965.571
1150,6740,7.657,-9.286,-1.492,890.429
1155,6821,7.6,-8,-0.8,1092.429
1160,6903,7.686,-8.243,-0.894,999.857
1165,6984,7.343,-9.743,-1.91,923
1170,7065,7.729,-9.957,-1.612,1078
1175,7356,7.471,-8.614,-1.174,906.286
1180,7647,7.571,-9.157,-1.439,868.143
1185,7938,7.543,-9.186,-1.471,868.714
1190,8229,7.343,-10.143,-2.089,742.143
1230,10555,7.143,-7.7,-0.838,1069.143
1240,11137,NA,NA,NA,NA
1250,11718,NA,NA,NA,NA
1255,12009,NA,NA,NA,NA
1260,12300,NA,NA,NA,NA
