age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),A (missing),age (BP),temperature (degC)
1361.5,4,5.052,33.673,2.617,2.126,209.896,NA,1361.5,2.952
1522.6,9,8.731,34.35,0.723,0.642,229.351,1,1522.6,6.392
1715.9,15,6.663,34.267,0.815,0.758,187.46,2,1715.9,4.719
1844.9,19,7.674,33.964,2.201,1.748,209.691,2,1844.9,5.205
2040.1,25,7.756,33.841,2.408,1.86,205.44,2,2040.1,5.613
2171,29,5.943,34.218,1.102,1.036,196.523,2,2171,3.986
2368.3,35,7.498,34.346,0.74,0.693,214.029,2,2368.3,5.606
2500.8,39,5.975,34.244,1.057,1.001,194.766,2,2500.8,4.04
2700.5,45,8.941,34.735,0,0,220.52,2,2700.5,6.753
2834.1,49,6.774,34.258,0.885,0.799,213.28,2,2834.1,4.52
3036.1,55,6.222,33.806,2.618,2.11,201.856,2,3036.1,4.269
3171.7,59,6.453,34.211,0.898,0.811,215.112,2,3171.7,4.163
3375.9,65,6.613,34.346,0.902,0.858,208.066,2,3375.9,4.873
3513.2,69,7.089,34.399,0.778,0.698,211.511,2,3513.2,4.672
3720.5,75,10.002,32.319,2.98,2.322,222.33,2,3720.5,5.769
3859.3,79,7.199,34.48,0.819,0.775,212.046,2,3859.3,5.141
4067.4,85,6.662,34.598,0.261,0.292,190.169,2,4067.4,4.3
4207.1,89,6.427,34.484,0.316,0.339,207.499,2,4207.1,4.556
4417.7,95,6.439,34.179,1.667,1.319,187.314,2,4417.7,4.371
4559.3,99,8.769,33.832,0.811,0.765,224.728,2,4559.3,6.323
4772.8,105,9.2,33.092,1.093,0.932,217.612,2,4772.8,5.806
4915.7,109,6.7,34.401,0.787,0.762,207.822,2,4915.7,4.692
5131.2,115,7.703,31.938,0.11,0.155,206.657,2,5131.2,5.469
5275.1,119,8.713,33.711,0.814,0.717,220.166,2,5275.1,5.59
5491.6,125,8.37,34.849,0.119,0.113,203.299,2,5491.6,5.959
5636.9,129,8.457,33.416,0.979,0.891,217.971,2,5636.9,5.689
5855.6,135,9.677,33.969,0.55,0.434,218.317,2,5855.6,6.718
6001.8,139,6.443,34.588,0.29,0.317,187.671,2,6001.8,4.212
6219.4,145,8.261,34.859,0.062,0.099,208.43,2,6219.4,6.163
6363.1,149,8.051,34.667,0.209,0.195,214.423,2,6363.1,5.432
6576.4,155,8.476,34.851,0,0,216.428,2,6576.4,5.995
6715.6,159,8.127,34.924,0.07,0.113,212.04,2,6715.6,6.589
