depth (cm),age (bp),lab_id (),depth_error (1s),U238 (ng/g),U238_error (1s),Th232 (ng/g),U234/U238 (),U234/U238_error (1s),Th230/U234 (),Th230/U234_error (1s),Th230/Th232 (),Th230/Th232_error (1s),U234/Th232 (),U234/Th232_error (1s),age_alt (bp),age_alt_error (2s),age_error (2s),U/Th ()
13.75,292,155,1.5,288.2,0.1,44,2.134,0.003,0.004,0,7.36,0.11,1877,36,379,5,6,1
13.1,606,111,2,307,0.3,75,2.133,0.005,0.007,0,8.6,0.09,1185,14,744,4,5,1
12.25,1105,77,1.5,339.4,0.8,72,2.13,0.017,0.012,0,16.2,0.2,1392,26,1222,16,17,1
11.1,1719,110,2,310.3,0.3,153,2.131,0.007,0.019,0,11.1,0.1,595,7,1993,11,13,1
10.55,2188,69,1.5,374.7,2.3,165,2.144,0.033,0.023,0,14.4,0.2,634,11,2445,31,31,1
9.6,2716,68,2,419.7,0.2,306,2.149,0.002,0.029,0,11.2,0.1,389,4,3134,19,20,1
8.8,3034,109,2,399.5,0.4,302,2.144,0.006,0.032,0,12.2,0.1,385,4,3457,20,22,1
8.2,3426,108,2,531.6,2.9,365,2.137,0.025,0.035,0,14.6,0.1,418,4,3815,18,19,1
7.25,4105,78,1.5,465.5,1.5,195,2.16,0.014,0.04,0,27.2,0.3,686,9,4341,36,36,1
5.8,4705,79,2,431.7,0.4,338,2.185,0.007,0.047,0,17.2,0.2,368,5,5145,45,47,1
4.3,5537,107,2,678.1,1.9,77,2.224,0.015,0.051,0,136,1,2686,25,5597,27,27,1
3.5,5864,106,2,645.5,4.3,90,2.261,0.033,0.054,0,121,1,2250,23,5936,39,39,1
2.35,6351,81,1.5,799.9,0.4,117,2.254,0.003,0.058,0,123,1,2114,17,6428,19,19,1
0.65,6952,82,1.5,830.2,1.4,75,2.283,0.01,0.063,0,214,3,3394,46,6999,42,42,1
0.15,7208,67,1.5,567.8,0.2,136,2.315,0.002,0.066,0,84.3,0.5,1276,9,7334,19,20,1
-0.2,7414,66,2,652.1,0.3,757,2.318,0.002,0.072,0,19.5,0.2,271,4,8011,56,59,1
