age (BP),temperature (degC),nonReliabletemperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
-29.35,NA,NA,13.552,10.532,N
182.98,NA,NA,13.779,10.759,N
289.86,NA,NA,14.275,11.255,N
579.61,NA,NA,14.291,11.271,N
860.97,NA,NA,13.061,10.041,N
1195.41,NA,NA,13.246,10.226,N
1421.98,NA,NA,13.457,10.437,N
1635.46,NA,NA,12.995,9.975,N
1900.45,NA,NA,12.909,9.889,N
2174.05,NA,NA,13.357,10.337,N
2431.52,11.404,NA,12.914,9.894,Y
2840,11.941,NA,13.451,10.431,Y
3109.9,11.975,NA,13.485,10.465,Y
3383.12,11.762,NA,13.272,10.252,Y
3558.29,10.664,NA,12.174,9.154,Y
3759.35,11.758,NA,13.268,10.248,Y
3961,12.093,NA,13.603,10.583,Y
4137.66,12.066,NA,13.576,10.556,Y
4415.08,12.165,NA,13.675,10.655,Y
4641.35,11.958,NA,13.468,10.448,Y
4841.54,13.283,NA,14.793,11.773,Y
4990.89,12.024,NA,13.534,10.514,Y
5237.83,12.387,NA,13.897,10.877,Y
5384.54,12.199,NA,13.709,10.689,Y
5578.12,12.206,NA,13.716,10.696,Y
5768.99,12.178,NA,13.688,10.668,Y
6049.36,11.489,NA,12.999,9.979,Y
6299.12,13.503,NA,15.013,11.993,Y
6453.97,11.921,NA,13.431,10.411,Y
6583.95,12.383,NA,13.893,10.873,Y
6711.3,12.669,NA,14.179,11.159,Y
6835.88,11.795,NA,13.305,10.285,Y
7096.91,11.167,NA,12.677,9.657,Y
7175,11.843,NA,13.353,10.333,Y
7288.85,12.718,NA,14.228,11.208,Y
7326,12.799,NA,14.309,11.289,Y
7473.04,10.562,NA,12.072,9.052,Y
7579.77,13.817,NA,15.327,12.307,Y
7700.67,11.142,NA,12.652,9.632,Y
7784.65,11.743,NA,13.253,10.233,Y
7850.42,10.613,NA,12.123,9.103,Y
8009.44,11.814,NA,13.324,10.304,Y
8101.21,12.412,NA,13.922,10.902,Y
8160.91,11.575,NA,13.085,10.065,Y
8291.05,11.38,NA,12.89,9.87,Y
8402.05,10.473,NA,11.983,8.963,Y
8495.73,12.492,NA,14.002,10.982,Y
8758.79,12.662,NA,14.172,11.152,Y
8920.49,11.814,NA,13.324,10.304,Y
9072.4,11.798,NA,13.308,10.288,Y
9235.2,12.053,NA,13.563,10.543,Y
9350.49,12.779,NA,14.289,11.269,Y
9406.15,10.897,NA,12.407,9.387,Y
9675.61,12.83,NA,14.34,11.32,Y
9789.16,12.256,NA,13.766,10.746,Y
9836.62,12.122,NA,13.632,10.612,Y
10033.97,11.416,NA,12.926,9.906,Y
10048.58,12.056,NA,13.566,10.546,Y
10251.5,12.359,NA,13.869,10.849,Y
10407.36,11.971,NA,13.481,10.461,Y
10438.52,11.598,NA,13.108,10.088,Y
10517.49,10.427,NA,11.937,8.917,Y
10644.62,11.454,NA,12.964,9.944,Y
10683.43,11.194,NA,12.704,9.684,Y
10716.08,11.068,NA,12.578,9.557,Y
10737.56,11.433,NA,12.943,9.923,Y
10769.36,12.635,NA,14.145,11.125,Y
10851.87,11.819,NA,13.329,10.309,Y
10979.61,12.168,NA,13.678,10.658,Y
11204.21,12.017,NA,13.527,10.507,Y
11326.48,11.698,NA,13.208,10.188,Y
11412.54,10.604,NA,12.114,9.094,Y
11657.06,NA,11.404,12.57,9.55,N
11880.13,NA,11.941,11.645,8.625,N
12056.01,NA,11.975,11.881,8.861,N
12210.44,NA,11.762,12.542,9.522,N
12532.16,NA,10.664,12.36,9.34,N
