year (AD),age (BP),age (BP),temperature (degC),Chironomid_C (degC),ageUncertainty (yr)
1950,0,83.175,10.97,10.97,105.721
1640.5,309.5,245.059,10.8,10.8,168.291
1485.3,464.7,405.884,10.73,10.73,196.545
1330.7,619.3,566.104,10.43,10.43,205.214
1176.8,773.2,725.799,11.01,11.01,196.916
1023.7,926.3,884.889,10.73,10.73,169.19
871.2,1078.8,1042.921,11.53,11.53,108.028
719.4,1230.6,1196.555,11.49,11.49,107.296
568.3,1381.7,1346.206,11.66,11.66,179.976
268.2,1681.8,1643.619,11.44,11.44,265.917
45,1905,1866.061,11.28,11.28,310.546
-102.9,2052.9,2014.187,11.42,11.42,334.895
-250.2,2200.2,2162.212,11.18,11.18,355.983
-360.2,2310.2,2273.173,11.16,11.16,369.921
-433.3,2383.3,2347.125,11.53,11.53,378.508
-506.2,2456.2,2421.06,11.3,11.3,386.533
-579,2529,2494.978,11.33,11.33,394.031
-651.5,2601.5,2568.881,10.79,10.79,401.031
-724,2674,2642.77,10.86,10.86,407.559
-796.2,2746.2,2716.645,10.86,10.86,413.638
-868.2,2818.2,2790.506,9.98,9.98,419.288
-940.1,2890.1,2864.354,10.28,10.28,424.524
-1011.8,2961.8,2938.191,10.26,10.26,429.363
-1083.4,3033.4,3012.015,10.58,10.58,433.818
-1154.7,3104.7,3085.828,10.12,10.12,437.901
-1225.9,3175.9,3159.63,10.16,10.16,441.622
-1296.9,3246.9,3233.421,10.45,10.45,444.99
-1367.8,3317.8,3307.201,10.19,10.19,448.013
-1438.4,3388.4,3380.971,10.34,10.34,450.698
-1508.9,3458.9,3454.731,10.46,10.46,453.052
-1579.2,3529.2,3528.48,10.5,10.5,455.079
-1649.4,3599.4,3602.22,10.31,10.31,456.784
-1719.4,3669.4,3675.95,10.83,10.83,458.17
-1789.2,3739.2,3749.67,10.95,10.95,459.241
-1858.8,3808.8,3823.38,10.7,10.7,459.998
-1928.2,3878.2,3897.081,10.72,10.72,460.443
-1997.5,3947.5,3970.772,11.09,11.09,460.578
-2066.6,4016.6,4044.454,11.58,11.58,460.402
-2135.5,4085.5,4118.126,11.76,11.76,459.915
-2204.3,4154.3,4191.788,11.71,11.71,459.116
-2272.8,4222.8,4265.441,11.69,11.69,458.005
-2341.2,4291.2,4339.084,11.11,11.11,456.577
-2409.5,4359.5,4412.717,11.5,11.5,454.831
-2477.5,4427.5,4486.34,11.58,11.58,452.763
-2545.4,4495.4,4559.953,11.18,11.18,450.368
-2613.1,4563.1,4633.556,11.67,11.67,447.642
-2680.6,4630.6,4707.149,11.32,11.32,444.578
-2882.2,4832.2,4927.861,10.61,10.61,433.284
-3082.1,5032.1,5148.47,11.25,11.25,418.632
-3280.5,5230.5,5368.964,11.36,11.36,400.256
-3477.4,5427.4,5589.326,11.05,11.05,377.616
-3672.6,5622.6,5809.531,11.69,11.69,349.891
-3866.4,5816.4,6029.537,11.47,11.47,315.75
-4058.5,6008.5,6249.269,11.2,11.2,272.803
-4249.1,6199.1,6468.565,11.74,11.74,215.857
-4438.1,6388.1,6686.841,10.92,10.92,126.842
-4625.5,6575.5,6870.595,11.33,11.33,102.331
-4811.3,6761.3,7020.507,11.45,11.45,165.71
-4995.6,6945.6,7169.421,11.96,11.96,198.667
-5178.4,7128.4,7317.827,11.58,11.58,215.776
-5359.5,7309.5,7465.846,11.95,11.95,220.733
-5509.3,7459.3,7588.925,11,11,216.396
-5687.6,7637.6,7736.257,11.09,11.09,199.869
-5981.2,7931.2,7980.51,11.3,11.3,132.352
-6270.5,8220.5,8208.594,11.42,11.42,120.883
-6555.5,8505.5,8420.535,11.11,11.11,172.55
-6836.1,8786.1,8630.624,11.13,11.13,170.42
-7112.3,9062.3,8838.577,10.73,10.73,110.339
-7384.2,9334.2,9052.815,11.63,11.63,160.414
-7651.7,9601.7,9268.981,11.65,11.65,233.234
-7914.9,9864.9,9484.368,11.63,11.63,283.284
-8173.7,10123.7,9699.367,11.78,11.78,321.456
-8428.2,10378.2,9914.111,11.77,11.77,351.662
-8678.3,10628.3,10128.665,11.37,11.37,375.841
-8924,10874,10343.063,11.18,11.18,395.107
-9165.4,11115.4,10557.328,11.48,11.48,410.159
-9402.5,11352.5,10771.476,12.17,12.17,421.452
-9635.1,11585.1,10985.516,11.33,11.33,429.285
-9863.5,11813.5,11199.453,10.69,10.69,433.85
-10087.4,12037.4,11413.291,12.27,12.27,435.25
-10307.1,12257.1,11627.032,11.8,11.8,433.519
-10522.3,12472.3,11840.673,10.62,10.62,428.62
-10733.2,12683.2,12054.211,9.92,9.92,420.446
-10939.8,12889.8,12267.641,11.8,11.8,408.802
-11142,13092,12480.951,10.1,10.1,393.382
-11339.8,13289.8,12694.127,9.59,9.59,373.724
-11533.3,13483.3,12907.146,10.01,10.01,349.114
-11722.4,13672.4,13119.968,10.5,10.5,318.414
-12087.6,14037.6,13544.676,11.07,11.07,228.718
-12263.7,14213.7,13755.962,10.31,10.31,154.155
-12435.4,14385.4,14003.123,11.65,11.65,144.071
-12602.8,14552.8,14303.628,11.62,11.62,219.111
-12765.8,14715.8,14602.158,11.43,11.43,243.391
-12924.4,14874.4,14899.138,10.18,10.18,233.417
-13078.7,15028.7,15177.485,-2.1,-2.1,193.532
-13228.6,15178.6,15319.166,-2.1,-2.1,214.174
-13374.2,15324.2,15458.737,-2.1,-2.1,234.888
-13515.4,15465.4,15597.289,2.59,2.59,254.802
-13652.3,15602.3,15734.548,2.53,2.53,273.582
