year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1843,107,113.23,28.28,4.84,121.409
1798,152,160.804,27.93,4.7,139.309
1753,197,208.377,27.89,4.68,152.209
1708,242,255.949,27.54,4.53,161.318
1662,288,303.521,27.25,4.41,167.262
1617,333,351.092,28.01,4.73,170.375
1572,378,398.663,28.56,4.97,170.812
1527,423,446.233,28.3,4.85,168.598
1482,468,493.803,29.21,5.27,163.627
1437,513,541.372,27.57,4.54,155.637
1392,558,588.94,29.06,5.2,144.131
1347,603,636.507,28.71,5.03,128.17
1302,648,684.073,28.15,4.79,105.762
1257,693,731.636,28.22,4.82,71.031
1157,793,833.416,28.53,4.95,112.323
1003,947,989.196,27.91,4.68,177.911
849,1101,1144.925,27.84,4.65,214.797
695,1255,1300.628,28.18,4.8,236.853
542,1408,1456.313,28.75,5.05,248.039
388,1562,1611.981,28.37,4.88,249.789
234,1716,1767.633,29.15,5.24,242.267
80,1870,1923.267,28.1,4.77,224.492
-74,2024,2078.877,28.38,4.89,193.551
-228,2178,2234.442,27.56,4.54,140.598
-362,2312,2370.956,28.36,4.88,109.767
-463,2413,2475.926,27.89,4.68,162.257
-564,2514,2580.867,29.03,5.18,196.792
-665,2615,2685.797,28.64,5,222.171
-867,2817,2895.637,28.4,4.9,255.751
-968,2918,3000.55,28.45,4.92,266.154
-1069,3019,3105.459,28.2,4.81,273.022
-1170,3120,3210.364,28.67,5.02,276.618
-1271,3221,3315.266,28.41,4.9,277.069
-1372,3322,3420.165,28.52,4.95,274.389
-1473,3423,3525.06,28.66,5.01,268.48
-1574,3524,3629.951,28.44,4.91,259.114
-1675,3625,3734.838,28.19,4.81,245.886
-1776,3726,3839.72,28.48,4.93,228.108
-1877,3827,3944.595,27.99,4.72,204.561
-1978,3928,4049.46,28.24,4.83,172.816
-2079,4029,4154.304,28.9,5.12,126.46
-2189,4139,4266.8,27.78,4.63,112.144
-2315,4265,4392.766,28.11,4.77,158.805
-2441,4391,4518.865,28.43,4.91,179.165
-2567,4517,4645.036,28.25,4.83,183.13
-2692,4642,4771.271,28.79,5.07,172.257
-2818,4768,4897.588,28.77,5.06,143.711
-2944,4894,5020.294,28.69,5.02,92.172
-3018,4968,5088.463,28.42,4.91,119.103
-3091,5041,5152.584,28.65,5.01,140.547
-3165,5115,5216.683,28.05,4.74,153.635
-3239,5189,5280.767,29.19,5.26,160.342
-3313,5263,5344.839,27.86,4.66,161.431
-3386,5336,5408.901,29.08,5.21,157.007
-3460,5410,5472.951,27.72,4.6,146.566
-3534,5484,5536.986,28.49,4.94,128.666
-3607,5557,5600.999,28.83,5.09,99.414
-3681,5631,5666.307,28.65,5.01,54.294
-3765,5715,5750.411,28.94,5.14,112.82
-3848,5798,5835.736,28.45,4.92,146.889
-3932,5882,5921.022,28.08,4.76,167.174
-4005,5955,5995.627,27.99,4.72,177.452
-4099,6049,6091.523,28.68,5.02,182.1
-4182,6132,6176.743,28.83,5.09,178.805
-4266,6216,6261.942,28.92,5.13,168.023
-4349,6299,6347.112,28.73,5.04,148.059
-4527,6477,6525.388,28.96,5.15,107.457
-4638,6588,6632.276,28.25,4.83,155.242
-4749,6699,6739.148,29.09,5.21,183.012
-4861,6811,6846.014,28.49,4.94,199.485
-4972,6922,6952.875,28.5,4.94,207.406
-5195,7145,7166.584,28.36,4.88,200.623
-5306,7256,7273.433,28.94,5.14,185.098
-5417,7367,7380.275,28.85,5.1,158.738
-5529,7479,7487.108,28.48,4.93,114.148
-5701,7651,7654.891,29.18,5.25,119.258
-6409,8359,8356.095,28.45,4.92,308.687
-6763,8713,8706.666,28.65,5.01,346.171
-7117,9067,9057.228,28.34,4.87,366.002
-7471,9421,9407.782,28.15,4.79,371.044
-7825,9775,9758.329,28.27,4.84,361.931
-8179,10129,10108.868,28.65,5.01,337.526
-8533,10483,10459.397,27.64,4.57,294.045
-8887,10837,10809.91,28.01,4.73,220.401
-9241,11191,11159.862,27.91,4.69,84.863
-9573,11523,11502.613,28.25,4.83,214.339
-9906,11856,11844.82,27.4,4.47,280.341
-10238,12188,12187.014,28.05,4.75,313.484
-10902,12852,12871.375,27.93,4.7,314.557
-11235,13185,13213.543,27.56,4.54,282.823
-11567,13517,13555.698,27.3,4.43,219.537
-11899,13849,13889.621,26.87,4.27,94.751
-12038,13988,14107.518,27.57,4.54,164.219
-12176,14126,14316.649,26.79,4.24,199.312
