depth (cm),age (BP),OM (percent),MS (10-5)
181,4266.5,9.44,NA
182,4290.6,9.38,8.09
183,4314.6,5.19,NA
184,4338.7,10.27,7.81
185,4362.7,8.93,NA
186,4386.8,9.7,7.67
187,4410.9,8.95,NA
188,4434.9,9.03,7.23
189,4459,21.05,NA
190,4483,12.05,6.95
191,4507.1,11.25,NA
192,4531.2,10.24,7.54
193,4555.2,10.92,NA
194,4579.3,8.94,8.13
195,4603.3,5.99,NA
196,4627.4,8.87,8.42
197,4651.5,8.09,NA
198,4675.5,12.13,9.6
199,4699.6,11.04,NA
200,4723.6,31.42,9.46
201,4747.7,10.93,NA
202,4771.8,13.86,9.46
203,4795.8,7.97,NA
204,4819.9,15.22,8.01
205,4843.9,10.46,NA
206,4868,22.17,8.31
207,4892.1,9.32,NA
208,4916.1,12.22,9.04
209,4940.2,26,NA
210,4964.2,11.69,10.65
211,4988.3,7.56,NA
212,5012.4,14.63,10.37
213,5036.4,12.18,NA
214,5060.5,8.91,6.28
215,5084.5,9.14,NA
216,5108.6,15.09,6.42
217,5132.7,6.95,NA
218,5156.7,13.99,6.72
219,5180.8,12.54,NA
220,5204.8,12.32,6.57
221,5228.9,11.51,NA
222,5253,12.79,6.42
223,5277,24.99,NA
224,5301.1,11.69,7.15
225,5325.1,18.14,NA
226,5349.2,13.97,7.15
227,5373.3,14.68,NA
228,5397.3,14.94,7.3
229,5421.4,13.94,NA
230,5445.4,13.39,6.28
231,5469.5,13.23,NA
232,5493.6,10.18,6.42
233,5517.6,11.45,NA
234,5541.7,12.02,5.69
235,5565.7,9.58,NA
236,5589.8,7.59,4.96
237,5613.9,12.95,NA
238,5637.9,19.77,4.82
239,5662,11.05,NA
240,5686,9.4,5.84
241,5710.1,9.71,NA
242,5734.2,13.84,7.01
243,5758.2,17.56,8.03
244,5782.3,16.1,NA
245,5806.3,14.84,8.18
246,5830,16.39,NA
247,5862.2,17.54,6.28
248,5894.3,14.6,NA
249,5926.5,15.15,5.4
250,5958.6,13.03,4.09
251,5990.8,11.36,NA
252,6023,16.54,2.92
253,6055.1,23.82,NA
254,6087.3,24.14,2.77
255,6119.4,20.02,NA
256,6151.6,20.14,2.48
257,6183.8,22.11,NA
258,6215.9,21.77,1.9
259,6248.1,23.76,NA
260,6280.2,16.56,1.46
261,6312.4,18.51,NA
262,6344.6,20.33,1.17
263,6376.7,19.53,NA
264,6408.9,18.22,0.73
265,6441,16.18,NA
266,6473.2,18.05,1.02
267,6505.4,20.51,NA
268,6537.5,11.84,1.46
269,6569.7,12.4,NA
270,6601.8,12.41,1.31
271,6634,12.32,NA
272,6666.2,11.61,1.61
273,6698.3,12.42,NA
274,6730.5,12.94,1.75
275,6762.6,14.93,NA
276,6794.8,14.04,1.61
277,6827,12.4,NA
278,6859.1,12.42,2.77
279,6891.3,13.09,NA
280,6923.4,11.88,2.77
281,6955.6,15.02,NA
282,6987.8,14.82,2.92
283,7019.9,10.87,NA
284,7052.1,13.4,3.07
285,7084.2,12.81,NA
286,7116.4,12.85,4.38
287,7148.6,12.41,NA
288,7180.7,12.32,5.99
289,7212.9,12.5,NA
290,7245,12.39,6.42
291,7261.5,11.99,NA
292,7277.9,11.68,5.11
293,7294.4,12.17,NA
294,7310.9,9.17,4.09
295,7327.4,12.19,NA
296,7343.8,14.6,3.65
297,7360.3,17.66,NA
298,7376.8,17.02,4.09
299,7393.2,13.96,NA
300,7409.7,15.04,5.26
301,7426.2,15.16,NA
302,7442.6,17.47,6.57
303,7459.1,20.26,NA
304,7475.6,18.68,6.13
305,7492,11.93,NA
306,7508.5,13.08,4.82
307,7525,14.31,NA
308,7541.5,16.58,4.53
309,7557.9,8.48,NA
310,7574.4,10.18,4.09
311,7590.9,12.94,NA
312,7607.3,13.17,3.5
313,7623.8,13.07,NA
314,7640.3,15.48,3.5
315,7656.8,15.75,NA
316,7673.2,14.74,4.23
317,7689.7,15.69,NA
318,7706.2,15.77,3.94
319,7722.6,14.73,NA
320,7739.1,17.24,3.8
321,7755.6,16.95,NA
322,7772,16.45,3.5
323,7788.5,14.28,NA
324,7805,21.87,2.63
325,7831.4,14.85,NA
326,7857.9,14.18,2.63
327,7884.3,9.23,NA
328,7910.7,9.54,2.48
329,7937.1,9.92,NA
330,7963.6,13.53,2.77
331,7990,13.39,NA
332,8040,10.83,3.21
333,8090,2.12,NA
334,8140,6.94,4.23
335,8190,6.85,NA
336,8240,7.58,5.11
337,8290,8.36,NA
338,8340,9.57,4.82
339,8356,5.15,NA
340,8372,4.6,5.99
341,8388,3.67,NA
342,8404,8,7.01
343,8420,12.57,NA
344,8537.5,13.93,7.74
345,8655,13.55,NA
346,8772.5,14.09,8.47
347,8890,12.74,NA
348,9007.5,9.87,9.78
349,9125,9.1,NA
350,9242.5,14,8.32
351,9360,19.5,NA
352,9378,16.99,5.84
353,9396,19.02,NA
354,9414,18,4.96
355,9432,17.06,NA
356,9450,17.88,4.96
357,9509.2,10.88,NA
358,9568.2,11.2,4.38
359,9627.2,10.7,NA
360,9686.2,10.53,3.8
361,9745.2,12.25,NA
362,9804.2,12.53,3.36
363,9863.2,11.77,NA
364,9922.2,14.24,3.36
365,9981.2,15.6,NA
366,10040.2,16.25,3.94
367,10099.2,15.85,NA
368,10158.2,16,4.23
