year (AD),age (BP),precipitation (mm/yr)
1950,0,944.143
1900,50,974.314
1850,100,1004.486
1800,150,1034.657
1750,200,1064.829
1700,250,1095
1650,300,984.333
1600,350,969.75
1550,400,951.403
1500,450,938.505
1450,500,930.358
1400,550,922.211
1350,600,914.064
1300,650,905.918
1250,700,897.771
1200,750,889.624
1150,800,881.477
1100,850,873.33
1050,900,867.512
1000,950,870.699
950,1000,873.887
900,1050,877.074
850,1100,880.261
800,1150,883.449
750,1200,886.636
700,1250,889.823
650,1300,893.011
600,1350,896.198
550,1400,894.415
500,1450,890.96
450,1500,887.505
400,1550,884.051
350,1600,880.596
300,1650,877.141
250,1700,873.687
200,1750,870.232
150,1800,866.777
100,1850,863.323
50,1900,863.276
0,1950,863.581
-50,2000,863.886
-100,2050,864.191
-150,2100,864.496
-200,2150,864.8
-250,2200,865.105
-300,2250,865.41
-350,2300,865.715
-400,2350,866.164
-450,2400,868.694
-500,2450,871.224
-550,2500,873.754
-600,2550,876.283
-650,2600,878.813
-700,2650,881.343
-750,2700,883.874
-800,2750,886.411
-850,2800,888.947
-900,2850,891.483
-950,2900,894.02
-1000,2950,896.556
-1050,3000,899.092
-1100,3050,901.629
-1150,3100,904.165
-1200,3150,906.702
-1250,3200,909.238
-1300,3250,911.774
-1350,3300,914.311
-1400,3350,916.847
-1450,3400,919.383
-1500,3450,921.92
-1550,3500,924.456
-1600,3550,926.993
-1650,3600,929.529
-1700,3650,922.663
-1750,3700,905.463
-1800,3750,888.262
-1850,3800,871.061
-1900,3850,863.135
-1950,3900,863.121
-2000,3950,863.106
-2050,4000,863.091
-2100,4050,863.077
-2150,4100,863.062
-2200,4150,863.048
-2250,4200,863.033
-2300,4250,863.019
-2350,4300,863.004
-2400,4350,863.03
-2450,4400,863.074
-2500,4450,863.117
-2550,4500,863.161
-2600,4550,863.205
-2650,4600,863.248
-2700,4650,863.292
-2750,4700,863.335
-2800,4750,863.379
-2850,4800,863.422
-2900,4850,875.782
-2950,4900,890.21
-3000,4950,904.638
-3050,5000,919.067
-3100,5050,933.495
-3150,5100,947.923
-3200,5150,962.352
-3250,5200,976.78
-3300,5250,991.209
-3350,5300,1005.153
-3400,5350,986.085
-3450,5400,967.017
-3500,5450,947.949
-3550,5500,928.881
-3600,5550,909.814
-3650,5600,890.746
-3700,5650,871.678
-3750,5700,862.869
-3800,5750,862.89
-3850,5800,862.911
-3900,5850,862.933
-3950,5900,862.954
-4000,5950,862.975
-4050,6000,862.997
-4100,6050,867.296
-4150,6100,872.357
-4200,6150,877.419
-4250,6200,882.481
-4300,6250,887.543
-4350,6300,892.605
-4400,6350,895.976
-4450,6400,890.466
-4500,6450,884.956
-4550,6500,879.445
-4600,6550,873.935
-4650,6600,868.425
-4700,6650,862.914
-4750,6700,860.211
-4800,6750,860.66
-4850,6800,861.108
-4900,6850,861.557
-4950,6900,862.005
-5000,6950,862.454
-5050,7000,862.902
-5100,7050,895.944
-5150,7100,938.054
-5200,7150,980.164
-5250,7200,1022.275
-5300,7250,1023.717
-5350,7300,1012.947
-5400,7350,1002.176
-5450,7400,991.406
-5500,7450,980.635
-5550,7500,969.865
-5600,7550,959.095
-5650,7600,948.324
-5700,7650,937.554
-5750,7700,929.051
-5800,7750,923.882
-5850,7800,918.714
-5900,7850,913.545
-5950,7900,908.376
-6000,7950,903.208
-6050,8000,898.039
-6100,8050,892.917
-6150,8100,887.812
-6200,8150,882.708
-6250,8200,877.603
-6300,8250,872.499
-6350,8300,867.394
-6400,8350,862.431
-6450,8400,862.516
-6500,8450,862.602
-6550,8500,862.687
-6600,8550,862.773
-6650,8600,862.858
-6700,8650,862.943
-6750,8700,864.684
-6800,8750,869.661
-6850,8800,874.637
-6900,8850,879.613
-6950,8900,884.59
-7000,8950,889.566
-7050,9000,894.542
-7100,9050,894.08
-7150,9100,890.684
-7200,9150,887.288
-7250,9200,883.893
-7300,9250,880.497
-7350,9300,902.506
-7400,9350,948.246
-7450,9400,993.987
-7500,9450,969.805
-7550,9500,918.246
-7600,9550,866.686
-7650,9600,912.131
-7700,9650,965.988
-7750,9700,1006.944
-7800,9750,954.874
-7850,9800,902.804
-7900,9850,896.677
-7950,9900,896.634
-8000,9950,896.592
-8050,10000,910.748
-8100,10050,937.753
-8150,10100,964.758
-8200,10150,953.615
-8250,10200,928.114
-8300,10250,902.613
-8350,10300,877.111
-8400,10350,863.181
-8450,10400,863.587
-8500,10450,863.993
-8550,10500,864.399
-8600,10550,864.805
-8650,10600,865.211
-8700,10650,865.617
-8750,10700,866.023
-8800,10750,866.429
-8850,10800,866.835
-8900,10850,867.062
-8950,10900,866.726
-9000,10950,866.39
-9050,11000,866.054
