age (BP),temperature (degC),reliable (missing)
-19,13.345,Y
20.861,11.501,Y
101,11.897,Y
140.537,12.791,Y
260.034,13.734,Y
299.808,10.903,Y
339.547,13.186,Y
418.902,15.126,Y
458.51,12.49,Y
498.067,12.926,Y
577.01,13.747,Y
655.7,14.609,Y
734.106,13.826,Y
812.194,13.824,Y
889.935,14.279,Y
967.296,14.384,Y
1044.25,13.335,Y
1120.75,15.295,Y
1196.78,15.93,Y
1272.31,15.591,Y
1347.29,13.673,Y
1421.71,13.865,Y
1495.53,13.169,Y
1713.05,12.278,Y
1784.14,14.12,Y
1854.48,14.033,Y
1924.02,12.843,Y
1992.74,12.941,Y
2060.61,12.81,Y
2127.58,13.019,Y
2193.65,12.975,Y
2258.76,13.104,Y
2322.89,14.413,Y
2386,15.172,Y
2448.08,13.602,Y
2509.07,13.127,Y
2568.96,13.322,Y
2627.71,13.323,Y
2685.29,13.24,Y
2741.67,12.631,Y
2796.81,12.827,Y
2903.26,13.419,Y
3004.39,13.903,Y
3100.1,13.797,Y
3190.55,13.978,Y
3394.94,13.769,Y
3503.67,13.223,Y
3692.91,13.831,Y
3748.35,13.231,Y
3774.76,14.428,Y
3800.31,12.813,Y
3894.54,15.098,Y
3848.97,12.339,Y
3937.21,12.606,Y
4014.65,13.422,Y
4049.81,13.046,Y
4082.85,14.361,Y
4143.4,13.762,Y
4197.87,12.625,Y
4210.72,12.804,Y
4223.31,13.169,Y
4247.83,13.652,Y
4294.86,13.589,Y
4300,14.302,Y
4317.77,12.222,Y
4340.54,13.769,Y
4363.37,13.646,Y
4386.44,13.853,Y
4409.97,13.137,Y
4426.38,14.3,Y
4446.53,11.75,Y
4485.21,14.073,Y
4512.43,12.976,Y
4540.81,13.092,Y
4570.35,13.538,Y
4601.01,13.22,Y
4665.67,12.796,Y
4682.51,13.162,Y
4699.62,13.905,Y
4734.63,13.105,Y
4770.68,13.732,Y
4807.76,16.58,Y
4845.85,14.257,Y
4884.92,14.302,Y
4904.83,12.934,Y
4930,15.127,Y
4965.98,14.182,Y
5094.54,15.037,Y
5139.19,13.84,Y
5184.7,15.232,Y
5231.06,16.059,Y
5278.26,14.232,Y
5326.27,14.785,Y
5350.57,14.902,Y
5475.01,15.571,Y
5526.1,13.467,Y
5577.91,15.048,Y
5630.37,14.115,Y
5737.03,14.701,Y
5791.12,13.021,Y
5845.63,13.453,Y
5900.5,14.56,Y
5955.68,13.793,Y
6066.73,13.68,Y
6094.59,15.107,Y
6122.48,14.873,Y
6178.3,16.299,Y
6234.14,13.983,Y
6289.93,14.461,Y
6401.15,13.164,Y
6428.83,12.927,Y
6456.46,14.653,Y
6511.49,13.665,Y
6566.18,15.915,Y
6620.48,14.177,Y
6727.65,16.58,Y
6754.11,12.177,Y
6780.42,16.197,Y
6832.55,15.268,Y
6883.99,15.079,Y
6934.69,15.442,Y
6984.58,16.922,Y
7033.61,17.14,Y
7057.79,15.048,Y
7081.72,16.894,Y
7128.86,16.006,Y
7220.01,16.517,Y
7306.68,16.6,Y
7348.2,16.355,Y
7388.46,15.961,Y
7465.06,15.383,Y
7483.42,15.925,Y
7501,16.47,Y
7536.62,16.245,Y
7570.58,14.162,Y
7603.37,15.721,Y
7665.54,15.431,Y
7680.39,16.545,Y
7694.98,15.518,Y
7723.36,13.922,Y
7750.71,14.641,Y
7777.07,14.706,Y
7802.46,15.464,Y
7850.43,14.801,Y
7894.88,16.652,Y
7915.85,15.19,Y
7936.03,15.784,Y
7974.12,16.963,Y
7992.09,17.964,Y
8009.38,13.642,Y
8026.03,15.442,Y
8042.05,14.157,Y
8072.35,15.423,Y
8079.58,12.892,Y
8086.69,13.116,Y
8100.52,14.904,Y
8107.26,13.854,Y
8113.88,17.788,Y
8126.8,14.654,Y
8157.33,14.745,Y
8163.17,12.669,Y
8174.6,11.536,Y
8222.75,16.931,Y
8282.12,11.096,Y
