depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol)
0.13,4200,25,-2.46,3.61
0.18,4460,26.67,-2.61,4.19
0.23,4640,26.54,-2.65,4.14
0.28,4750,26.46,-2.77,4.11
0.33,4860,26.88,-2.23,4.27
0.38,5040,27.48,-2.18,4.51
0.43,5200,25.92,-2.51,3.92
0.48,5320,25.3,-2.64,3.7
0.53,5420,26.3,-2.5,4.05
0.58,5530,28.36,-2.43,4.88
0.63,5650,26.95,-2.22,4.3
0.68,5770,25.99,-2,3.94
0.73,5880,26.68,-2.46,4.2
0.78,5990,25.89,-2.02,3.91
0.83,6110,26.51,-2.54,4.13
0.88,6220,27.32,-2.55,4.44
0.93,6330,27.33,-2.48,4.44
0.98,6450,26.32,-2.34,4.06
1.03,6550,26.26,-2.24,4.04
1.08,6670,NA,-2.5,NA
1.13,6800,26.44,-2.28,4.1
1.18,6930,25.89,-2.32,3.91
1.23,7060,24.69,-2.14,3.51
1.28,7190,25.75,-2.39,3.86
1.33,7330,27.06,-2.56,4.34
1.38,7460,NA,-2.35,NA
1.43,7600,27.33,-2.4,4.45
1.48,7730,26.9,-2.43,4.28
1.53,7860,26.84,-2.45,4.25
1.58,7990,26.88,-2.41,4.27
1.63,8110,NA,-2.04,NA
1.68,8230,27,-2.3,4.32
1.73,8340,NA,-1.29,NA
1.78,8460,NA,-2.2,NA
1.83,8580,26.45,-2.28,4.11
1.88,8700,26.83,-2.31,4.25
1.93,8820,27.35,-2.4,4.45
1.98,8930,27.94,-2.07,4.7
2.03,9050,NA,-2.17,NA
2.08,9190,27.4,-2.58,4.47
2.13,9360,25.13,-2.12,3.65
2.18,9520,27.84,-2.46,4.66
2.23,9680,NA,-2.59,NA
2.28,9840,26.26,-2.09,4.04
2.33,10000,25.38,-2.01,3.73
2.38,13240,26.19,-1.68,4.01
2.43,14700,26.22,-1.03,4.02
2.48,15000,26.03,-0.67,3.95
2.53,15350,26.63,-0.75,4.18
2.58,15680,26.14,-0.72,3.99
2.63,15970,26.59,-0.73,4.16
2.68,16370,27.4,-0.51,4.48
2.73,16830,24.85,-0.57,3.56
2.78,17340,25,-0.46,3.61
2.83,17830,25.51,-0.63,3.77
2.88,18340,25.1,-0.59,3.64
2.93,18830,25.02,-0.71,3.61
2.98,19280,25,-0.21,3.6
3.03,19690,24.33,-0.54,3.4
3.08,20050,24.46,-0.78,3.43
3.13,20470,24.44,-0.66,3.43
3.18,20890,23.51,-0.56,3.15
3.23,21310,24.53,-1.02,3.46
3.28,21740,24.83,-1.01,3.55
3.33,22170,24.48,-0.67,3.44
3.38,22600,25.01,-0.7,3.61
3.43,23040,24.17,-0.89,3.35
3.48,23450,24.17,-0.62,3.35
3.53,23890,24.41,-0.72,3.42
3.58,24320,24.88,-0.66,3.57
3.63,24760,25.18,-0.78,3.66
3.68,25200,24.75,-0.7,3.53
3.73,25630,23.59,-0.58,3.17
3.78,26050,23.38,-0.61,3.12
3.83,26470,24.69,-0.61,3.51
3.88,26900,23.27,-0.65,3.09
3.93,27310,23.74,-0.88,3.22
3.98,27710,24.25,-0.75,3.37
4.03,28060,24.45,-0.69,3.43
4.08,28460,23.89,-0.8,3.26
4.13,28900,25.17,-0.5,3.66
4.18,29350,24.8,-1.23,3.54
4.23,29800,25.23,-1.03,3.68
4.28,30240,24.59,-0.86,3.47
4.33,30700,23.45,-0.84,3.14
4.38,31150,23.87,-0.98,3.26
4.43,31610,24.06,-0.78,3.31
4.48,32070,25.17,-1.02,3.66
4.53,32530,23.92,-1.03,3.27
4.58,32970,24.53,-1.67,3.46
4.63,33430,24.94,-1.08,3.58
4.68,33870,24.79,-1.05,3.54
4.73,34320,24.59,-0.85,3.47
4.78,34710,24.93,-1.01,3.58
4.83,35100,25.27,-0.81,3.69
4.88,35490,25.77,-1.31,3.86
4.93,35890,25.37,-1.53,3.73
4.98,36270,25.7,-1.33,3.84
5.03,36650,25.4,-1,3.74
5.08,37050,24.95,-1.06,3.59
5.13,37440,25.56,-1.05,3.79
5.18,37840,25.82,-1.17,3.88
5.23,38230,24.24,-1.08,3.37
5.28,38630,25.12,-0.98,3.65
5.33,39020,24.85,-1.01,3.56
5.38,39420,NA,NA,NA
