depth (cm),age (BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,0,26.886,5.743,16.983,1246.429
2,26,26.5,5.571,16.689,1321.143
4,52,27.143,6.186,17.342,1213.857
6,78,27.2,4.957,16.763,1208.714
8,104,26.857,3.457,15.911,1319.143
10,130,26.686,3.329,15.751,1301.143
12,180,26.743,4.471,16.317,1294
14,228,27.386,6.914,17.852,1230.429
16,264,27.1,9.086,18.712,1319.286
18,295,27.543,7.229,18.054,1197
20,323,27.214,6.486,17.489,1166.429
22,350,26.929,4.229,16.307,1305.857
24,376,26.957,4.229,16.314,1305
26,401,26.3,3.786,15.707,1297.714
28,424,26.371,3.914,15.883,1363.714
30,446,27.114,7.557,17.946,1193.286
32,467,27.114,7.557,17.946,1193.286
34,487,26.771,6.486,17.236,1259.714
36,506,26.714,4.871,16.458,1284.714
38,525,26.671,4.343,16.18,1280.143
40,542,27.171,6.957,17.727,1208.143
42,559,27.386,7.214,17.976,1213.714
44,607,27.257,6.686,17.695,1244.143
46,666,26.829,5.6,16.918,1306.857
48,732,26.843,6.243,17.188,1289.571
50,811,26.7,5.757,16.868,1296
52,899,26.843,6.243,17.188,1289.571
54,992,26.9,5.586,16.964,1337.714
56,1092,26.843,6.243,17.188,1289.571
58,1194,26.843,6.243,17.188,1289.571
60,1277,26.714,4.871,16.458,1284.714
64,1426,26.843,6.243,17.188,1289.571
68,1626,26.714,4.186,16.2,1328.143
72,1809,27.414,5.1,17.021,1235.714
76,1973,26.914,4.386,16.46,1231
80,2171,26.957,4.971,16.737,1291
84,2341,27.2,4.843,16.715,1216.857
88,2553,26.6,4.7,16.32,1275
92,2758,27.057,4.971,16.79,1273.857
96,2828,26.929,3.586,15.987,1289.714
100,2819,27.129,4.914,16.782,1267.286
104,2811,26.643,3.857,16.002,1246
108,2801,26.857,4.129,16.254,1266.714
112,2793,26.886,5.4,16.808,1292.143
116,2784,27.071,5.314,16.973,1264.857
120,2775,25.3,1.314,14.052,1150.857
124,2893,26.314,3.171,15.573,1181.714
128,3422,25.786,2.386,14.808,1182
132,3907,25.3,1.314,14.052,1150.857
136,4474,26.8,5.143,16.712,1194.571
138,5265,25.429,-1.343,13.026,964.857
140,5339,27.271,5.443,17.075,1236.571
142,5409,24.529,-4.386,11.144,932.286
144,5474,27.386,4.186,16.632,983.286
148,5981,27.329,4.714,16.782,1192.714
152,6408,28.043,5.286,17.45,1117
156,6873,27.343,4.029,16.5,970.143
160,7362,26.629,1.229,14.785,1049.857
