year (AD),age (BP),depth (cm),Water0x2DtableDepth0x28cm0x29 (cm),err (cm)
1988,-38,1.5,22.953,7.996
1971.85,-21.85,3.5,14.309,8.011
1954.65,-4.65,5.5,11.742,8.012
1933.55,16.45,7.5,12.336,8.02
1915.1,34.9,9.5,12.856,8.017
1894.5,55.5,11.5,24.371,8.013
1872.2,77.8,13.5,9.958,8.061
1852.2,97.8,15.5,16.438,7.988
1830.65,119.35,17.5,3.608,7.996
1809.7,140.3,19.5,4.948,8.007
1789.3,160.7,21.5,14.45,8.003
1768.35,181.65,23.5,41.77,8.363
1748.1,201.9,25.5,15.303,8.021
1725.4,224.6,27.5,10.676,7.993
1704.25,245.75,29.5,7.004,7.998
1683.45,266.55,31.5,2.313,7.997
1662.6,287.4,33.5,2.184,8.028
1642.25,307.75,35.5,15.008,7.993
1620.4,329.6,37.5,8.124,8.013
1598.9,351.1,39.5,3.109,8.005
1578.25,371.75,41.5,10.797,7.996
1557.6,392.4,43.5,2.825,8.025
1536.8,413.2,45.5,12.907,8.032
1514.05,435.95,47.5,9.487,8.007
1492.25,457.75,49.5,21.209,7.997
1471.25,478.75,51.5,15.353,7.988
1450.35,499.65,53.5,0.644,8.017
1428.7,521.3,55.5,2.234,8
1407.75,542.25,57.5,6.103,7.999
1386.6,563.4,59.5,8.315,7.997
1365.65,584.35,61.5,12.051,8.019
1343.55,606.45,63.5,5.76,7.996
1322.55,627.45,65.5,5.747,8.016
1302.35,647.65,67.5,12.119,8.032
1281.9,668.1,69.5,9.811,8.042
1261.6,688.4,71.5,7.907,7.995
1241.35,708.65,73.5,7.621,7.992
1221.05,728.95,75.5,6.848,8.164
1200.95,749.05,77.5,8.284,8.014
1180.6,769.4,79.5,9.007,7.998
1160.8,789.2,81.5,3.561,8.001
1140,810,83.5,6.105,8.007
1119.3,830.7,85.5,9.592,7.999
1098.85,851.15,87.5,4.75,7.997
1075.9,874.1,89.5,5.329,7.996
1049.65,900.35,91.5,4.451,8.001
1014.8,935.2,94.5,0.801,8.003
988.3,961.7,96.5,6.417,7.997
960.45,989.55,98.5,3.308,8.003
933.75,1016.25,100.5,7.079,8.003
903.85,1046.15,102.5,5.735,8.001
875.2,1074.8,104.5,12.583,7.994
846.5,1103.5,106.5,10.993,7.992
816.95,1133.05,108.5,7.316,7.998
788.3,1161.7,110.5,7.517,7.998
758.35,1191.65,112.5,10.438,7.995
727.15,1222.85,114.5,8.754,8
697.85,1252.15,116.5,7.247,7.996
668.65,1281.35,118.5,11.561,7.996
640.15,1309.85,120.5,10.589,7.995
612.65,1337.35,122.5,4.036,8.023
584.45,1365.55,124.5,5.613,8.004
557.7,1392.3,126.5,3.712,7.999
510.7,1439.3,129.5,17.91,8.029
493.7,1456.3,130.5,6.137,7.991
442.15,1507.85,133.5,11.487,8.023
410,1540,135.5,8.027,8.017
373.85,1576.15,137.5,9.288,8
339.85,1610.15,139.5,10.198,8.036
321.8,1628.2,140.5,12.503,7.997
264.5,1685.5,143.5,4.137,8.019
229.7,1720.3,145.5,8.759,7.997
191.5,1758.5,147.5,2.615,8.04
152.65,1797.35,149.5,25.599,8.012
78.05,1871.95,153.5,13.075,8.085
