depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
10,-23,6.814,-10.014,-2.192,1176.714
810,7,6.886,-28.471,-11.468,342.857
2440,66,14.957,-22.3,-3.324,553
3900,119,15.186,-18.486,-0.667,428.143
4390,137,11.057,-19.443,-5.017,705.714
4720,161,16.7,-19.329,-0.412,666.286
5690,231,15.843,-20.886,-1.18,425.286
6670,279,4.557,-31.143,-14.968,178.286
6810,289,21.114,-5.7,7.601,357.857
6970,302,16.514,-21.114,-0.911,402.571
7110,312,16.557,-19.514,-0.362,453
7270,323,17.343,-18.586,0.692,586.857
8170,384,15.043,-20.9,-1.965,574.143
8310,392,13.743,-20.957,-3.86,614.286
8470,401,12.071,-22.671,-5.852,472.714
8610,409,15.614,-20.386,-1.608,512.857
8770,418,19.043,-13.286,3.93,805.714
9670,465,17.071,-18.7,0.24,442
9810,472,10,-25.429,-7.783,474.714
9970,480,19.657,-14,4.093,768.143
10410,500,9.543,-20.714,-6.935,461
10570,507,18.271,-13.571,2.898,963.714
10710,513,16.7,-18.957,-0.073,762
11590,550,16.543,-19.7,-0.398,525.571
11740,556,16.429,-16.6,0.695,919
11890,563,15.271,-21.243,-2.101,555.143
12040,569,17.129,-18.7,0.387,642.857
12190,578,11.814,-20.971,-4.93,670.143
12340,586,17.086,-20.357,-0.182,502.857
12490,595,12.914,-26.814,-6.619,360.286
12640,604,17.371,-17.886,0.918,613.857
12790,613,8.614,-25.1,-9.298,340.429
13690,667,11.629,-26.914,-7.752,253.571
13840,676,10.171,-23.371,-5.975,580.714
13990,686,8.857,-21.729,-7.407,421.571
14140,696,9.543,-26.757,-9.439,251
14290,706,16.971,-15.229,1.537,944
14440,716,11.671,-15.729,-2.293,877.286
14990,756,15.486,-19.243,-1.474,799.143
15490,796,13.743,-21.771,-3.75,495.571
15640,814,9.971,-26.743,-9.052,318.571
15780,833,16.457,-16.943,0.33,742.143
15930,852,4.086,-33.186,-16.423,159.286
16080,873,18.057,-14.3,3.013,890.143
16830,975,13.743,-21.529,-3.563,576.143
16980,996,4.071,-32.171,-15.676,166
17130,1018,9.2,-27.343,-8.862,379.857
17280,1040,12.214,-22.914,-4.86,582.286
17430,1064,7.686,-30.386,-12.31,238.714
18050,1160,12.3,-23.1,-5.893,541
18190,1180,13.543,-14.3,0.148,864.429
18340,1201,16.514,-19.886,-0.706,582.714
18490,1221,17.214,-16.571,1.131,758.571
19090,1291,17.371,-18.129,0.723,695.714
19240,1307,16.857,-10.886,3.37,1222.571
20180,1430,11.986,-24.729,-6.643,482
20330,1469,11.443,-25.1,-7.057,447.286
20480,1513,12.343,-18.614,-3.442,806.429
20630,1562,17.786,-15.686,1.758,777.143
20780,1611,13.243,-22.257,-4.474,578
20930,1662,14.829,-15.9,-0.349,845.286
21050,1703,20.2,-5,7.255,363.571
21200,1752,19.343,-4.714,7.018,359.571
21350,1800,10.886,-20.029,-5.124,497.286
21500,1847,16.229,-18.3,-0.496,811.286
21950,1977,11.386,-22.371,-6.39,462
22100,2023,10.071,-26.329,-8.771,438.143
22250,2075,8.557,-28.929,-11.318,292.143
22400,2134,3.571,-32.443,-16.075,172.571
22550,2194,16.6,-16.743,0.383,404.714
22700,2246,15.5,-20.114,-1.579,597
22850,2290,17,-17.943,0.952,716.857
23000,2328,8.329,-28.957,-11.413,231.857
23150,2367,13.943,-26.243,-5.74,367.286
23300,2409,7.343,-27.457,-11.068,381.857
23450,2462,11.543,-19.357,-3.945,743.571
23600,2550,19.514,-7.829,5.633,418.286
23750,2643,17.057,-17.014,0.901,855.286
23900,2695,13.043,-16.957,-2.174,755.857
24050,2734,18.157,-12.943,3.352,1005.286
24200,2767,14.4,-13.957,0.102,920.571
24350,2798,8.657,-28.843,-10.738,261.286
24500,2830,8.029,-28.386,-10.606,347.143
24650,2863,12.314,-19.3,-3.326,730
24800,2901,13.329,-25.286,-6.544,483.857
25250,3256,15.4,-15.157,0.463,989.143
25400,3346,11.457,-24.643,-7.165,522.571
25550,3425,12.286,-21.286,-3.711,641.571
25700,3505,13.014,-18.771,-3.489,676.143
25850,3596,9.057,-19.586,-6.231,678.429
26000,3699,16.014,-20.071,-0.902,544.571
26150,3803,9.971,-17.557,-4.319,828
26300,3906,9.286,-29.1,-10.562,267.286
26450,4011,8.043,-13.714,-3.733,848
26600,4123,9.771,-23.429,-6.546,516.714
26750,4250,6.829,-28.329,-12.083,320.571
26900,4371,16.843,-19.757,-0.79,687.857
27050,4467,12.086,-21.843,-4.729,641.571
27350,4842,13.357,-16.7,-1.889,712.286
27500,4962,17.171,-17.171,0.9,850.714
27650,5223,10.743,-26.414,-8.724,455.429
27800,5395,9.043,-26.586,-9.002,351.714
27950,5537,3.814,-32.3,-15.901,170.143
28360,5904,16.557,-19.543,-0.319,699.429
28500,6042,9.543,-22.614,-6.681,468.286
28650,6215,16.286,-19.971,-0.646,660.857
28790,6327,16.471,-14.4,1.152,825.714
28950,6450,11.543,-15.843,-2.406,925.571
29100,6606,11.057,-19.443,-5.017,705.714
29240,8689,10.043,-15.814,-3.477,787.571
29380,11417,NA,NA,NA,NA
29550,41756,NA,NA,NA,NA
