year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1217.75,732.25,597.917,28.604,4.987,37.975
1016.55,933.45,1356.265,27.468,4.502,147.91
815.35,1134.65,1541.625,27.864,4.665,163.081
714.75,1235.25,1634.781,28.617,4.992,151.269
614.15,1335.85,1728.376,27.708,4.6,122.458
513.55,1436.45,1820.615,27.601,4.556,79.695
211.75,1738.25,2058.031,28.798,5.075,168.676
111.15,1838.85,2137.363,27.004,4.318,178.779
10.55,1939.45,2216.917,26.888,4.273,181.829
-190.65,2140.65,2376.66,27.555,4.537,167.683
-291.25,2241.25,2456.918,28.091,4.762,148.697
-391.85,2341.85,2537.615,27.326,4.445,117.333
-492.45,2442.45,2620.494,27.529,4.527,80.821
-693.65,2643.65,2802.809,28.115,4.772,157.506
-794.25,2744.25,2895.313,28.321,4.861,176.331
-894.85,2844.85,2988.07,27.137,4.37,185.147
-995.45,2945.45,3081.04,27.379,4.466,185.312
-1196.65,3146.65,3267.659,28.096,4.764,157.902
-1297.25,3247.25,3361.486,28.117,4.773,123.659
-1397.85,3347.85,3457.54,27.201,4.395,80.115
-1498.45,3448.45,3562.982,27.446,4.493,133.928
-1699.65,3649.65,3779.52,27.399,4.474,196.962
-1800.25,3750.25,3888.309,28.107,4.769,209.865
-1900.85,3850.85,3997.33,28.02,4.731,214.244
-2001.45,3951.45,4106.568,28.112,4.771,210.648
-2202.65,4152.65,4325.798,27.963,4.707,176.383
-2303.25,4253.25,4436.02,27.297,4.433,138.75
-2403.85,4353.85,4543.418,27.7,4.597,88.403
-2504.45,4454.45,4628.082,28.059,4.748,127.42
-2705.65,4655.65,4791.772,27.737,4.613,188.268
-2806.25,4756.25,4874.027,28.131,4.779,206.151
-2906.85,4856.85,4956.438,27.732,4.61,218.896
-3007.45,4957.45,5038.975,27.626,4.566,227.407
-3208.65,5158.65,5204.373,28.078,4.756,233.452
-3309.25,5259.25,5287.224,27.33,4.447,231.307
-3409.85,5359.85,5370.177,27.914,4.686,225.656
-3510.45,5460.45,5453.24,27.689,4.592,216.24
-3711.65,5661.65,5619.776,27.912,4.686,183.633
-3812.25,5762.25,5703.34,28.491,4.936,157.641
-3912.85,5862.85,5787.286,28.162,4.792,119.987
-4013.45,5963.45,5874.878,27.655,4.579,79.149
-4214.65,6164.65,6088.531,28.008,4.726,165.53
-4315.25,6265.25,6197.829,28.174,4.797,183.396
-4415.85,6365.85,6307.474,28.767,5.06,188.911
-4516.45,6466.45,6417.431,27.559,4.539,183.218
-4717.65,6667.65,6638.554,28.53,4.954,129.535
-4818.25,6768.25,6747.412,28.267,4.838,78.954
-4918.85,6868.85,6838.191,28.774,5.064,122.373
-5019.45,6969.45,6926.68,28.655,5.01,160.748
-5220.65,7170.65,7104.631,27.561,4.54,204.617
-5321.25,7271.25,7193.873,28.745,5.051,216.933
-5421.85,7371.85,7283.247,27.661,4.581,224.435
-5522.45,7472.45,7372.738,28.615,4.992,227.596
-5723.65,7673.65,7552.058,28.684,5.023,221.374
-5824.25,7774.25,7641.897,28.355,4.876,211.614
-5924.85,7874.85,7731.879,28.126,4.777,196.634
-6025.45,7975.45,7822.044,28.057,4.747,175.08
-6176.35,8126.35,7957.879,28.807,5.078,122.57
-6276.95,8226.95,8055.527,28.624,4.996,82.778
-6377.55,8327.55,8191.119,27.962,4.707,148.072
-6578.75,8528.75,8477.883,28.305,4.854,216.786
-6679.35,8629.35,8621.884,28.744,5.05,228.16
-6779.95,8729.95,8766.18,28.188,4.803,228.373
-6880.55,8830.55,8910.769,28.572,4.972,217.422
-7081.75,9031.75,9201.186,28.309,4.856,149.516
-7182.35,9132.35,9338.719,28.188,4.803,82.581
-7282.95,9232.95,9421.341,27.897,4.679,116.445
-7383.55,9333.55,9495.439,27.917,4.688,152.244
-7584.75,9534.75,9644.555,27.993,4.72,195.133
-7685.35,9635.35,9719.358,28.68,5.021,208.42
-7785.95,9735.95,9794.277,28.544,4.96,217.779
-7886.55,9836.55,9869.295,29.795,5.551,223.718
-8087.75,10037.75,10019.6,28.341,4.87,226.316
-8188.35,10138.35,10094.883,28.801,5.076,223.103
-8288.95,10238.95,10170.257,28.197,4.807,216.76
-8389.55,10339.55,10245.73,28.812,5.081,207.011
-8590.75,10540.75,10397.051,29.044,5.188,174.905
-8691.35,10641.35,10472.986,27.896,4.679,149.922
-8791.95,10741.95,10549.28,28.513,4.946,114.217
-8892.55,10842.55,10625.897,28.533,4.955,73.332
-9093.75,11043.75,10773.535,28.688,5.024,146.659
-9194.35,11144.35,10847.818,28.544,4.96,169.698
-9395.55,11345.55,10996.955,29.444,5.378,196.902
-9596.75,11546.75,11146.633,27.405,4.477,206.386
-9697.35,11647.35,11221.655,28.225,4.82,205.435
-9797.95,11747.95,11296.808,28.721,5.039,200.695
-9898.55,11848.55,11372.117,28.479,4.931,191.899
-10200.35,12150.35,11604.267,27.409,4.478,143.111
-10300.95,12250.95,11710.684,28.202,4.809,175.267
-10401.55,12351.55,11822.438,27.949,4.701,203.568
-10602.75,12552.75,12047.126,28.034,4.737,234.914
-10703.35,12653.35,12159.811,28.255,4.833,241.26
-10803.95,12753.95,12272.675,27.021,4.325,242.208
-10904.55,12854.55,12385.711,27.671,4.585,237.833
-11105.75,13055.75,12612.347,27.303,4.436,211.471
-11206.35,13156.35,12726.039,27.214,4.4,187.085
-11306.95,13256.95,12840.184,27.298,4.434,150.947
-11407.55,13357.55,12956.85,28.301,4.852,112.687
-11608.75,13558.75,13212.175,27.156,4.377,199.008
-11709.35,13659.35,13341.63,27.453,4.496,226.83
-11809.95,13759.95,13471.37,26.914,4.283,246.355
-11910.55,13860.55,13601.327,27.608,4.559,259.461
-12111.75,14061.75,13861.797,27.645,4.575,269.728
-12212.35,14162.35,13992.311,26.905,4.28,267.522
-12312.95,14262.95,14123.041,26.814,4.245,260.379
-12413.55,14363.55,14254.057,27.572,4.544,247.922
-12614.75,14564.75,14511.011,26.895,4.276,208.727
-12815.95,14765.95,14667.14,27.463,4.5,212.52
-12916.55,14866.55,14741.973,27.969,4.71,213.951
-13117.75,15067.75,14892.212,27.014,4.322,211.893
-13218.35,15168.35,14967.619,27.851,4.66,208.331
