depth (cm),age (BP),temperature (degC)
0.5,998.294,11.64
1.5,1124.647,12.21
2.5,1251,12.118
3.5,1377.353,11.173
4.5,1503.706,10.668
5.5,1630.059,11.613
6.5,1756.412,11.18
7.5,1882.765,11.476
8.5,2009.118,11.4
9.5,2135.471,11.902
10.5,2261.824,10.287
11.5,2388.176,10.549
12.5,2514.529,11.308
13.5,2640.882,11.36
14.5,2767.235,10.735
15.5,2893.588,11.664
16.5,3019.941,10.907
17.5,3146.294,11.527
18.5,3272.647,11.464
19.5,3399,11.695
20.5,3531.353,12.918
21.5,3663.706,11.563
22.5,3796.059,11.378
23.5,3928.412,11.625
24.5,4060.765,11.774
25.5,4193.118,11.386
26.5,4325.471,NA
27.5,4457.824,11.362
28.5,4590.176,11.586
29.5,4722.529,11.516
30.5,4854.882,11.825
31.5,4987.235,10.152
32.5,5119.588,10.077
33.5,5251.941,9.741
34.5,5384.294,9.844
35.5,5516.647,9.059
36.5,5649,8.334
37.5,5773.294,7.636
38.5,5897.588,8.844
39.5,6021.882,9.018
40.5,6146.176,8.151
41.5,6270.471,9.102
42.5,6394.765,8.412
43.5,6519.059,8.414
44.5,6643.353,8.767
45.5,6767.647,8.763
46.5,6891.941,NA
47.5,7016.235,9.382
48.5,7140.529,9.31
49.5,7264.824,9.259
50.5,7389.118,9.242
51.5,7513.412,8.81
52.5,7637.706,9.201
53.5,7762,8.709
54.5,7797.722,7.93
55.5,7833.444,9.222
56.5,7869.167,9.673
57.5,7904.889,10.285
58.5,7940.611,9.611
59.5,7976.333,9.066
60.5,8012.056,9.178
61.5,8047.778,9.209
62.5,8083.5,9.237
63.5,8119.222,NA
64.5,8154.944,8.344
65.5,8190.667,8.653
66.5,8226.389,9.274
67.5,8262.111,9.089
68.5,8297.833,9.488
69.5,8333.556,9.395
70.5,8369.278,9.104
71.5,8405,8.989
72.5,8437.345,9.056
73.5,8469.69,9.017
74.5,8502.034,9.123
75.5,8534.379,8.969
76.5,8566.724,NA
77.5,8599.069,8.451
78.5,8631.414,9.845
79.5,8663.759,9.812
80.5,8696.103,10.283
81.5,8728.448,9.54
82.5,8760.793,9.592
83.5,8793.138,9.88
84.5,8825.483,10.138
85.5,8857.828,10.356
86.5,8890.172,9.809
87.5,8922.517,10.488
88.5,8954.862,10.001
89.5,8987.207,10.684
90.5,9019.552,10.771
91.5,9051.897,10.214
92.5,9084.241,10.118
93.5,9116.586,10.176
94.5,9148.931,10.29
95.5,9181.276,9.723
96.5,9213.621,10.67
97.5,9245.966,10.182
98.5,9278.31,10.097
99.5,9310.655,11.257
100.5,9343,11.235
101.5,9355.892,NA
102.5,9368.785,10.603
103.5,9381.677,10.793
104.5,9394.569,10.536
105.5,9407.462,9.41
106.5,9420.354,10.503
107.5,9433.246,NA
108.5,9446.138,10.006
109.5,9459.031,10.9
110.5,9471.923,10.411
111.5,9484.815,10.969
112.5,9497.708,10.759
113.5,9510.6,11.21
114.5,9523.492,10.393
115.5,9536.385,10.94
116.5,9549.277,10.73
117.5,9562.169,11.302
118.5,9575.062,11.167
119.5,9587.954,10.776
120.5,9600.846,11.471
121.5,9613.738,10.385
122.5,9626.631,11.488
123.5,9639.523,10.945
124.5,9652.415,10.802
125.5,9665.308,11.435
126.5,9678.2,11.68
127.5,9691.092,11.419
128.5,9703.985,11.657
129.5,9716.877,11.423
130.5,9729.769,11.337
131.5,9742.662,11.684
132.5,9755.554,11.122
133.5,9768.446,11.667
134.5,9781.338,11.332
135.5,9794.231,12.077
136.5,9807.123,12.102
137.5,9820.015,11.45
138.5,9832.908,11.77
139.5,9845.8,12.21
140.5,9858.692,10.817
141.5,9871.585,11.513
