age (BP),temperature (degC)
0,6.241
305.3,4.758
610.5,4.475
1221.1,5.469
1526.3,6.017
1831.6,5.402
2136.8,5.487
2442.1,5.654
2747.4,6.41
3011.2,5.854
3233.7,5.944
3456.2,5.392
3678.7,6.814
3901.1,7.059
4123.6,6.841
4346.1,7.63
4568.6,7.965
4791,7.914
5013.5,7.361
5236,8.098
5458.5,7.834
5681,8.641
5937.5,8.686
6251,8.558
6564.5,8.119
6877.9,7.834
7191.4,8.277
7504.8,7.189
7818.3,4.168
8445.2,5.995
8758.6,5.344
9072.1,6.08
9385.5,4.85
9699,3.964
10012.5,2.857
