depth (mm),core (unitless),238U (ng/g),238U_error (ng/g) (unitless),232Th (pg/g),232Th_error (unitless),230Th/232Th (ratio),230Th/232Th_error (unitless),230Th/238U (ratio),230Th/238U_error (unitless),d234U (unitless),d234U_error (unitless),initial_d234U (permil),d234U_error (unitless),uncorrected_age (yr bp),uncorrected_age_error (yr),Corrected_age (yr bp),Corrected_age_error (yr)
35.0,# KC-1,817,1,131,36,1011,277,0.053,0,977,2,985,2,2969,14,2967,14
55.0,# KC-1,757,1,191,41,727,156,0.06,0,955,2,964,2,3399,17,3395,18
73.0,# KC-1,1060,1,513,38,510,38,0.081,0,960,2,972,2,4575,17,4568,17
98.0,# KC-1,1033,1,145,58,1855,744,0.085,0,945,2,958,2,4871,20,4869,20
132.0,# KC-1,878,3,342,39,687,78,0.087,0,917,2,930,2,5074,22,5069,23
148.0,# KC-1,1283,2,353,35,1026,101,0.092,0,909,2,922,2,5391,15,5387,15
162.0,# KC-1,1485,2,5291,33,85,1,0.099,0,905,2,920,2,5783,20,5729,33
189.0,# KC-1,1280,2,2,33,186178,2782322,0.105,0,893,2,908,2,6220,18,6220,18
196.0,# KC-1,1490,4,929,43,545,25,0.111,0,889,2,906,2,6586,23,6577,23
202.0,# KC-1,1185,1,11855,43,37,0,0.122,0,849,2,867,2,7432,19,7276,80
212.0,# KC-1,1401,5,603,48,873,70,0.123,0.001,844,2,862,2,7486,35,7479,35
243.0,# KC-1,1513,1,3554,48,171,2,0.132,0,838,2,857,2,8053,21,8016,28
254.0,# KC-1,1563,1,286,49,2270,385,0.136,0,834,2,854,2,8351,21,8348,21
277.0,# KC-1,1881,9,2347,38,372,6,0.152,0.001,814,2,836,2,9486,51,9466,51
307.0,# KC-1,2357,2,1288,33,907,23,0.162,0,783,2,806,2,10328,26,10319,26
330.0,# KC-1,3003,5,1529,46,1015,30,0.169,0,721,2,744,2,11197,32,11189,32
342.0,# KC-1,3201,3,13504,56,129,1,0.178,0,741,2,766,2,11687,30,11617,46
0.5++,# KC-3,291,0,27224,95,1,0,0.033,0.001,950,2,951,3,1874,49,471,702
4.0,# KC-3,275,0,1109,75,11,1,0.015,0.001,967,2,969,2,817,41,758,51
8.0,# KC-3,338,0,865,98,30,4,0.025,0.001,950,2,954,2,1422,43,1384,47
11.5++,# KC-3,335,0,11175,50,3,0,0.037,0,941,2,946,2,2083,24,1628,228
14.5,# KC-3,367,0,2939,60,16,0,0.043,0.001,933,2,939,2,2436,27,2316,66
37.0,# KC-3,554,0,226,79,494,172,0.066,0,902,2,912,2,3836,25,3830,25
56.0,# KC-3,636,0,312,77,540,132,0.087,0,879,2,892,2,5141,23,5133,24
65.0,# KC-3,661,1,2873,74,72,2,0.102,0,867,2,882,2,6121,25,6053,42
74.0,# KC-3,511,0,3169,84,58,2,0.117,0.001,848,2,865,2,7110,35,7013,60
78.0,# KC-3,731,0,10058,85,28,0,0.126,0,843,2,861,2,7676,29,7461,111
85.0,# KC-3,979,1,3258,75,120,3,0.13,0,836,2,855,2,7989,24,7936,35
90.0,# KC-3,1169,1,712,85,686,82,0.137,0,834,2,854,2,8401,24,8382,26
116.0,# KC-3,1965,1,552,95,1804,311,0.166,0,756,2,779,2,10741,28,10732,28
