depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol)
0.1,372,NA,-1.617,NA
0.2,742,NA,-1.702,NA
0.3,1111,NA,-1.824,NA
0.4,1480,NA,-1.849,NA
0.5,1849,NA,-1.76,NA
0.6,2218,NA,-1.69,NA
0.7,2588,NA,-1.591,NA
0.8,2957,NA,-1.626,NA
0.9,3326,NA,-1.554,NA
1,3695,NA,-1.549,NA
1.1,4065,NA,-1.445,NA
1.2,4434,NA,-1.536,NA
1.3,4803,NA,-1.512,NA
1.4,5172,NA,-1.495,NA
1.5,5542,NA,-1.481,NA
1.6,5911,NA,-1.585,NA
1.7,6280,NA,-1.562,NA
1.8,6649,NA,-1.59,NA
1.9,7019,NA,-1.617,NA
2,7388,NA,-1.845,NA
2.1,7757,27.375,-1.636,4.465
2.2,8242,28.54,-1.453,4.958
2.3,8726,27.617,-1.342,4.563
2.4,9211,26.791,-1.423,4.236
2.5,9696,28.06,-1.303,4.749
2.6,10181,27.6,-1.33,4.556
2.7,10665,26.6,-1.262,4.164
2.8,11150,26.322,-1.331,4.061
2.82,11165,26.588,-1.283,4.159
2.86,11194,25.883,-1.165,3.903
2.88,11209,25.547,-1.099,3.787
2.9,11224,26.731,-1.106,4.213
2.94,11601,26.039,-1.223,3.959
2.98,11979,25.629,-1.108,3.815
3,12168,25.448,-0.915,3.754
3.02,12320,27.71,-0.696,4.601
3.06,12624,25.42,-0.605,3.744
3.1,12928,25.543,-0.465,3.786
3.12,13025,24.335,-0.306,3.396
3.16,13218,26.704,-0.241,4.203
3.2,13411,26.267,-0.325,4.041
3.24,13520,24.153,-0.567,3.341
3.28,13629,24.43,-0.57,3.425
3.3,13684,26.043,-0.549,3.96
3.32,13819,25.225,-0.408,3.679
3.36,14090,24.783,-0.469,3.536
3.4,14361,26.672,-0.36,4.191
3.42,14497,25.286,-0.295,3.699
3.44,14632,25.091,-0.4,3.635
3.48,14903,24.551,-0.67,3.462
3.5,15039,27.554,-0.614,4.537
3.52,15343,28.421,-0.318,4.905
3.56,15952,NA,-0.133,NA
3.6,16561,27.395,-0.126,4.473
3.64,16805,26.938,-0.259,4.292
3.68,17049,24.784,-0.069,3.536
3.7,17171,28.017,-0.056,4.73
3.72,17919,26.126,-0.029,3.99
3.76,19415,26.919,-0.114,4.285
3.8,20912,26.953,0.32,4.129
3.9,22311,25.022,0.254,3.612
4,23710,25.169,0.254,3.661
4.1,25124,25.69,0.565,3.836
