depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-32,21.2,-0.5,10.279,1081.286
14,30,21.2,-0.5,10.279,1081.714
24,74,21.2,-0.5,10.279,1081.714
35,123,21.371,-3.7,9.146,1000.286
45,167,21.714,-4.343,9.124,969.857
55,211,21.914,-5.7,8.75,931.857
65,255,21,-1.457,9.776,1103.857
75,300,21.571,-2.629,9.692,1136.143
85,472,21.343,-3,9.394,1126.143
95,645,21.1,-0.3,10.308,1059.286
105,817,21.129,-0.614,10.165,1072.143
125,1163,21.129,-0.614,10.165,1072.143
135,1335,21.329,-1.614,9.932,1078.714
155,1680,21.143,-0.643,10.162,1072.571
165,1853,21.143,-1.486,9.832,1067.857
185,2198,21.314,-0.743,10.265,1083
195,2370,21.114,-0.614,10.162,1066.571
215,2716,21.129,-0.614,10.165,1072.143
225,2888,21.329,-1.614,9.932,1078.714
245,3233,21.329,-1.757,9.861,1082.143
255,3406,21.557,-2.214,9.821,1107.857
275,3823,21.343,-3.6,9.158,1090.429
285,4031,21.657,-2.943,9.638,1035.429
305,4448,20.629,-3.729,8.78,1089.429
315,4656,20.243,-5.543,7.864,1088.714
325,4864,21,-5.1,8.355,1036.429
335,5073,21.829,-4.757,9.04,982
345,5281,22.043,-2.671,9.932,1113.714
355,5489,21.457,-4.186,8.979,1027.143
365,5735,21.343,-5.086,8.56,932.857
375,6018,21.543,-4.043,9.093,997.714
385,6302,21.414,-4.571,8.768,942.286
405,7083,21.3,-8.786,7.144,838.429
425,7870,20.729,-6.4,7.64,944.286
435,8263,20.557,-5.029,8.055,982
445,8656,20.886,-3.357,8.943,1042.714
453,8971,20.614,-8.014,6.954,888.714
465,9443,19.443,-10.557,5.225,861.571
475,9836,18.571,-13.114,3.782,832.143
485,10230,18.257,-15.086,2.773,783
495,10623,18.257,-17.257,1.81,727.714
505,11017,NA,NA,NA,NA
520,11967,NA,NA,NA,NA
522,12333,NA,NA,NA,NA
535,14715,NA,NA,NA,NA
545,16548,NA,NA,NA,NA
