year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
820,1130,347.846,18.871,0.681,117.372
660,1290,1042.37,19.013,0.685,137.507
500,1450,1467.958,19.11,0.689,100.109
340,1610,1625.193,19.252,0.694,180.386
182.5,1767.5,1782.187,19.318,0.696,222.581
27.5,1922.5,1939.119,19.341,0.697,250.967
-130,2080,2096.01,19.379,0.698,270.239
-290,2240,2252.87,19.356,0.697,282.354
-610,2560,2566.51,19.408,0.699,288.322
-770,2720,2723.291,19.527,0.703,282.58
-930,2880,2880.045,19.533,0.703,270.649
-1087.5,3037.5,3036.768,19.259,0.694,251.623
-1242.5,3192.5,3193.45,19.405,0.699,223.618
-1400,3350,3350.07,19.501,0.702,182.167
-1560,3510,3506.449,19.319,0.696,106.72
-1710,3660,3653.829,19.436,0.7,99.895
-1850,3800,3792.34,19.484,0.701,162.411
-1987.5,3937.5,3930.765,19.424,0.699,190.588
-2122.5,4072.5,4069.163,19.401,0.699,202.709
-2260,4210,4207.54,19.501,0.702,202.102
-2400,4350,4345.896,19.147,0.69,188.828
-2537.5,4487.5,4484.226,18.837,0.679,159.796
-2672.5,4622.5,4622.468,19.065,0.687,101.302
-2800,4750,4749.681,19.255,0.694,94.31
-2920,4870,4865.549,19.245,0.693,140.783
-3040,4990,4980.931,18.937,0.683,159.149
-3160,5110,5096.134,19.148,0.69,159.408
-3280,5230,5211.157,18.937,0.683,141.172
-3400,5350,5325.695,19.484,0.701,88.413
-3477.5,5427.5,5400.724,19.616,0.706,68.718
-3512.5,5462.5,5436.528,19.561,0.704,100.071
-3547.5,5497.5,5472.209,19.612,0.706,122.39
-3582.5,5532.5,5507.864,19.452,0.7,140.492
-3617.5,5567.5,5543.503,19.705,0.709,155.917
-3652.5,5602.5,5579.132,19.674,0.708,169.416
-3687.5,5637.5,5614.752,19.578,0.705,181.426
-3722.5,5672.5,5650.367,19.691,0.708,192.23
-3757.5,5707.5,5685.975,19.706,0.709,202.024
-3792.5,5742.5,5721.58,19.728,0.71,210.949
-3827.5,5777.5,5757.18,19.917,0.716,219.111
-3862.5,5812.5,5792.777,19.982,0.718,226.595
-3897.5,5847.5,5828.371,19.921,0.716,233.464
-3932.5,5882.5,5863.962,19.917,0.716,239.773
-3967.5,5917.5,5899.551,19.938,0.717,245.564
-4002.5,5952.5,5935.137,19.68,0.708,250.873
-4037.5,5987.5,5970.721,20.102,0.722,255.731
-4072.5,6022.5,6006.302,20.117,0.723,260.162
-4107.5,6057.5,6041.882,20.235,0.727,264.188
-4142.5,6092.5,6077.46,20.115,0.723,267.828
