year (AD),age (BP),temperature (degC)
1844.7,105.3,16.8
1425.13,524.87,16.5
806.5,1143.5,17.9
401.4,1548.6,18.2
-194.5,2144.5,17.5
-681.6,2631.6,17.3
-1159.6,3109.6,16.4
-1627.7,3577.7,15.5
-2087.1,4037.1,15.5
-2537.8,4487.8,17.6
-2978.3,4928.3,17.5
-3152.2,5102.2,17.2
-3324.4,5274.4,16.1
-3495.5,5445.5,17.5
-3664.7,5614.7,18.9
-3833,5783,17.8
-3999.1,5949.1,18.1
-4164.6,6114.6,18.9
-4409,6359,17.9
-4650.3,6600.3,16.7
-4810.1,6760.1,18.7
-4967.1,6917.1,18
-5123.8,7073.8,19.3
-5278.1,7228.1,20
-5431.7,7381.7,21.3
-5583.2,7533.2,19.4
-5733.8,7683.8,19.5
-5882.4,7832.4,20
-6030,7980,19.1
-6175.7,8125.7,16.4
-6320.3,8270.3,20.5
-6463.2,8413.2,21
-6603.2,8553.2,21.3
-6740.4,8690.4,20
-6808.6,8758.6,22.1
-6941.4,8891.4,20
-7073.9,9023.9,17.9
-7139.7,9089.7,14
-7468,9418,14.4
-7729.8,9679.8,14.6
-7926,9876,8.5
-8122,10072,10.2
-8448,10398,13
