age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-45,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,1
NA,71,715,705,1630,60,1692,1393,10,1,5,1,NA
NA,116.5,1170,1160,3780,70,4407,3981,10,1,1,1,NA
NA,144.5,1450,1440,5150,70,6175,5725,10,1,4,1,NA
NA,193,1920,1940,7250,80,8289,7934,20,1,6,2,NA
NA,228.5,2290,2280,9830,80,11605,11097,10,1,2,1,NA
NA,252,2525,2515,10240,120,12418,11405,10,1,7,1,NA
NA,287,2875,2865,11520,110,13639,13163,10,1,8,1,NA
NA,297.5,2980,2970,12310,100,14925,13942,10,1,3,1,NA
