depth (cm),age (yr BP),material (NA),error (yr),type (NA)
3A,2455,charcoal,20,AMS14C
3A,4135,charcoal,20,AMS14C
3A,9910,charcoal,60,AMS14C
3A,10650,charcoal,280,AMS14C
4A,2350,charcoal,70,AMS14C
4A,6295,charcoal,20,AMS14C
4A,9940,charcoal,30,AMS14C
