year (AD) [1-1],age (BP) [1-1],red_color_intensity_units (missing) [1-1],year (AD) [2-1],age (BP) [2-1],ENSO_events (missing) [2-1]
1950,0,60,1950,0,0
1949.32,0.68,63,1850,100,4
1948.65,1.35,66,1750,200,5
1948.03,1.97,71,1650,300,12
1947.42,2.58,72,1550,400,8
1946.85,3.15,79,1450,500,13
1946.34,3.66,88,1350,600,12
1945.85,4.15,90,1250,700,16
1945.27,4.73,77,1150,800,25
1944.75,5.25,86,1050,900,16
1944.22,5.78,85,950,1000,6
1943.64,6.36,77,850,1100,3
1943.06,6.94,76,750,1200,6
1942.45,7.55,73,650,1300,31
1941.75,8.25,61,550,1400,9
1941.01,8.99,57,450,1500,5
1940.35,9.65,66,350,1600,26
1939.71,10.29,69,250,1700,5
1939.04,10.96,64,150,1800,3
1938.37,11.63,65,50,1900,3
1937.67,12.33,61,-50,2000,6
1936.94,13.06,58,-150,2100,3
1936.21,13.79,58,-250,2200,4
1935.47,14.53,56,-350,2300,1
1934.71,15.29,55,-450,2400,4
1933.99,16.01,59,-550,2500,16
1933.28,16.72,60,-650,2600,7
1932.51,17.49,53,-750,2700,4
1931.75,18.25,54,-850,2800,10
1930.99,19.01,54,-950,2900,10
1930.2,19.8,51,-1050,3000,6
1929.41,20.59,52,-1150,3100,9
1928.6,21.4,49,-1250,3200,5
1927.79,22.21,49,-1350,3300,5
1926.98,23.02,49,-1450,3400,7
1926.16,23.84,48,-1550,3500,1
1925.36,24.64,50,-1650,3600,1
1924.52,25.48,46,-1750,3700,2
1923.7,26.3,48,-1850,3800,1
1922.9,27.1,50,-1950,3900,5
1922.07,27.93,47,-2050,4000,4
1921.27,28.73,50,-2150,4100,1
1920.48,29.52,51,-2250,4200,1
1919.68,30.32,50,-2350,4300,1
1918.91,31.09,53,-2450,4400,5
1918.16,31.84,55,-2550,4500,2
1917.41,32.59,56,-2650,4600,0
1916.66,33.34,55,-2750,4700,8
1915.9,34.1,55,-2850,4800,15
1915.16,34.84,56,-2950,4900,23
1914.4,35.6,55,-3050,5000,7
1913.65,36.35,55,-3150,5100,2
1912.85,37.15,50,-3250,5200,2
1912.07,37.93,52,-3350,5300,3
1911.31,38.69,54,-3450,5400,1
1910.53,39.47,53,-3550,5500,4
1909.76,40.24,53,-3650,5600,10
1908.96,41.04,50,-3750,5700,5
1908.15,41.85,49,-3850,5800,0
1907.33,42.67,48,-3950,5900,0
1906.52,43.48,49,-4050,6000,4
1905.71,44.29,49,-4150,6100,1
1904.9,45.1,49,-4250,6200,0
1904.08,45.92,48,-4350,6300,8
1903.26,46.74,48,-4450,6400,4
1902.44,47.56,48,-4550,6500,2
1901.63,48.37,49,-4650,6600,0
1900.85,49.15,52,-4750,6700,9
1900.09,49.91,54,-4850,6800,3
1899.34,50.66,56,-4950,6900,1
1898.61,51.39,57,-5050,7000,2
1897.87,52.13,57,-5150,7100,0
1897.14,52.86,58,-5250,7200,0
1896.38,53.62,54,-5350,7300,0
1895.6,54.4,52,-5450,7400,2
1894.84,55.16,55,-5550,7500,3
1894.08,55.92,54,-5650,7600,2
1893.33,56.67,55,-5750,7700,0
1892.54,57.46,51,-5850,7800,1
1891.76,58.24,53,-5950,7900,0
1891,59,54,-6050,8000,0
1890.2,59.8,50,-6150,8100,0
1889.39,60.61,49,-6250,8200,1
1888.59,61.41,50,-6350,8300,0
1887.83,62.17,54,-6450,8400,1
1887.05,62.95,52,-6550,8500,1
1886.28,63.72,54,-6650,8600,1
