depth (cm),age (yr bp),error (yr)
25,230,30
74,420,25
79,410,25
122,760,25
155,945,30
196,1510,25
242,1760,45
294,2160,25
366,3770,45
382,6100,35
449,7100,40
474,7890,40
538,9440,50
563,9690,65
590,10325,75
602,10740,80
663,11630,65
741,11840,70
795,12605,50
812,12680,95
836,13070,50
861,13495,50
914,14690,70
957,15695,75
1041,20265,80
1128,30510,225
1244,37415,405
1339,40465,520
