depth (cm),age (BP),age (BP),temperature (degC),temperature (missing),OriginalSampleID (missing),ageMin (missing),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
134,1001,1555,14.42,13.94,#1-145-2,535,1.43,1.43,Y,1.53,1.53,Y
143,1108,1641,14.34,13.72,#1-154,581,1.43,1.43,Y,1.53,1.53,Y
153,1227,1712,14.52,13.66,#1-165-2,692,1.44,1.44,Y,1.53,1.53,Y
162,1332,1725,14.48,13.86,#1-174-2,764,1.43,1.43,Y,1.53,1.53,Y
168,1402,1731,14.57,13.31,#1-180-2,819,1.44,1.44,Y,1.54,1.54,Y
183,1571,1743,14.47,13.58,#1-195-2,986,1.44,1.44,Y,1.54,1.54,Y
193,1669,1754,14.58,13.81,#1-205-2,1139,1.43,1.43,Y,1.54,1.54,Y
206,1721,1972,14.6,13.51,#2-39-2,1617,1.43,1.43,Y,1.54,1.54,Y
221,1970,3674,14.57,13.34,#2-54-4,1663,1.43,1.43,Y,1.53,1.53,Y
231,2267,4261,14.42,13.54,#2-64-2,1692,1.44,1.44,Y,1.54,1.54,Y
242,2628,4778,14.53,13.55,#2-75-4,1701,1.44,1.44,Y,1.54,1.54,Y
252,2963,5187,14.62,14.1,#2-85-2,1707,1.43,1.43,Y,1.54,1.54,Y
261,3272,5515,14.62,13.47,#2-94-4,1718,1.44,1.44,Y,1.54,1.54,Y
269,3548,5786,14.63,13.63,#2-119,1738,1.43,1.43,Y,1.54,1.54,Y
279,3889,6190,14.48,13.68,#2-129-4,1854,1.43,1.43,Y,1.55,1.55,Y
285,4095,6399,14.49,13.83,#2-135,1974,1.43,1.43,Y,1.54,1.54,Y
294,4403,6718,14.57,13.62,#2-144-4,2174,1.43,1.43,Y,1.54,1.54,Y
300,4610,6920,14.64,14.06,#2-150,2327,1.43,1.43,Y,1.54,1.54,Y
309,4921,7168,14.55,13.54,#2-159-4,2600,1.44,1.44,Y,1.54,1.54,Y
315,5126,7307,14.57,14.11,#2-165,2785,1.44,1.44,Y,1.53,1.53,Y
322,5366,7447,14.55,13.63,#2-172-4,3068,1.43,1.43,Y,1.53,1.53,Y
329,5608,7543,14.46,13.74,#2-179,3297,1.43,1.43,Y,1.54,1.54,Y
339,5948,7646,14.56,13.49,#2-189-2,3651,1.43,1.43,Y,1.55,1.55,Y
347,6223,7702,14.45,13.22,#2-197,3940,1.43,1.43,Y,1.54,1.54,Y
354,6460,7742,14.51,13.03,#2-204,4226,1.43,1.43,Y,1.54,1.54,Y
