year (AD) [1-1],age (BP) [1-1],depth (unknown) [1-1],Ca (missing) [1-1],Al (missing) [1-1],Ti (missing) [1-1],Si (missing) [1-1],K (missing) [1-1],year (AD) [2-1],age (BP) [2-1],depth (unknown) [2-1],N (missing) [2-1],d15N (missing) [2-1],C/N (missing) [2-1],TOC (missing) [2-1],d13C (missing) [2-1],year (AD) [3-1],age (BP) [3-1],depth (unknown) [3-1],d18O (missing) [3-1],d13C (missing) [3-1],year (AD) [4-1],age (BP) [4-1],total (missing) [4-1],Th13C (missing) [4-1],std (missing) [4-1],year (AD) [5-1],age (BP) [5-1],MoistElements (missing) [5-1],DryElements (missing) [5-1],Thronshrub (missing) [5-1],Ailanthus (missing) [5-1],year (AD) [6-1],age (BP) [6-1],sedRate (missing) [6-1]
2002.705,-52.705,3,22284.999,888.447,10533.022,18242.592,3767.846,2008,-58,0,0.2,8.8,11,2.28,-18.9,2008,-58,0,-1.409,4.96,2006.2,-56.2,136.58,NA,NA,2007.1,-57.1,1.483,4.025,2.119,1.483,2008,-58,NA
2001.822,-51.822,3.5,21862.743,949.305,10504.81,18894.912,3921.166,2006.23,-56.23,1,0.2,8.7,10,2.07,-18.7,2006.235,-56.235,1,-1.247,4.19,1969.9,-19.9,103.97,-17.2,0.4,1929.4,20.6,0.187,5.421,1.869,3.551,2006.235,-56.235,5.665
2000.94,-50.94,4,19654.867,783.547,10268.945,16853.771,3513.965,2004.47,-54.47,2,0.22,9.1,11,2.3,-19.2,2004.47,-54.47,2,-0.964,5.468,1884.7,65.3,20.76,NA,NA,1797.4,152.6,0,1.48,0.211,0,2004.47,-54.47,5.665
2000.057,-50.057,4.5,18095.048,809.171,10449.775,16061.812,3939.933,2002.7,-52.7,3,0.26,9.7,11,3.02,-19.6,2002.705,-52.705,3,-1.582,4.246,1799.5,150.5,43.48,NA,NA,1673.9,276.1,0,0.619,0.619,0,2002.705,-52.705,5.665
1999.175,-49.175,5,19901.455,783.947,9689.918,14839.362,3466.517,2000.94,-50.94,4,0.19,9.4,10,1.83,-18.1,2000.94,-50.94,4,-1.667,4.917,1714.3,235.7,14.17,NA,NA,1631.3,318.7,0,0.847,0.282,0,2000.94,-50.94,5.665
1998.292,-48.292,5.5,23437.236,868.828,12069.849,17403.156,4354.215,1999.17,-49.17,5,0.18,8.6,11,1.94,-18.3,1999.175,-49.175,5,-2.08,4.509,1667.5,282.5,14.08,NA,NA,1588.7,361.3,0.261,1.305,1.828,0,1999.175,-49.175,5.665
1997.409,-47.409,6,25171.093,1015.768,14033.546,18502.323,4781.953,1997.41,-47.41,6,0.18,8.5,11,1.96,-18.5,1997.409,-47.409,6,-4.401,1.306,1582.3,367.7,18.13,NA,NA,1546.1,403.9,0,0.877,0.292,0.292,1997.409,-47.409,5.665
1996.527,-46.527,6.5,22302.933,1091.04,13816.18,20175.213,5148.434,1995.64,-45.64,7,0.18,8.8,11,1.96,-19.4,1995.644,-45.644,7,-4.913,0.93,1497.2,452.8,29.3,NA,NA,1503.5,446.5,0.287,1.149,1.149,0,1995.644,-45.644,5.665
1995.644,-45.644,7,23367.947,1052.203,13848.091,20233.063,5077.616,1993.88,-43.88,8,0.19,8.2,11,2.09,-18.8,1993.879,-43.879,8,-5.725,0.772,1412,538,43.89,NA,NA,1461,489,0.522,1.044,0.783,0.261,1993.879,-43.879,5.665
1994.762,-44.762,7.5,23042.288,780.744,10717.09,14314.714,3650.643,1992.11,-42.11,9,0.18,8.5,11,1.97,-18.7,1992.114,-42.114,9,-5.233,0.318,1327.9,622.1,34.13,NA,NA,1418.4,531.6,0,1.326,0.531,0,1992.114,-42.114,5.665
1993.879,-43.879,8,25559.927,897.656,12299.702,18305.231,4478.146,1990.35,-40.35,10,0.18,8.8,10,1.81,-18.6,1990.349,-40.349,10,-4.983,0.435,1245.1,704.9,51.17,NA,NA,1375.8,574.2,0.554,1.385,2.77,0.554,1990.349,-40.349,5.665
1992.997,-42.997,8.5,25158.866,931.688,11799.297,17334.931,4260.736,1988.58,-38.58,11,0.15,9.3,11,1.71,-18.9,1988.584,-38.584,11,-5.051,-0.324,1154.1,795.9,10.44,NA,NA,1334.1,615.9,0.531,1.857,1.592,0.265,1988.584,-38.584,5.665
1992.114,-42.114,9,28409.746,773.537,10512.673,15712.313,3820.959,1986.82,-36.82,12,0.15,9.3,11,1.6,-18.7,1986.819,-36.819,12,-4.795,-0.381,1071.4,878.6,24.99,NA,NA,1292.7,657.3,0,2.885,0.24,0,1986.819,-36.819,5.665
